,mirna,lncrna,Label,pair_index,mirna_id,lncrna_id
67,ath-miR1887,lcl_Athaliana_AT3G45275.1,0,67,53,-66
68,mtr-miR2586a,lcl_Mtruncatula_Medtr5g095640.1,1,68,15,-67
69,mtr-miR2592br-5p,lcl_Mtruncatula_Medtr3g117730.1,0,69,63,-68
70,gma-miR167g,lcl_Gmax_Glyma.18G189400.1,1,70,64,-69
71,gma-miR394b-3p,lcl_Gmax_Glyma.20G010700.1,0,71,65,-70
72,ath-miR831-3p,lcl_Athaliana_AT4G39404.1,1,72,66,-71
73,ath-miR830-3p,lcl_Athaliana_AT3G42792.1,0,73,67,-72
74,mtr-miR169d-3p,lcl_Mtruncatula_Medtr5g092710.1,1,74,68,-73
75,mtr-miR2626,lcl_Mtruncatula_Medtr2g009910.2,0,75,69,-74
76,gma-miR4387c,lcl_Gmax_Glyma.01G067500.1,1,76,70,-75
77,gma-miR9735,lcl_Gmax_Glyma.13G278900.4,0,77,71,-76
78,ath-miR858b,lcl_Athaliana_AT2G34120.1,1,78,72,-77
79,ath-miR780.2,lcl_Athaliana_AT3G42316.1,0,79,25,-78
80,mtr-miR168a,lcl_Mtruncatula_Medtr8g469250.1,1,80,73,-79
81,mtr-miR2672,lcl_Mtruncatula_Medtr8g051620.3,0,81,74,-80
82,gma-miR5225,lcl_Gmax_Glyma.18G144300.1,1,82,75,-81
83,gma-miR9738,lcl_Gmax_Glyma.04G237800.1,0,83,76,-82
84,ath-miR834,lcl_Athaliana_AT5G04080.1,1,84,13,-83
85,ath-miR5650,CNT2084940,0,85,77,-84
86,mtr-miR2668,lcl_Mtruncatula_Medtr7g102805.1,1,86,78,-85
87,mtr-miR5274a,lcl_Mtruncatula_Medtr5g084410.2,0,87,79,-86
88,gma-miR396f,lcl_Gmax_Glyma.08G320400.2,1,88,80,-87
89,gma-miR4391,lcl_Gmax_Glyma.18G297000.1,0,89,81,-88
90,ath-miR5658,lcl_Athaliana_AT3G22240.1,1,90,82,-89
91,ath-miR2939,NONATHT003169,0,91,83,-90
92,mtr-miR319c-5p,lcl_Mtruncatula_Medtr8g036030.1,1,92,27,-91
93,mtr-miR2598,lcl_Mtruncatula_Medtr0101s0020.4,0,93,84,-92
94,gma-miR5037d,lcl_Gmax_Glyma.14G127700.1,1,94,85,-93
95,gma-miR5030b,lcl_Gmax_Glyma.16G020900.3,0,95,86,-94
96,ath-miR162a-5p,CNT2086564,1,96,87,-95
97,ath-miR395a,CNT2087411,0,97,88,-96
98,mtr-miR5561-3p,lcl_Mtruncatula_Medtr2g076020.1,1,98,89,-97
99,mtr-miR2592ap,lcl_Mtruncatula_Medtr5g084410.2,0,99,90,-86
100,gma-miR319a,lcl_Gmax_Glyma.18G279100.1,1,100,91,-98
101,gma-miR396h,lcl_Gmax_Glyma.01G133700.1,0,101,92,-99
102,ath-miR319c,NONATHT000860,1,102,93,-100
103,ath-miR418,CNT2087724,0,103,94,-101
104,mtr-miR168c-3p,lcl_Mtruncatula_Medtr4g072920.1,1,104,95,-102
105,mtr-miR5749,lcl_Mtruncatula_Medtr8g087480.1,0,105,96,-45
106,gma-miR5225,lcl_Gmax_Glyma.13G068400.2,1,106,75,-103
107,gma-miR828a,lcl_Gmax_Glyma.17G142500.4,0,107,97,-24
108,ath-miR5654-3p,CNT2086891,1,108,98,-104
109,ath-miR8121,lcl_Athaliana_AT1G68700.1,0,109,99,-105
110,mtr-miR2675,lcl_Mtruncatula_Medtr2g087985.1,1,110,59,-106
111,mtr-miR2619b-5p,lcl_Mtruncatula_Medtr3g053460.2,0,111,100,-107
112,gma-miR9730,lcl_Gmax_Glyma.08G280100.1,1,112,101,-108
113,gma-miR4392,lcl_Gmax_Glyma.03G243300.1,0,113,102,-109
114,ath-miR8165,lcl_Athaliana_AT5G11630.1,1,114,103,-110
115,ath-miR830-3p,CNT2085967,0,115,67,-111
116,mtr-miR5229a,lcl_Mtruncatula_Medtr4g131290.1,1,116,104,-112
117,mtr-miR5561-3p,lcl_Mtruncatula_Medtr4g059760.1,0,117,89,-113
118,gma-miR169e,lcl_Gmax_Glyma.05G176000.1,1,118,6,-114
119,gma-miR4403,lcl_Gmax_Glyma.05G010400.1,0,119,105,-115
120,ath-miR164a,CNT2088778,1,120,106,-116
121,ath-miR852,lcl_Athaliana_AT5G43185.1,0,121,107,-117
122,mtr-miR5247,lcl_Mtruncatula_Medtr3g084390.1,1,122,108,-118
123,mtr-miR5278,lcl_Mtruncatula_Medtr0016s0040.1,0,123,109,-10
124,gma-miR4387c,lcl_Gmax_Glyma.03G153500.1,1,124,70,-119
125,gma-miR10198,lcl_Gmax_Glyma.01G015700.1,0,125,110,-35
126,ath-miR401,CNT2087736,1,126,111,-120
127,ath-miR841b-3p,lcl_Athaliana_AT1G68526.1,0,127,112,-121
128,mtr-miR2589,lcl_Mtruncatula_Medtr7g055843.1,1,128,113,-122
129,mtr-miR5292a,lcl_Mtruncatula_Medtr5g015470.1,0,129,114,-123
130,gma-miR482b-5p,lcl_Gmax_Glyma.06G311300.1,1,130,115,-124
131,gma-miR156f,lcl_Gmax_Glyma.01G129800.1,0,131,116,-125
132,ath-miR838,lcl_Athaliana_AT1G64405.1,1,132,117,-126
133,ath-miR5019,CNT2088347,0,133,118,-127
134,mtr-miR5207,lcl_Mtruncatula_Medtr8g022770.2,1,134,119,-128
135,mtr-miR2645,lcl_Mtruncatula_Medtr4g049300.2,0,135,120,-129
136,gma-miR390a-5p,lcl_Gmax_Glyma.05G092200.1,1,136,121,-130
137,gma-miR5031,lcl_Gmax_Glyma.03G179400.1,0,137,122,-131
138,ath-miR771,CNT2087934,1,138,123,-132
139,ath-miR5017-5p,CNT2085416,0,139,124,-133
140,mtr-miR5228,lcl_Mtruncatula_Medtr4g124240.1,1,140,125,-134
141,mtr-miR2642,lcl_Mtruncatula_Medtr3g050170.1,0,141,126,-135
142,gma-miR399m,lcl_Gmax_Glyma.04G168400.1,1,142,127,-136
143,gma-miR1532,lcl_Gmax_Glyma.15G180100.1,0,143,128,-137
144,ath-miR2111a-3p,CNT2085227,1,144,129,-138
145,ath-miR5657,CNT2085564,0,145,130,-139
146,mtr-miR5209,lcl_Mtruncatula_Medtr4g075355.1,1,146,131,-140
147,mtr-miR399d,lcl_Mtruncatula_Medtr1g107440.2,0,147,132,-141
148,gma-miR10191,lcl_Gmax_Glyma.09G111500.1,1,148,133,-142
149,gma-miR4391,lcl_Gmax_Glyma.01G083400.3,0,149,81,-143
150,ath-miR160a-5p,CNT2087239,1,150,134,-144
151,ath-miR8121,CNT2088028,0,151,99,-145
152,mtr-miR5286b,lcl_Mtruncatula_Medtr8g105220.1,1,152,135,-146
153,mtr-miR2635,lcl_Mtruncatula_Medtr8g095630.2,0,153,136,-147
154,gma-miR4387b,lcl_Gmax_Glyma.13G068400.2,1,154,137,-103
155,gma-miR1507a,lcl_Gmax_Glyma.01G175700.8,0,155,138,-148
156,ath-miR319a,CNT2085517,1,156,139,-149
157,ath-miR870-5p,CNT2085304,0,157,140,-150
158,mtr-miR5299,lcl_Mtruncatula_Medtr5g070595.1,1,158,141,-151
159,mtr-miR2671j,lcl_Mtruncatula_Medtr0152s0100.1,0,159,142,-152
160,gma-miR164a,lcl_Gmax_Glyma.20G055100.1,1,160,143,-153
161,gma-miR169h,lcl_Gmax_Glyma.06G214300.1,0,161,144,-154
162,ath-miR774a,CNT2088598,1,162,145,-155
163,ath-miR164c-5p,NONATHT001101,0,163,7,-156
164,mtr-miR171c,lcl_Mtruncatula_Medtr6g445270.1,1,164,146,-157
165,mtr-miR7696a-3p,lcl_Mtruncatula_Medtr8g022410.1,0,165,147,-158
166,gma-miR408a-5p,lcl_Gmax_Glyma.20G152700.1,1,166,148,-159
167,gma-miR4409,lcl_Gmax_Glyma.01G175700.1,0,167,149,-18
168,ath-miR5016,NONATHT000900,1,168,150,-160
169,ath-miR161.1,lcl_Athaliana_AT4G03660.1,0,169,151,-161
170,mtr-miR160a,lcl_Mtruncatula_Medtr7g100315.1,1,170,152,-162
171,mtr-miR396a-5p,lcl_Mtruncatula_Medtr1g086180.2,0,171,153,-163
172,gma-miR10411,lcl_Gmax_Glyma.10G185300.1,1,172,154,-164
173,gma-miR1516a-5p,lcl_Gmax_Glyma.02G087300.1,0,173,155,-165
174,ath-miR472-3p,NONATHT002394,1,174,156,-166
175,ath-miR5631,lcl_Athaliana_AT5G09830.1,0,175,157,-167
176,mtr-miR168b,lcl_Mtruncatula_Medtr6g015655.1,1,176,158,-168
177,mtr-miR5204,lcl_Mtruncatula_Medtr1g107440.5,0,177,159,-169
178,gma-miR408d,lcl_Gmax_Glyma.15G174200.1,1,178,160,-170
179,gma-miR4399,lcl_Gmax_Glyma.17G146200.1,0,179,161,-171
180,ath-miR8181,CNT2087701,1,180,46,-172
181,ath-miR5648-3p,lcl_Athaliana_AT4G03732.1,0,181,162,-173
182,mtr-miR319d-5p,lcl_Mtruncatula_Medtr6g034970.1,1,182,163,-174
183,mtr-miR5270a,lcl_Mtruncatula_Medtr0101s0020.4,0,183,164,-92
184,gma-miR4414b,lcl_Gmax_Glyma.08G256500.1,1,184,165,-175
185,gma-miR169n-5p,lcl_Gmax_Glyma.03G143300.1,0,185,166,-176
186,ath-miR168a-3p,NONATHT001659,1,186,167,-177
187,ath-miR397b,CNT2087553,0,187,168,-178
188,mtr-miR168a,lcl_Mtruncatula_Medtr7g062880.1,1,188,73,-179
189,mtr-miR5295a,lcl_Mtruncatula_Medtr4g106400.1,0,189,169,-180
190,gma-miR408a-5p,lcl_Gmax_Glyma.04G217600.1,1,190,148,-181
191,gma-miR4389,lcl_Gmax_Glyma.03G084100.2,0,191,170,-182
192,ath-miR156a-5p,lcl_Athaliana_AT3G42714.1,1,192,171,-183
193,ath-miR169d,CNT2087606,0,193,172,-184
194,mtr-miR5275,lcl_Mtruncatula_Medtr4g016600.1,1,194,173,-185
195,mtr-miR5269b,lcl_Mtruncatula_Medtr3g050170.1,0,195,174,-135
196,gma-miR4995,lcl_Gmax_Glyma.12G073600.1,1,196,175,-186
197,gma-miR393c-3p,lcl_Gmax_Glyma.07G094600.1,0,197,176,-47
198,ath-miR168a-5p,lcl_Athaliana_AT3G43900.1,1,198,177,-187
199,ath-miR857,lcl_Athaliana_AT5G55850.3,0,199,178,-188
200,mtr-miR2594,lcl_Mtruncatula_Medtr4g013250.1,1,200,179,-189
201,mtr-miR7697-5p,lcl_Mtruncatula_Medtr1g107440.2,0,201,180,-141
202,gma-miR4414b,lcl_Gmax_Glyma.18G229200.1,1,202,165,-190
203,gma-miR4996,lcl_Gmax_Glyma.01G175700.4,0,203,181,-191
204,ath-miR780.1,CNT2085615,1,204,182,-192
205,ath-miR5997,lcl_Athaliana_AT1G48200.1,0,205,183,-193
206,mtr-miR5243,lcl_Mtruncatula_Medtr2g055030.1,1,206,184,-194
207,mtr-miR2677,lcl_Mtruncatula_Medtr4g106400.1,0,207,185,-180
208,gma-miR4412-5p,lcl_Gmax_Glyma.01G068300.1,1,208,186,-195
209,gma-miR5559,lcl_Gmax_Glyma.17G191700.1,0,209,187,-196
210,ath-miR171a-3p,CNT2086703,1,210,188,-197
211,ath-miR5018,lcl_Athaliana_AT3G45245.1,0,211,189,-198
212,mtr-miR2613,lcl_Mtruncatula_Medtr2g028460.1,1,212,190,-199
213,mtr-miR5218,lcl_Mtruncatula_Medtr4g106400.1,0,213,191,-180
214,gma-miR1513c,lcl_Gmax_Glyma.14G029900.1,1,214,192,-200
215,gma-miR169p,lcl_Gmax_Glyma.16G092300.1,0,215,193,-201
216,ath-miR399f,At5NC025190,1,216,194,-202
217,ath-miR8121,CNT2086762,0,217,99,-203
218,mtr-miR2613,lcl_Mtruncatula_Medtr1498s0010.1,1,218,190,-204
219,mtr-miR2612,lcl_Mtruncatula_Medtr0101s0020.4,0,219,195,-92
220,gma-miR159a-5p,lcl_Gmax_Glyma.14G165100.1,1,220,196,-205
221,gma-miR156p,lcl_Gmax_Glyma.18G290700.4,0,221,197,-206
222,ath-miR164c-5p,NONATHT001810,1,222,7,-207
223,ath-miR3434-3p,CNT2087964,0,223,198,-208
224,mtr-miR395h,lcl_Mtruncatula_Medtr2g026800.1,1,224,199,-209
225,mtr-miR159b,lcl_Mtruncatula_Medtr3g466420.1,0,225,200,-210
226,gma-miR393a,lcl_Gmax_Glyma.01G063400.1,1,226,201,-211
227,gma-miR4415b-5p,lcl_Gmax_Glyma.U034900.1,0,227,202,-212
228,ath-miR869.1,lcl_Athaliana_AT3G60650.1,1,228,203,-213
229,ath-miR864-3p,CNT2089042,0,229,204,-214
230,mtr-miR398a-3p,lcl_Mtruncatula_Medtr5g027710.1,1,230,32,-215
231,mtr-miR2595,lcl_Mtruncatula_Medtr3g053460.2,0,231,205,-107
232,gma-miR395a,lcl_Gmax_Glyma.18G264800.1,1,232,5,-216
233,gma-miR5379,lcl_Gmax_Glyma.13G202700.1,0,233,206,-217
234,ath-miR447a-3p,AtR8,1,234,207,-218
235,ath-miR774b-5p,NONATHT002762,0,235,208,-219
236,mtr-miR168c-3p,lcl_Mtruncatula_Medtr5g018340.1,1,236,95,-220
237,mtr-miR166b,lcl_Mtruncatula_Medtr1g054150.1,0,237,209,-22
238,gma-miR4414b,lcl_Gmax_Glyma.17G258800.1,1,238,165,-221
239,gma-miR4380a,lcl_Gmax_Glyma.10G098800.1,0,239,210,-222
240,ath-miR168a-3p,lcl_Athaliana_AT2G13272.1,1,240,167,-223
241,ath-miR8174,lcl_Athaliana_AT4G04165.1,0,241,211,-224
242,mtr-miR171d,lcl_Mtruncatula_Medtr2g062810.1,1,242,212,-225
243,mtr-miR7698-5p,lcl_Mtruncatula_Medtr5g084410.2,0,243,213,-86
244,gma-miR169o,lcl_Gmax_Glyma.12G221300.1,1,244,214,-226
245,gma-miR5769,lcl_Gmax_Glyma.11G154900.1,0,245,215,-64
246,ath-miR5020c,CNT2087835,1,246,216,-227
247,ath-miR860,NONATHT002444,0,247,217,-228
248,mtr-miR2675,lcl_Mtruncatula_Medtr7g068490.1,1,248,59,-229
249,mtr-miR530,lcl_Mtruncatula_Medtr8g074520.1,0,249,218,-230
250,gma-miR319c,lcl_Gmax_Glyma.11G176100.1,1,250,219,-231
251,gma-miR1520f-5p,lcl_Gmax_Glyma.17G191700.1,0,251,220,-196
252,ath-miR8168,CNT2085718,1,252,221,-232
253,ath-miR5643a,CNT2085555,0,253,222,-233
254,mtr-miR2647a,lcl_Mtruncatula_Medtr6g012320.1,1,254,223,-234
255,mtr-miR5754,lcl_Mtruncatula_Medtr5g081650.3,0,255,224,-56
256,gma-miR2111a,lcl_Gmax_Glyma.03G212600.1,1,256,225,-235
257,gma-miR4997b,lcl_Gmax_Glyma.17G142500.4,0,257,226,-24
258,ath-miR157c-3p,CNT2085467,1,258,227,-236
259,ath-miR864-3p,NONATHT000309,0,259,204,-237
260,mtr-miR2630a,lcl_Mtruncatula_Medtr5g007070.1,1,260,228,-238
261,mtr-miR2639,lcl_Mtruncatula_Medtr5g015470.1,0,261,229,-123
262,gma-miR169n-5p,lcl_Gmax_Glyma.19G246900.1,1,262,166,-239
263,gma-miR4364b,lcl_Gmax_Glyma.19G157900.1,0,263,230,-240
264,ath-miR319c,NONATHT000112,1,264,93,-241
265,ath-miR8168,lcl_Athaliana_AT5G63460.3,0,265,221,-242
266,mtr-miR5270a,lcl_Mtruncatula_Medtr1g056455.1,1,266,164,-243
267,mtr-miR2649,lcl_Mtruncatula_Medtr1g107440.2,0,267,231,-141
268,gma-miR159a-5p,lcl_Gmax_Glyma.05G081700.1,1,268,196,-244
269,gma-miR1520c,lcl_Gmax_Glyma.10G242900.1,0,269,232,-245
270,ath-miR8168,CNT2086689,1,270,221,-246
271,ath-miR837-3p,CNT2086464,0,271,233,-247
272,mtr-miR5234,lcl_Mtruncatula_Medtr7g071330.1,1,272,234,-248
273,mtr-miR5236a,lcl_Mtruncatula_Medtr1g107440.2,0,273,235,-141
274,gma-miR394b-5p,lcl_Gmax_Glyma.17G260600.1,1,274,236,-249
275,gma-miR4386,lcl_Gmax_Glyma.06G214300.1,0,275,237,-154
276,ath-miR167d,lcl_Athaliana_AT3G13275.1,1,276,238,-250
277,ath-miR5641,CNT2088952,0,277,239,-251
278,mtr-miR7697-5p,lcl_Mtruncatula_Medtr4g057575.1,1,278,180,-252
279,mtr-miR5292a,lcl_Mtruncatula_Medtr4g106400.1,0,279,114,-180
280,gma-miR1523b,lcl_Gmax_Glyma.06G301400.1,1,280,240,-253
281,gma-miR2118a-5p,lcl_Gmax_Glyma.U034900.1,0,281,241,-212
282,ath-miR168a-5p,lcl_Athaliana_AT4G03040.1,1,282,177,-254
283,ath-miR841a-5p,NONATHT001026,0,283,242,-255
284,mtr-miR399t-5p,lcl_Mtruncatula_Medtr5g080060.1,1,284,243,-256
285,mtr-miR169g,lcl_Mtruncatula_Medtr4g053180.2,0,285,244,-16
286,gma-miR408a-5p,lcl_Gmax_Glyma.02G299800.1,1,286,148,-257
287,gma-miR10186a,lcl_Gmax_Glyma.02G106000.7,0,287,245,-258
288,ath-miR399b,CNT2085955,1,288,246,-259
289,ath-miR5650,APOLO,0,289,77,-260
290,mtr-miR171c,lcl_Mtruncatula_Medtr4g132873.1,1,290,146,-261
291,mtr-miR399j,lcl_Mtruncatula_Medtr4g006610.1,0,291,247,-262
292,gma-miR396b-5p,lcl_Gmax_Glyma.01G006200.1,1,292,248,-263
293,gma-miR4404,lcl_Gmax_Glyma.20G010700.1,0,293,249,-70
294,ath-miR5653,lcl_Athaliana_AT1G47885.1,1,294,250,-264
295,ath-miR170-5p,CNT2085628,0,295,251,-265
296,mtr-miR164d,lcl_Mtruncatula_Medtr5g008670.1,1,296,252,-266
297,mtr-miR2592b-3p,lcl_Mtruncatula_Medtr4g035885.1,0,297,253,-267
298,gma-miR390a-5p,lcl_Gmax_Glyma.13G014600.1,1,298,121,-268
299,gma-miR10409,lcl_Gmax_Glyma.02G106000.7,0,299,254,-258
300,ath-miR842,lcl_Athaliana_AT1G36400.1,1,300,255,-269
301,ath-miR3932a,NONATHT002963,0,301,256,-270
302,mtr-miR5206a,lcl_Mtruncatula_Medtr1g040775.1,1,302,257,-271
303,mtr-miR2647a,lcl_Mtruncatula_Medtr8g095630.2,0,303,223,-147
304,gma-miR482c-3p,lcl_Gmax_Glyma.09G057600.1,1,304,258,-272
305,gma-miR10422,lcl_Gmax_Glyma.05G064400.3,0,305,259,-273
306,ath-miR8175,CNT2084811,1,306,260,-274
307,ath-miR828,CNT2088029,0,307,261,-275
308,mtr-miR5251,lcl_Mtruncatula_Medtr6g015177.1,1,308,43,-276
309,mtr-miR396b-5p,lcl_Mtruncatula_Medtr5g074570.1,0,309,262,-277
310,gma-miR408a-5p,lcl_Gmax_Glyma.15G079400.1,1,310,148,-278
311,gma-miR160a-5p,lcl_Gmax_Glyma.11G157900.1,0,311,263,-279
312,ath-miR447c-3p,CNT2088609,1,312,264,-280
313,ath-miR3434-5p,CNT2088352,0,313,265,-281
314,mtr-miR2675,lcl_Mtruncatula_Medtr1g053175.1,1,314,59,-282
315,mtr-miR172a,lcl_Mtruncatula_Medtr1g107440.5,0,315,266,-169
316,gma-miR393c-3p,lcl_Gmax_Glyma.09G065500.1,1,316,176,-283
317,gma-miR10426,lcl_Gmax_Glyma.11G013200.3,0,317,267,-284
318,ath-miR168b-3p,NONATHT002473,1,318,268,-285
319,ath-miR5997,CNT2089170,0,319,183,-286
320,mtr-miR169f,lcl_Mtruncatula_Medtr8g052495.1,1,320,269,-287
321,mtr-miR319c-5p,lcl_Mtruncatula_Medtr8g022770.3,0,321,27,-288
322,gma-miR5786,lcl_Gmax_Glyma.06G267100.1,1,322,270,-289
323,gma-miR5767,lcl_Gmax_Glyma.11G172700.1,0,323,271,-290
324,ath-miR3440b-3p,lcl_Athaliana_AT4G23432.1,1,324,272,-291
325,ath-miR865-5p,CNT2086640,0,325,14,-292
326,mtr-miR2639,lcl_Mtruncatula_Medtr7g063350.1,1,326,229,-293
327,mtr-miR5225a,lcl_Mtruncatula_Medtr7g078390.1,0,327,273,-294
328,gma-miR319h,lcl_Gmax_Glyma.05G056200.1,1,328,274,-295
329,gma-miR9736,lcl_Gmax_Glyma.06G038300.1,0,329,275,-296
330,ath-miR8172,CNT2088113,1,330,276,-297
331,ath-miR4243,CNT2087141,0,331,277,-298
332,mtr-miR2616,lcl_Mtruncatula_Medtr2g039903.1,1,332,278,-299
333,mtr-miR5277,lcl_Mtruncatula_Medtr8g051620.3,0,333,279,-80
334,gma-miR5044,lcl_Gmax_Glyma.01G026900.1,1,334,12,-300
335,gma-miR396f,lcl_Gmax_Glyma.13G164400.1,0,335,80,-301
336,ath-miR166a-5p,CNT2088364,1,336,280,-302
337,ath-miR5020c,CNT2088736,0,337,216,-303
338,mtr-miR2600a,lcl_Mtruncatula_Medtr5g056700.1,1,338,281,-304
339,mtr-miR5293,lcl_Mtruncatula_Medtr5g074570.1,0,339,282,-277
340,gma-miR482b-5p,lcl_Gmax_Glyma.10G293100.1,1,340,115,-46
341,gma-miR1508b,lcl_Gmax_Glyma.01G122600.1,0,341,283,-305
342,ath-miR167d,CNT2085884,1,342,238,-306
343,ath-miR403-5p,NONATHT002472,0,343,2,-307
344,mtr-miR2589,lcl_Mtruncatula_Medtr4g101060.1,1,344,113,-308
345,mtr-miR2658,lcl_Mtruncatula_Medtr7g111640.2,0,345,284,-309
346,gma-miR399j,lcl_Gmax_Glyma.09G036700.1,1,346,285,-310
347,gma-miR1532,lcl_Gmax_Glyma.U034900.1,0,347,128,-212
348,ath-miR5658,CNT2086712,1,348,82,-311
349,ath-miR822-3p,lcl_Athaliana_AT2G10608.2,0,349,286,-312
350,mtr-miR1510a-5p,lcl_Mtruncatula_Medtr2g022110.1,1,350,287,-313
351,mtr-miR1509a-5p,lcl_Mtruncatula_Medtr5g048060.2,0,351,288,-314
352,gma-miR164b,lcl_Gmax_Glyma.01G099400.1,1,352,11,-315
353,gma-miR5671b,lcl_Gmax_Glyma.15G240200.1,0,353,289,-316
354,ath-miR166a-5p,CNT2087193,1,354,280,-317
355,ath-miR170-5p,CNT2088513,0,355,251,-318
356,mtr-miR171e-5p,lcl_Mtruncatula_Medtr3g116020.1,1,356,290,-319
357,mtr-miR171a,lcl_Mtruncatula_Medtr4g043720.3,0,357,291,-320
358,gma-miR5767,lcl_Gmax_Glyma.12G028600.1,1,358,271,-321
359,gma-miR396j,lcl_Gmax_Glyma.17G142500.1,0,359,292,-322
360,ath-miR822-5p,CNT2088241,1,360,293,-323
