,A,B,Label
141,>mtr-miR2642,>lcl|Mtruncatula_Medtr3g050170.1,0
142,>gma-miR399m,>lcl|Gmax_Glyma.04G168400.1,1
143,>gma-miR1532,>lcl|Gmax_Glyma.15G180100.1,0
144,>ath-miR2111a-3p,>CNT2085227,1
145,>ath-miR5657,>CNT2085564,0
146,>mtr-miR5209,>lcl|Mtruncatula_Medtr4g075355.1,1
147,>mtr-miR399d,>lcl|Mtruncatula_Medtr1g107440.2,0
148,>gma-miR10191,>lcl|Gmax_Glyma.09G111500.1,1
149,>gma-miR4391,>lcl|Gmax_Glyma.01G083400.3,0
150,>ath-miR160a-5p,>CNT2087239,1
151,>ath-miR8121,>CNT2088028,0
152,>mtr-miR5286b,>lcl|Mtruncatula_Medtr8g105220.1,1
153,>mtr-miR2635,>lcl|Mtruncatula_Medtr8g095630.2,0
154,>gma-miR4387b,>lcl|Gmax_Glyma.13G068400.2,1
155,>gma-miR1507a,>lcl|Gmax_Glyma.01G175700.8,0
156,>ath-miR319a,>CNT2085517,1
157,>ath-miR870-5p,>CNT2085304,0
158,>mtr-miR5299,>lcl|Mtruncatula_Medtr5g070595.1,1
159,>mtr-miR2671j,>lcl|Mtruncatula_Medtr0152s0100.1,0
160,>gma-miR164a,>lcl|Gmax_Glyma.20G055100.1,1
161,>gma-miR169h,>lcl|Gmax_Glyma.06G214300.1,0
162,>ath-miR774a,>CNT2088598,1
163,>ath-miR164c-5p,>NONATHT001101,0
164,>mtr-miR171c,>lcl|Mtruncatula_Medtr6g445270.1,1
165,>mtr-miR7696a-3p,>lcl|Mtruncatula_Medtr8g022410.1,0
166,>gma-miR408a-5p,>lcl|Gmax_Glyma.20G152700.1,1
167,>gma-miR4409,>lcl|Gmax_Glyma.01G175700.1,0
168,>ath-miR5016,>NONATHT000900,1
169,>ath-miR161.1,>lcl|Athaliana_AT4G03660.1,0
170,>mtr-miR160a,>lcl|Mtruncatula_Medtr7g100315.1,1
171,>mtr-miR396a-5p,>lcl|Mtruncatula_Medtr1g086180.2,0
172,>gma-miR10411,>lcl|Gmax_Glyma.10G185300.1,1
173,>gma-miR1516a-5p,>lcl|Gmax_Glyma.02G087300.1,0
174,>ath-miR472-3p,>NONATHT002394,1
175,>ath-miR5631,>lcl|Athaliana_AT5G09830.1,0
176,>mtr-miR168b,>lcl|Mtruncatula_Medtr6g015655.1,1
177,>mtr-miR5204,>lcl|Mtruncatula_Medtr1g107440.5,0
178,>gma-miR408d,>lcl|Gmax_Glyma.15G174200.1,1
179,>gma-miR4399,>lcl|Gmax_Glyma.17G146200.1,0
180,>ath-miR8181,>CNT2087701,1
181,>ath-miR5648-3p,>lcl|Athaliana_AT4G03732.1,0
182,>mtr-miR319d-5p,>lcl|Mtruncatula_Medtr6g034970.1,1
183,>mtr-miR5270a,>lcl|Mtruncatula_Medtr0101s0020.4,0
184,>gma-miR4414b,>lcl|Gmax_Glyma.08G256500.1,1
185,>gma-miR169n-5p,>lcl|Gmax_Glyma.03G143300.1,0
186,>ath-miR168a-3p,>NONATHT001659,1
187,>ath-miR397b,>CNT2087553,0
188,>mtr-miR168a,>lcl|Mtruncatula_Medtr7g062880.1,1
189,>mtr-miR5295a,>lcl|Mtruncatula_Medtr4g106400.1,0
190,>gma-miR408a-5p,>lcl|Gmax_Glyma.04G217600.1,1
191,>gma-miR4389,>lcl|Gmax_Glyma.03G084100.2,0
192,>ath-miR156a-5p,>lcl|Athaliana_AT3G42714.1,1
193,>ath-miR169d,>CNT2087606,0
194,>mtr-miR5275,>lcl|Mtruncatula_Medtr4g016600.1,1
195,>mtr-miR5269b,>lcl|Mtruncatula_Medtr3g050170.1,0
196,>gma-miR4995,>lcl|Gmax_Glyma.12G073600.1,1
197,>gma-miR393c-3p,>lcl|Gmax_Glyma.07G094600.1,0
198,>ath-miR168a-5p,>lcl|Athaliana_AT3G43900.1,1
199,>ath-miR857,>lcl|Athaliana_AT5G55850.3,0
200,>mtr-miR2594,>lcl|Mtruncatula_Medtr4g013250.1,1
201,>mtr-miR7697-5p,>lcl|Mtruncatula_Medtr1g107440.2,0
202,>gma-miR4414b,>lcl|Gmax_Glyma.18G229200.1,1
203,>gma-miR4996,>lcl|Gmax_Glyma.01G175700.4,0
204,>ath-miR780.1,>CNT2085615,1
205,>ath-miR5997,>lcl|Athaliana_AT1G48200.1,0
206,>mtr-miR5243,>lcl|Mtruncatula_Medtr2g055030.1,1
207,>mtr-miR2677,>lcl|Mtruncatula_Medtr4g106400.1,0
208,>gma-miR4412-5p,>lcl|Gmax_Glyma.01G068300.1,1
209,>gma-miR5559,>lcl|Gmax_Glyma.17G191700.1,0
210,>ath-miR171a-3p,>CNT2086703,1
211,>ath-miR5018,>lcl|Athaliana_AT3G45245.1,0
212,>mtr-miR2613,>lcl|Mtruncatula_Medtr2g028460.1,1
213,>mtr-miR5218,>lcl|Mtruncatula_Medtr4g106400.1,0
214,>gma-miR1513c,>lcl|Gmax_Glyma.14G029900.1,1
215,>gma-miR169p,>lcl|Gmax_Glyma.16G092300.1,0
216,>ath-miR399f,>At5NC025190,1
217,>ath-miR8121,>CNT2086762,0
218,>mtr-miR2613,>lcl|Mtruncatula_Medtr1498s0010.1,1
219,>mtr-miR2612,>lcl|Mtruncatula_Medtr0101s0020.4,0
220,>gma-miR159a-5p,>lcl|Gmax_Glyma.14G165100.1,1
221,>gma-miR156p,>lcl|Gmax_Glyma.18G290700.4,0
222,>ath-miR164c-5p,>NONATHT001810,1
223,>ath-miR3434-3p,>CNT2087964,0
224,>mtr-miR395h,>lcl|Mtruncatula_Medtr2g026800.1,1
225,>mtr-miR159b,>lcl|Mtruncatula_Medtr3g466420.1,0
226,>gma-miR393a,>lcl|Gmax_Glyma.01G063400.1,1
227,>gma-miR4415b-5p,>lcl|Gmax_Glyma.U034900.1,0
228,>ath-miR869.1,>lcl|Athaliana_AT3G60650.1,1
229,>ath-miR864-3p,>CNT2089042,0
230,>mtr-miR398a-3p,>lcl|Mtruncatula_Medtr5g027710.1,1
231,>mtr-miR2595,>lcl|Mtruncatula_Medtr3g053460.2,0
232,>gma-miR395a,>lcl|Gmax_Glyma.18G264800.1,1
233,>gma-miR5379,>lcl|Gmax_Glyma.13G202700.1,0
234,>ath-miR447a-3p,>AtR8,1
235,>ath-miR774b-5p,>NONATHT002762,0
236,>mtr-miR168c-3p,>lcl|Mtruncatula_Medtr5g018340.1,1
237,>mtr-miR166b,>lcl|Mtruncatula_Medtr1g054150.1,0
238,>gma-miR4414b,>lcl|Gmax_Glyma.17G258800.1,1
239,>gma-miR4380a,>lcl|Gmax_Glyma.10G098800.1,0
240,>ath-miR168a-3p,>lcl|Athaliana_AT2G13272.1,1
241,>ath-miR8174,>lcl|Athaliana_AT4G04165.1,0
242,>mtr-miR171d,>lcl|Mtruncatula_Medtr2g062810.1,1
243,>mtr-miR7698-5p,>lcl|Mtruncatula_Medtr5g084410.2,0
244,>gma-miR169o,>lcl|Gmax_Glyma.12G221300.1,1
245,>gma-miR5769,>lcl|Gmax_Glyma.11G154900.1,0
246,>ath-miR5020c,>CNT2087835,1
247,>ath-miR860,>NONATHT002444,0
248,>mtr-miR2675,>lcl|Mtruncatula_Medtr7g068490.1,1
249,>mtr-miR530,>lcl|Mtruncatula_Medtr8g074520.1,0
250,>gma-miR319c,>lcl|Gmax_Glyma.11G176100.1,1
251,>gma-miR1520f-5p,>lcl|Gmax_Glyma.17G191700.1,0
252,>ath-miR8168,>CNT2085718,1
253,>ath-miR5643a,>CNT2085555,0
254,>mtr-miR2647a,>lcl|Mtruncatula_Medtr6g012320.1,1
255,>mtr-miR5754,>lcl|Mtruncatula_Medtr5g081650.3,0
256,>gma-miR2111a,>lcl|Gmax_Glyma.03G212600.1,1
257,>gma-miR4997b,>lcl|Gmax_Glyma.17G142500.4,0
258,>ath-miR157c-3p,>CNT2085467,1
259,>ath-miR864-3p,>NONATHT000309,0
260,>mtr-miR2630a,>lcl|Mtruncatula_Medtr5g007070.1,1
261,>mtr-miR2639,>lcl|Mtruncatula_Medtr5g015470.1,0
262,>gma-miR169n-5p,>lcl|Gmax_Glyma.19G246900.1,1
263,>gma-miR4364b,>lcl|Gmax_Glyma.19G157900.1,0
264,>ath-miR319c,>NONATHT000112,1
265,>ath-miR8168,>lcl|Athaliana_AT5G63460.3,0
266,>mtr-miR5270a,>lcl|Mtruncatula_Medtr1g056455.1,1
267,>mtr-miR2649,>lcl|Mtruncatula_Medtr1g107440.2,0
268,>gma-miR159a-5p,>lcl|Gmax_Glyma.05G081700.1,1
269,>gma-miR1520c,>lcl|Gmax_Glyma.10G242900.1,0
270,>ath-miR8168,>CNT2086689,1
271,>ath-miR837-3p,>CNT2086464,0
272,>mtr-miR5234,>lcl|Mtruncatula_Medtr7g071330.1,1
273,>mtr-miR5236a,>lcl|Mtruncatula_Medtr1g107440.2,0
274,>gma-miR394b-5p,>lcl|Gmax_Glyma.17G260600.1,1
275,>gma-miR4386,>lcl|Gmax_Glyma.06G214300.1,0
276,>ath-miR167d,>lcl|Athaliana_AT3G13275.1,1
277,>ath-miR5641,>CNT2088952,0
278,>mtr-miR7697-5p,>lcl|Mtruncatula_Medtr4g057575.1,1
279,>mtr-miR5292a,>lcl|Mtruncatula_Medtr4g106400.1,0
280,>gma-miR1523b,>lcl|Gmax_Glyma.06G301400.1,1
281,>gma-miR2118a-5p,>lcl|Gmax_Glyma.U034900.1,0
282,>ath-miR168a-5p,>lcl|Athaliana_AT4G03040.1,1
283,>ath-miR841a-5p,>NONATHT001026,0
284,>mtr-miR399t-5p,>lcl|Mtruncatula_Medtr5g080060.1,1
285,>mtr-miR169g,>lcl|Mtruncatula_Medtr4g053180.2,0
286,>gma-miR408a-5p,>lcl|Gmax_Glyma.02G299800.1,1
287,>gma-miR10186a,>lcl|Gmax_Glyma.02G106000.7,0
288,>ath-miR399b,>CNT2085955,1
289,>ath-miR5650,>APOLO,0
290,>mtr-miR171c,>lcl|Mtruncatula_Medtr4g132873.1,1
291,>mtr-miR399j,>lcl|Mtruncatula_Medtr4g006610.1,0
292,>gma-miR396b-5p,>lcl|Gmax_Glyma.01G006200.1,1
293,>gma-miR4404,>lcl|Gmax_Glyma.20G010700.1,0
294,>ath-miR5653,>lcl|Athaliana_AT1G47885.1,1
295,>ath-miR170-5p,>CNT2085628,0
296,>mtr-miR164d,>lcl|Mtruncatula_Medtr5g008670.1,1
297,>mtr-miR2592b-3p,>lcl|Mtruncatula_Medtr4g035885.1,0
298,>gma-miR390a-5p,>lcl|Gmax_Glyma.13G014600.1,1
299,>gma-miR10409,>lcl|Gmax_Glyma.02G106000.7,0
300,>ath-miR842,>lcl|Athaliana_AT1G36400.1,1
301,>ath-miR3932a,>NONATHT002963,0
302,>mtr-miR5206a,>lcl|Mtruncatula_Medtr1g040775.1,1
303,>mtr-miR2647a,>lcl|Mtruncatula_Medtr8g095630.2,0
304,>gma-miR482c-3p,>lcl|Gmax_Glyma.09G057600.1,1
305,>gma-miR10422,>lcl|Gmax_Glyma.05G064400.3,0
306,>ath-miR8175,>CNT2084811,1
307,>ath-miR828,>CNT2088029,0
308,>mtr-miR5251,>lcl|Mtruncatula_Medtr6g015177.1,1
309,>mtr-miR396b-5p,>lcl|Mtruncatula_Medtr5g074570.1,0
310,>gma-miR408a-5p,>lcl|Gmax_Glyma.15G079400.1,1
311,>gma-miR160a-5p,>lcl|Gmax_Glyma.11G157900.1,0
312,>ath-miR447c-3p,>CNT2088609,1
313,>ath-miR3434-5p,>CNT2088352,0
314,>mtr-miR2675,>lcl|Mtruncatula_Medtr1g053175.1,1
315,>mtr-miR172a,>lcl|Mtruncatula_Medtr1g107440.5,0
316,>gma-miR393c-3p,>lcl|Gmax_Glyma.09G065500.1,1
317,>gma-miR10426,>lcl|Gmax_Glyma.11G013200.3,0
318,>ath-miR168b-3p,>NONATHT002473,1
319,>ath-miR5997,>CNT2089170,0
320,>mtr-miR169f,>lcl|Mtruncatula_Medtr8g052495.1,1
321,>mtr-miR319c-5p,>lcl|Mtruncatula_Medtr8g022770.3,0
322,>gma-miR5786,>lcl|Gmax_Glyma.06G267100.1,1
323,>gma-miR5767,>lcl|Gmax_Glyma.11G172700.1,0
324,>ath-miR3440b-3p,>lcl|Athaliana_AT4G23432.1,1
325,>ath-miR865-5p,>CNT2086640,0
326,>mtr-miR2639,>lcl|Mtruncatula_Medtr7g063350.1,1
327,>mtr-miR5225a,>lcl|Mtruncatula_Medtr7g078390.1,0
328,>gma-miR319h,>lcl|Gmax_Glyma.05G056200.1,1
329,>gma-miR9736,>lcl|Gmax_Glyma.06G038300.1,0
330,>ath-miR8172,>CNT2088113,1
331,>ath-miR4243,>CNT2087141,0
332,>mtr-miR2616,>lcl|Mtruncatula_Medtr2g039903.1,1
333,>mtr-miR5277,>lcl|Mtruncatula_Medtr8g051620.3,0
334,>gma-miR5044,>lcl|Gmax_Glyma.01G026900.1,1
335,>gma-miR396f,>lcl|Gmax_Glyma.13G164400.1,0
336,>ath-miR166a-5p,>CNT2088364,1
337,>ath-miR5020c,>CNT2088736,0
338,>mtr-miR2600a,>lcl|Mtruncatula_Medtr5g056700.1,1
339,>mtr-miR5293,>lcl|Mtruncatula_Medtr5g074570.1,0
340,>gma-miR482b-5p,>lcl|Gmax_Glyma.10G293100.1,1
341,>gma-miR1508b,>lcl|Gmax_Glyma.01G122600.1,0
342,>ath-miR167d,>CNT2085884,1
343,>ath-miR403-5p,>NONATHT002472,0
344,>mtr-miR2589,>lcl|Mtruncatula_Medtr4g101060.1,1
345,>mtr-miR2658,>lcl|Mtruncatula_Medtr7g111640.2,0
346,>gma-miR399j,>lcl|Gmax_Glyma.09G036700.1,1
347,>gma-miR1532,>lcl|Gmax_Glyma.U034900.1,0
348,>ath-miR5658,>CNT2086712,1
349,>ath-miR822-3p,>lcl|Athaliana_AT2G10608.2,0
350,>mtr-miR1510a-5p,>lcl|Mtruncatula_Medtr2g022110.1,1
351,>mtr-miR1509a-5p,>lcl|Mtruncatula_Medtr5g048060.2,0
352,>gma-miR164b,>lcl|Gmax_Glyma.01G099400.1,1
353,>gma-miR5671b,>lcl|Gmax_Glyma.15G240200.1,0
354,>ath-miR166a-5p,>CNT2087193,1
355,>ath-miR170-5p,>CNT2088513,0
356,>mtr-miR171e-5p,>lcl|Mtruncatula_Medtr3g116020.1,1
357,>mtr-miR171a,>lcl|Mtruncatula_Medtr4g043720.3,0
358,>gma-miR5767,>lcl|Gmax_Glyma.12G028600.1,1
359,>gma-miR396j,>lcl|Gmax_Glyma.17G142500.1,0
360,>ath-miR822-5p,>CNT2088241,1
361,>ath-miR5655,>CNT2086514,0
362,>mtr-miR5299,>lcl|Mtruncatula_Medtr7g076780.1,1
363,>mtr-miR2641,>lcl|Mtruncatula_Medtr3g466420.1,0
364,>gma-miR482c-5p,>lcl|Gmax_Glyma.15G203200.1,1
365,>gma-miR5778,>lcl|Gmax_Glyma.18G290700.4,0
366,>ath-miR834,>lcl|Athaliana_AT2G07669.1,1
367,>ath-miR851-5p,>lcl|Athaliana_AT3G26445.1,0
368,>mtr-miR5276,>lcl|Mtruncatula_Medtr1g107085.2,1
369,>mtr-miR2111c,>lcl|Mtruncatula_Medtr0101s0020.4,0
370,>gma-miR5774a,>lcl|Gmax_Glyma.11G132100.1,1
371,>gma-miR4383,>lcl|Gmax_Glyma.04G237800.1,0
372,>ath-miR166a-5p,>lcl|Athaliana_AT3G13175.1,1
373,>ath-miR5639-5p,>lcl|Athaliana_AT3G31357.1,0
374,>mtr-miR2594,>lcl|Mtruncatula_Medtr5g047920.1,1
375,>mtr-miR396a-3p,>lcl|Mtruncatula_Medtr4g049300.2,0
376,>gma-miR1520o,>lcl|Gmax_Glyma.07G260900.1,1
377,>gma-miR5767,>lcl|Gmax_Glyma.02G160000.1,0
378,>ath-miR399d,>lcl|Athaliana_AT1G53687.1,1
379,>ath-miR5014a-3p,>CNT2088501,0
380,>mtr-miR5037a,>lcl|Mtruncatula_Medtr1g094170.1,1
381,>mtr-miR2592ae,>lcl|Mtruncatula_Medtr7g090430.1,0
382,>gma-miR5780b,>lcl|Gmax_Glyma.02G283100.1,1
383,>gma-miR5373,>lcl|Gmax_Glyma.10G080700.1,0
384,>ath-miR8181,>lcl|Athaliana_AT2G13740.1,1
385,>ath-miR5645c,>lcl|Athaliana_AT5G36920.1,0
386,>mtr-miR5265,>lcl|Mtruncatula_Medtr1g052005.1,1
387,>mtr-miR5205c,>lcl|Mtruncatula_Medtr3g117730.1,0
388,>gma-miR482e,>lcl|Gmax_Glyma.02G011700.1,1
389,>gma-miR1510b-3p,>lcl|Gmax_Glyma.18G073900.1,0
390,>ath-miR5659,>NONATHT000457,1
391,>ath-miR837-3p,>CNT2088946,0
392,>mtr-miR5267a,>lcl|Mtruncatula_Medtr5g056760.1,1
393,>mtr-miR2655b,>lcl|Mtruncatula_Medtr4g049300.2,0
394,>gma-miR5036,>lcl|Gmax_Glyma.10G260700.1,1
395,>gma-miR2118a-3p,>lcl|Gmax_Glyma.19G119500.1,0
396,>ath-miR854a,>lcl|Athaliana_AT5G53486.1,1
397,>ath-miR472-5p,>CNT2089127,0
398,>mtr-miR2602a,>lcl|Mtruncatula_Medtr4g094345.1,1
399,>mtr-miR5562-3p,>lcl|Mtruncatula_Medtr3g117730.1,0
400,>gma-miR159b-3p,>lcl|Gmax_Glyma.09G216000.1,1
401,>gma-miR4374c,>lcl|Gmax_Glyma.06G248000.1,0
402,>ath-miR851-3p,>lcl|Athaliana_AT5G22970.2,1
403,>ath-miR833a-3p,>CNT2087846,0
404,>mtr-miR395k,>lcl|Mtruncatula_Medtr5g099270.1,1
405,>mtr-miR2668,>lcl|Mtruncatula_Medtr5g048060.2,0
406,>gma-miR1507c-5p,>lcl|Gmax_Glyma.14G155400.2,1
407,>gma-miR9728,>lcl|Gmax_Glyma.16G164700.3,0
408,>ath-miR5662,>CNT2085196,1
409,>ath-miR400,>NONATHT001488,0
410,>mtr-miR169a,>lcl|Mtruncatula_Medtr6g005620.1,1
411,>mtr-miR396c,>lcl|Mtruncatula_Medtr1g054150.1,0
412,>gma-miR169n-5p,>lcl|Gmax_Glyma.U035600.1,1
413,>gma-miR482c-5p,>lcl|Gmax_Glyma.18G165100.1,0
