,A,B,A_seq,B_seq,Label,pair_seq
169,>hsa-miR-15b-5p,>ENST00000444966.1,,,1,
170,>hsa-miR-30c-5p,>ENST00000561542.1,,,0,
171,>hsa-miR-16-5p,>ENST00000604571.1,,,1,
172,>hsa-miR-338-3p,>ENST00000437232.5,,,0,
173,>hsa-miR-106a-5p,>ENST00000429456.1,,,0,
174,>hsa-miR-497-5p,>ENST00000589234.5,,,1,
175,>hsa-miR-4458,>ENST00000454935.1,,,1,
176,>hsa-miR-32-5p,>ENST00000439558.5,,,0,
177,>hsa-miR-29b-3p,>ENST00000561275.5,,,1,
178,>hsa-miR-520c-3p,>ENST00000515570.1,,,0,
179,>hsa-miR-124-3p,>ENST00000591956.1,,,1,
180,>hsa-miR-340-5p,>ENST00000590186.5,,,1,
181,>hsa-miR-106b-5p,>ENST00000436126.5,,,1,
182,>hsa-miR-185-5p,>ENST00000602091.1,,,0,
183,>hsa-miR-26a-5p,>ENST00000498199.1,,,1,
184,>hsa-miR-370-3p,>ENST00000438095.1,,,1,
185,>hsa-miR-23c,>ENST00000450589.5,,,1,
186,>hsa-miR-381-3p,>ENST00000449175.1,,,0,
187,>hsa-miR-377-3p,>ENST00000545308.5,,,1,
188,>hsa-miR-302a-3p,>ENST00000562983.1,,,1,
189,>hsa-miR-302a-3p,>ENST00000564147.1,,,1,
190,>hsa-miR-15b-5p,>ENST00000501211.2,,,1,
191,>hsa-miR-374b-5p,>ENST00000630598.1,,,1,
192,>hsa-miR-544a,>ENST00000416952.5,,,1,
193,>hsa-miR-199b-5p,>ENST00000593065.5,,,1,
194,>hsa-miR-93-5p,>ENST00000625218.1,,,1,
195,>hsa-miR-4262,>ENST00000508156.5,,,0,
196,>hsa-miR-876-5p,>ENST00000602587.5,,,1,
197,>hsa-miR-101-3p,>ENST00000598368.1,,,0,
198,>hsa-miR-495-3p,>ENST00000450843.5,,,1,
199,>hsa-miR-23a-3p,>ENST00000519432.1,,,1,
200,>hsa-miR-16-5p,>ENST00000600693.5,,,1,
201,>hsa-miR-302e,>ENST00000591223.5,,,0,
202,>hsa-miR-761,>ENST00000559094.1,,,1,
203,>hsa-miR-93-5p,>ENST00000478824.1,,,1,
204,>hsa-miR-449b-5p,>ENST00000512287.1,,,1,
205,>hsa-miR-708-5p,>ENST00000591223.5,,,1,
206,>hsa-miR-3619-5p,>ENST00000602698.5,,,1,
207,>hsa-miR-20a-5p,>ENST00000447413.1,,,0,
208,>hsa-miR-101-3p,>ENST00000460471.1,,,0,
209,>hsa-miR-374a-5p,>ENST00000537095.1,,,0,
210,>hsa-miR-195-5p,>ENST00000590829.5,,,1,
211,>hsa-miR-3619-5p,>ENST00000382215.3,,,0,
212,>hsa-miR-143-3p,>ENST00000414894.1,,,1,
213,>hsa-miR-758-3p,>ENST00000509760.1,,,0,
214,>hsa-miR-17-5p,>ENST00000505873.1,,,1,
215,>hsa-miR-196b-5p,>ENST00000458220.1,,,1,
216,>hsa-miR-371a-5p,>ENST00000578968.5,,,1,
217,>hsa-miR-15a-5p,>ENST00000596365.5,,,1,
218,>hsa-miR-451a,>ENST00000585030.5,,,1,
219,>hsa-miR-505-3p,>ENST00000587306.5,,,0,
220,>hsa-miR-98-5p,>ENST00000555968.1,,,0,
221,>hsa-miR-221-3p,>ENST00000425595.5,,,1,
222,>hsa-miR-199a-5p,>ENST00000585451.5,,,0,
223,>hsa-miR-29c-3p,>ENST00000444470.5,,,1,
224,>hsa-miR-195-5p,>ENST00000593427.1,,,1,
225,>hsa-miR-542-3p,>ENST00000366234.7,,,0,
226,>hsa-miR-381-3p,>ENST00000566291.1,,,0,
227,>hsa-miR-16-5p,>ENST00000442823.2,,,1,
228,>hsa-miR-422a,>ENST00000444126.5,,,1,
229,>hsa-miR-519d-3p,>ENST00000424477.5,,,0,
230,>hsa-miR-128-3p,>ENST00000465215.1,,,0,
231,>hsa-miR-4735-3p,>ENST00000449589.5,,,1,
232,>hsa-miR-30c-5p,>ENST00000533996.5,,,1,
233,>hsa-miR-544a,>ENST00000513868.6,,,1,
234,>hsa-miR-140-5p,>ENST00000588223.5,,,0,
235,>hsa-miR-23a-3p,>ENST00000463143.5,,,0,
236,>hsa-miR-378e,>ENST00000559368.5,,,1,
237,>hsa-miR-320c,>ENST00000568229.5,,,0,
238,>hsa-miR-29b-3p,>ENST00000480904.2,,,1,
239,>hsa-miR-122-5p,>ENST00000483289.2,,,0,
240,>hsa-miR-32-5p,>ENST00000528549.1,,,1,
241,>hsa-miR-148b-3p,>ENST00000480904.2,,,0,
242,>hsa-miR-27b-3p,>ENST00000427669.5,,,1,
243,>hsa-miR-98-5p,>ENST00000580467.5,,,1,
244,>hsa-miR-136-5p,>ENST00000450686.1,,,1,
245,>hsa-miR-361-5p,>ENST00000409898.2,,,0,
246,>hsa-miR-21-5p,>ENST00000521851.1,,,1,
247,>hsa-miR-197-3p,>ENST00000554532.2,,,0,
248,>hsa-miR-329-3p,>ENST00000446698.5,,,0,
249,>hsa-miR-195-5p,>ENST00000593709.5,,,0,
250,>hsa-miR-130b-3p,>ENST00000428029.6,,,1,
251,>hsa-miR-181a-5p,>ENST00000598754.1,,,1,
252,>hsa-miR-193b-3p,>ENST00000414282.5,,,1,
253,>hsa-miR-424-5p,>ENST00000420503.1,,,1,
254,>hsa-miR-16-5p,>ENST00000596365.5,,,1,
255,>hsa-miR-20b-5p,>ENST00000518088.5,,,1,
256,>hsa-miR-149-5p,>ENST00000602597.1,,,0,
257,>hsa-miR-101-3p,>ENST00000540904.1,,,1,
258,>hsa-miR-346,>ENST00000450589.5,,,1,
259,>hsa-miR-455-5p,>ENST00000427447.5,,,0,
260,>hsa-miR-302b-3p,>ENST00000565256.1,,,1,
261,>hsa-miR-23b-3p,>ENST00000449289.5,,,1,
262,>hsa-miR-302c-3p,>ENST00000521159.5,,,1,
263,>hsa-miR-543,>ENST00000455531.1,,,0,
264,>hsa-miR-320d,>ENST00000584372.5,,,1,
265,>hsa-miR-433-3p,>ENST00000440698.1,,,0,
266,>hsa-miR-32-5p,>ENST00000589360.1,,,0,
267,>hsa-miR-19a-3p,>ENST00000515356.2,,,0,
268,>hsa-miR-18a-5p,>ENST00000437621.6,,,0,
269,>hsa-miR-28-5p,>ENST00000504506.5,,,0,
270,>hsa-miR-30a-5p,>ENST00000425586.5,,,1,
271,>hsa-miR-122-5p,>ENST00000414603.1,,,0,
272,>hsa-miR-374b-5p,>ENST00000475371.5,,,0,
273,>hsa-miR-125a-5p,>ENST00000495542.5,,,0,
274,>hsa-miR-195-5p,>ENST00000509012.5,,,1,
275,>hsa-miR-320d,>ENST00000420651.2,,,1,
276,>hsa-miR-15b-5p,>ENST00000593427.1,,,1,
277,>hsa-miR-24-3p,>ENST00000520068.5,,,0,
278,>hsa-miR-155-5p,>ENST00000438095.1,,,1,
279,>hsa-miR-302b-3p,>ENST00000532226.1,,,0,
280,>hsa-miR-4295,>ENST00000511998.1,,,0,
281,>hsa-miR-4295,>ENST00000591156.5,,,0,
282,>hsa-miR-130a-3p,>ENST00000414894.1,,,1,
283,>hsa-miR-449b-5p,>ENST00000411429.5,,,1,
284,>hsa-miR-346,>ENST00000525716.2,,,0,
285,>hsa-miR-320b,>ENST00000579174.5,,,1,
286,>hsa-miR-186-5p,>ENST00000441075.1,,,0,
287,>hsa-miR-145-5p,>ENST00000580770.5,,,1,
288,>hsa-miR-23a-3p,>ENST00000602823.1,,,1,
289,>hsa-miR-363-3p,>ENST00000603474.1,,,0,
290,>hsa-miR-149-5p,>ENST00000510859.5,,,0,
291,>hsa-miR-329-3p,>ENST00000588716.5,,,0,
292,>hsa-miR-499a-5p,>ENST00000553102.1,,,1,
293,>hsa-miR-29c-3p,>ENST00000519043.5,,,1,
294,>hsa-miR-27a-3p,>ENST00000589842.5,,,1,
295,>hsa-miR-335-5p,>ENST00000456352.2,,,0,
296,>hsa-miR-425-5p,>ENST00000414282.5,,,1,
297,>hsa-miR-199b-5p,>ENST00000420819.2,,,0,
298,>hsa-miR-155-5p,>ENST00000602698.5,,,1,
299,>hsa-miR-214-3p,>ENST00000418818.6,,,0,
300,>hsa-miR-411-5p,>ENST00000478806.1,,,0,
301,>hsa-miR-219a-5p,>ENST00000521256.1,,,1,
302,>hsa-miR-33b-5p,>ENST00000601445.5,,,1,
303,>hsa-miR-302b-3p,>ENST00000421538.1,,,0,
304,>hsa-miR-495-3p,>ENST00000583253.1,,,0,
305,>hsa-miR-18a-5p,>ENST00000454813.1,,,1,
306,>hsa-miR-148a-3p,>ENST00000499653.1,,,0,
307,>hsa-miR-34c-5p,>ENST00000421843.5,,,1,
308,>hsa-miR-425-5p,>ENST00000555766.1,,,0,
309,>hsa-miR-200b-3p,>ENST00000412162.1,,,0,
310,>hsa-miR-15b-5p,>ENST00000453289.1,,,0,
311,>hsa-miR-107,>ENST00000592750.5,,,1,
312,>hsa-miR-449b-5p,>ENST00000562077.5,,,0,
313,>hsa-miR-29a-3p,>ENST00000418918.5,,,1,
314,>hsa-miR-221-3p,>ENST00000455838.5,,,1,
315,>hsa-miR-424-5p,>ENST00000600693.5,,,1,
316,>hsa-miR-27b-3p,>ENST00000560068.1,,,1,
317,>hsa-miR-372-3p,>ENST00000521231.1,,,0,
318,>hsa-miR-374a-5p,>ENST00000462305.5,,,0,
319,>hsa-miR-16-5p,>ENST00000435968.5,,,0,
320,>hsa-miR-543,>ENST00000578293.6,,,1,
321,>hsa-miR-328-3p,>ENST00000590932.5,,,0,
322,>hsa-miR-374a-5p,>ENST00000421068.5,,,1,
323,>hsa-miR-222-3p,>ENST00000591365.1,,,0,
324,>hsa-miR-25-3p,>ENST00000560706.5,,,1,
325,>hsa-miR-302c-3p,>ENST00000586232.5,,,1,
326,>hsa-miR-30c-5p,>ENST00000417691.1,,,1,
327,>hsa-miR-302a-3p,>ENST00000511052.1,,,1,
328,>hsa-miR-3619-5p,>ENST00000425476.5,,,0,
329,>hsa-miR-421,>ENST00000511998.1,,,0,
330,>hsa-miR-15b-5p,>ENST00000507963.5,,,0,
331,>hsa-miR-378b,>ENST00000518947.6,,,0,
332,>hsa-miR-367-3p,>ENST00000601445.5,,,0,
333,>hsa-miR-3167,>ENST00000447413.1,,,1,
334,>hsa-miR-506-3p,>ENST00000439670.6,,,1,
335,>hsa-miR-424-5p,>ENST00000508590.1,,,1,
336,>hsa-miR-16-5p,>ENST00000455474.5,,,0,
337,>hsa-miR-376a-3p,>ENST00000539303.5,,,1,
338,>hsa-miR-223-3p,>ENST00000601263.1,,,1,
339,>hsa-miR-181d-5p,>ENST00000546682.5,,,1,
340,>hsa-miR-28-5p,>ENST00000468575.1,,,0,
341,>hsa-miR-15a-5p,>ENST00000530169.5,,,1,
342,>hsa-miR-19a-3p,>ENST00000412393.5,,,1,
343,>hsa-miR-374b-5p,>ENST00000561542.1,,,1,
344,>hsa-miR-33a-5p,>ENST00000569449.1,,,1,
345,>hsa-miR-154-5p,>ENST00000510764.1,,,0,
346,>hsa-miR-3118,>ENST00000448927.1,,,0,
347,>hsa-miR-30b-5p,>ENST00000377680.3,,,0,
348,>hsa-miR-363-3p,>ENST00000433902.2,,,0,
349,>hsa-miR-196b-5p,>ENST00000594941.5,,,0,
350,>hsa-miR-196a-5p,>ENST00000570677.1,,,0,
351,>hsa-miR-106a-5p,>ENST00000552156.5,,,1,
352,>hsa-miR-204-5p,>ENST00000586030.5,,,1,
353,>hsa-miR-449a,>ENST00000458220.1,,,0,
354,>hsa-miR-195-5p,>ENST00000515356.2,,,0,
355,>hsa-miR-363-3p,>ENST00000412730.1,,,0,
356,>hsa-miR-185-5p,>ENST00000419736.5,,,0,
357,>hsa-miR-491-5p,>ENST00000595673.1,,,0,
358,>hsa-miR-212-3p,>ENST00000448136.5,,,1,
359,>hsa-miR-1297,>ENST00000509105.1,,,0,
360,>hsa-miR-27b-3p,>ENST00000586831.5,,,1,
361,>hsa-miR-339-5p,>ENST00000598448.5,,,1,
362,>hsa-miR-411-5p,>ENST00000584327.5,,,1,
363,>hsa-miR-34c-5p,>ENST00000577267.1,,,0,
364,>hsa-miR-15a-5p,>ENST00000593642.5,,,1,
365,>hsa-miR-485-5p,>ENST00000422183.5,,,1,
366,>hsa-miR-302d-3p,>ENST00000590213.1,,,1,
367,>hsa-miR-29b-3p,>ENST00000513489.5,,,0,
368,>hsa-miR-520a-3p,>ENST00000520590.5,,,0,
369,>hsa-miR-31-5p,>ENST00000507486.1,,,1,
370,>hsa-miR-143-3p,>ENST00000568179.1,,,1,
371,>hsa-miR-19a-3p,>ENST00000451141.1,,,0,
372,>hsa-miR-30b-5p,>ENST00000533179.1,,,1,
373,>hsa-miR-497-5p,>ENST00000522875.5,,,1,
374,>hsa-miR-410-3p,>ENST00000492250.5,,,1,
375,>hsa-miR-200a-3p,>ENST00000562570.1,,,0,
376,>hsa-miR-19a-3p,>ENST00000602422.1,,,1,
377,>hsa-miR-454-3p,>ENST00000453023.1,,,0,
378,>hsa-miR-543,>ENST00000519043.5,,,1,
379,>hsa-miR-195-5p,>ENST00000531702.1,,,1,
380,>hsa-miR-145-5p,>ENST00000541615.5,,,1,
381,>hsa-miR-152-3p,>ENST00000413961.5,,,1,
382,>hsa-miR-196a-5p,>ENST00000499583.1,,,0,
383,>hsa-miR-449a,>ENST00000524947.1,,,0,
384,>hsa-miR-370-3p,>ENST00000484285.2,,,1,
385,>hsa-miR-3118,>ENST00000427868.6,,,1,
386,>hsa-miR-381-3p,>ENST00000431090.1,,,0,
387,>hsa-miR-378e,>ENST00000527067.1,,,0,
388,>hsa-miR-372-3p,>ENST00000433505.5,,,0,
389,>hsa-miR-33b-5p,>ENST00000554036.1,,,1,
390,>hsa-miR-30c-5p,>ENST00000445817.1,,,0,
391,>hsa-miR-195-5p,>ENST00000596365.5,,,1,
392,>hsa-miR-10a-5p,>ENST00000601850.5,,,1,
393,>hsa-miR-29b-3p,>ENST00000519694.1,,,1,
394,>hsa-miR-362-3p,>ENST00000429859.5,,,1,
395,>hsa-miR-4770,>ENST00000525716.2,,,0,
396,>hsa-miR-130a-3p,>ENST00000501194.2,,,0,
397,>hsa-miR-199b-5p,>ENST00000546421.1,,,0,
398,>hsa-miR-320c,>ENST00000313807.4,,,0,
399,>hsa-miR-29c-3p,>ENST00000456685.5,,,0,
400,>hsa-miR-144-3p,>ENST00000555037.1,,,1,
401,>hsa-miR-23b-3p,>ENST00000435981.5,,,0,
402,>hsa-miR-373-3p,>ENST00000528466.1,,,0,
403,>hsa-miR-93-5p,>ENST00000549329.5,,,1,
404,>hsa-miR-454-3p,>ENST00000588286.1,,,0,
405,>hsa-miR-145-5p,>ENST00000567068.1,,,0,
406,>hsa-miR-708-5p,>ENST00000562570.1,,,0,
407,>hsa-miR-613,>ENST00000358073.2,,,1,
408,>hsa-miR-599,>ENST00000590780.5,,,1,
409,>hsa-miR-98-5p,>ENST00000591892.2,,,0,
410,>hsa-miR-302e,>ENST00000577297.5,,,1,
411,>hsa-miR-145-5p,>ENST00000559285.1,,,1,
412,>hsa-miR-23c,>ENST00000509760.1,,,0,
413,>hsa-miR-422a,>ENST00000563286.1,,,0,
414,>hsa-miR-20a-5p,>ENST00000566583.5,,,1,
415,>hsa-miR-223-3p,>ENST00000601572.5,,,1,
416,>hsa-miR-138-5p,>ENST00000424477.5,,,1,
417,>hsa-miR-181d-5p,>ENST00000578293.6,,,1,
418,>hsa-miR-24-3p,>ENST00000589440.1,,,0,
419,>hsa-miR-27a-3p,>ENST00000592897.1,,,0,
420,>hsa-miR-372-3p,>ENST00000587278.1,,,1,
421,>hsa-miR-497-5p,>ENST00000435295.1,,,1,
422,>hsa-miR-210-3p,>ENST00000530422.1,,,1,
423,>hsa-miR-16-5p,>ENST00000510859.5,,,0,
424,>hsa-miR-16-5p,>ENST00000577889.1,,,1,
425,>hsa-miR-373-3p,>ENST00000628924.1,,,1,
426,>hsa-miR-18b-5p,>ENST00000585625.5,,,0,
427,>hsa-miR-3619-5p,>ENST00000398461.5,,,0,
428,>hsa-miR-328-3p,>ENST00000399543.1,,,0,
429,>hsa-miR-216a-5p,>ENST00000466740.2,,,0,
430,>hsa-miR-320d,>ENST00000568853.1,,,0,
431,>hsa-miR-3167,>ENST00000436656.5,,,1,
432,>hsa-miR-320d,>ENST00000582733.5,,,1,
433,>hsa-miR-186-5p,>ENST00000434781.5,,,0,
434,>hsa-miR-181a-5p,>ENST00000553149.1,,,1,
435,>hsa-miR-320b,>ENST00000437028.5,,,0,
436,>hsa-miR-372-3p,>ENST00000533232.5,,,0,
437,>hsa-miR-491-5p,>ENST00000548978.2,,,1,
438,>hsa-miR-4262,>ENST00000561344.5,,,0,
439,>hsa-miR-449b-5p,>ENST00000458698.6,,,1,
440,>hsa-miR-29b-3p,>ENST00000566583.5,,,1,
441,>hsa-miR-148a-3p,>ENST00000454596.1,,,0,
442,>hsa-miR-142-3p,>ENST00000431767.5,,,0,
443,>hsa-miR-216a-5p,>ENST00000437681.1,,,1,
444,>hsa-miR-22-3p,>ENST00000537498.1,,,0,
445,>hsa-miR-1297,>ENST00000451786.5,,,1,
446,>hsa-miR-1271-5p,>ENST00000429456.1,,,0,
447,>hsa-miR-302a-3p,>ENST00000512287.1,,,0,
