,Seqname,0,1,2,3,4,5,6
56,ENST00000612390.4,0.388182,0.384079,0.382848,0.39762,0.000205,0.000202,0.000208
57,ENST00000416017.1,0.392857,0.367347,0.408163,0.403061,0.001559,0.00141,0.001281
58,ENST00000620678.1,0.403263,0.405594,0.370629,0.433566,0.003086,0.003091,0.002822
59,ENST00000649739.1,0.687339,0.635659,0.728682,0.697674,0.007087,0.006283,0.006003
60,ENST00000647681.1,0.676404,0.711236,0.620225,0.697753,0.007223,0.007108,0.007308
61,ENST00000503940.5,0.662971,0.678492,0.625277,0.685144,0.003283,0.003479,0.003764
62,ENST00000515640.5,0.570437,0.616239,0.566273,0.528799,0.005677,0.005561,0.005564
63,ENST00000397835.4,0.682819,0.69163,0.643172,0.713656,0.003986,0.004055,0.003705
64,ENST00000408887.3,0.581959,0.581443,0.584536,0.579897,1.60E-05,1.80E-05,1.30E-05
65,ENST00000675823.1,0.496756,0.478221,0.485171,0.526877,0.002114,0.002075,0.002099
66,ENST00000675704.1,0.492818,0.503867,0.481326,0.49326,0.000378,0.000367,0.000379
67,ENST00000674760.1,0.521909,0.537527,0.516703,0.511497,0.000552,0.000584,0.000594
68,ENST00000676093.1,0.494297,0.536122,0.461977,0.484791,0.004292,0.004384,0.004316
69,ENST00000675716.1,0.485396,0.489249,0.491075,0.475862,0.000203,0.0002,0.000205
70,ENST00000674714.1,0.552158,0.561151,0.517986,0.577338,0.002889,0.002827,0.002545
71,ENST00000674922.1,0.618243,0.623311,0.552365,0.679054,0.012335,0.01234,0.012761
72,ENST00000674683.1,0.615385,0.605225,0.557329,0.683599,0.012459,0.012483,0.012034
73,ENST00000676338.1,0.587302,0.587302,0.563492,0.611111,0.001834,0.001824,0.001493
74,ENST00000675285.1,0.61828,0.634409,0.580645,0.639785,0.003243,0.003397,0.003031
75,ENST00000658000.1,0.545143,0.533825,0.559884,0.541722,0.000539,0.000525,0.000544
76,ENST00000370940.6,0.51995,0.568579,0.512469,0.478803,0.00601,0.006306,0.006338
77,ENST00000359875.9,0.516704,0.534521,0.487751,0.52784,0.001913,0.00183,0.00169
78,ENST00000463058.5,0.512019,0.566106,0.49399,0.475962,0.006671,0.006405,0.006489
79,ENST00000525653.1,0.483309,0.409289,0.539913,0.500726,0.013691,0.014236,0.014605
80,ENST00000356020.2,0.551353,0.572859,0.536151,0.54505,0.001083,0.001124,0.001147
81,ENST00000649288.1,0.591409,0.593184,0.601704,0.57934,0.000374,0.000377,0.000364
82,ENST00000648587.1,0.512337,0.529472,0.498629,0.50891,0.000729,0.000757,0.000735
83,ENST00000442114.6,0.606948,0.615632,0.616597,0.588614,0.000742,0.000757,0.000774
84,ENST00000336600.6,0.579238,0.6,0.584571,0.553143,0.001696,0.001681,0.001677
85,ENST00000650606.1,0.611262,0.602529,0.616079,0.615176,0.000179,0.000165,0.00016
86,ENST00000574093.1,0.65692,0.637427,0.666667,0.666667,0.000974,0.001108,0.001241
87,ENST00000571868.1,0.600316,0.606635,0.578199,0.616114,0.001203,0.001253,0.001392
88,ENST00000514664.1,0.563328,0.571341,0.557473,0.561171,0.00015,0.000162,0.00017
89,ENST00000625191.3,0.541391,0.514073,0.561258,0.548841,0.001843,0.001943,0.001874
90,ENST00000511063.5,0.553687,0.525873,0.605433,0.529754,0.006048,0.005955,0.00583
91,ENST00000512899.4,0.553122,0.476451,0.607886,0.575027,0.01423,0.014601,0.014357
92,ENST00000513845.4,0.539559,0.509728,0.579767,0.529183,0.003971,0.003783,0.003581
93,ENST00000513142.1,0.54641,0.457093,0.583187,0.598949,0.018584,0.017873,0.017579
94,ENST00000649041.1,0.498904,0.504018,0.493061,0.499635,8.70E-05,7.20E-05,5.60E-05
95,ENST00000650318.1,0.54567,0.536874,0.555142,0.544993,0.000256,0.000269,0.000285
96,ENST00000540508.1,0.350746,0.328358,0.365672,0.358209,0.001253,0.001623,0.001402
97,ENST00000538604.1,0.512104,0.519553,0.513966,0.502793,0.000174,0.000128,0.000112
98,ENST00000647872.1,0.500885,0.502274,0.503791,0.496588,4.20E-05,4.10E-05,4.00E-05
99,ENST00000426261.6,0.510791,0.506115,0.505036,0.521223,0.000254,0.000262,0.000253
100,ENST00000468381.2,0.528187,0.53209,0.511275,0.541197,0.000713,0.00072,0.000686
101,ENST00000535846.1,0.564972,0.576271,0.533898,0.584746,0.002256,0.002333,0.002115
102,ENST00000661785.1,0.450909,0.447273,0.444545,0.460909,0.000249,0.000269,0.000297
103,ENST00000653508.1,0.535108,0.528683,0.539697,0.536944,0.000105,0.000118,0.000109
104,ENST00000658783.1,0.441729,0.431391,0.456767,0.43703,0.000541,0.000594,0.000655
105,ENST00000657015.1,0.491628,0.510382,0.488279,0.476222,0.000868,0.000813,0.000822
106,ENST00000654263.1,0.434231,0.432647,0.442155,0.427892,0.000154,0.000163,0.000132
107,ENST00000667136.1,0.493946,0.501766,0.487386,0.492684,0.000155,0.000147,0.000154
108,ENST00000657905.1,0.549914,0.579417,0.540309,0.530017,0.002011,0.001972,0.001984
109,ENST00000671646.1,0.554993,0.534009,0.558973,0.571997,0.001142,0.001173,0.001167
110,ENST00000659175.1,0.536939,0.534524,0.55915,0.517141,0.001325,0.00133,0.001286
111,ENST00000663530.1,0.552298,0.536054,0.584786,0.536054,0.002377,0.002403,0.002352
112,ENST00000663437.1,0.572903,0.56129,0.597419,0.56,0.001354,0.001373,0.001334
113,ENST00000659749.1,0.499405,0.500198,0.509726,0.488289,0.00034,0.000339,0.00032
114,ENST00000623100.2,0.478358,0.472557,0.465863,0.496653,0.000803,0.000792,0.000819
115,ENST00000589406.1,0.363787,0.358413,0.358413,0.374535,0.000268,0.00026,0.000253
116,ENST00000378485.1,0.371055,0.358737,0.377213,0.377213,0.000347,0.000365,0.000371
117,ENST00000473798.1,0.526955,0.558087,0.528474,0.494305,0.002985,0.002888,0.002892
118,ENST00000674356.1,0.553357,0.573741,0.519784,0.566547,0.002571,0.002631,0.002716
119,ENST00000445551.1,0.586688,0.597848,0.564368,0.597848,0.001122,0.001106,0.00114
120,ENST00000464612.5,0.433936,0.379694,0.442281,0.479833,0.007879,0.00829,0.008209
121,ENST00000481220.6,0.541114,0.561008,0.549072,0.513263,0.001757,0.001655,0.001607
122,ENST00000461448.6,0.504258,0.509124,0.498175,0.505474,9.00E-05,0.000104,8.70E-05
123,ENST00000481368.6,0.513333,0.528333,0.508333,0.503333,0.000504,0.00047,0.000481
124,ENST00000470977.6,0.505435,0.516304,0.48913,0.51087,0.000614,0.000659,0.00073
125,ENST00000648127.1,0.547835,0.54356,0.538749,0.561197,0.000436,0.000446,0.000423
126,ENST00000474814.1,0.504992,0.490279,0.50762,0.517078,0.000576,0.000541,0.000547
127,ENST00000488745.5,0.495238,0.503297,0.483516,0.498901,0.00032,0.000295,0.00026
128,ENST00000483436.5,0.542522,0.558651,0.519062,0.549853,0.00128,0.001191,0.001337
129,ENST00000650259.1,0.478149,0.478149,0.51671,0.439589,0.004356,0.004334,0.004775
130,ENST00000650239.1,0.524804,0.527415,0.54047,0.506527,0.000854,0.000863,0.000808
131,ENST00000648327.1,0.566066,0.557057,0.567568,0.573574,0.000224,0.000201,0.000205
132,ENST00000623673.1,0.553217,0.541191,0.55021,0.56825,0.000598,0.000562,0.00057
133,ENST00000625168.1,0.444769,0.440546,0.45614,0.437622,0.000296,0.000304,0.000285
134,ENST00000378953.8,0.616773,0.617834,0.589172,0.643312,0.002259,0.002255,0.002359
135,ENST00000612967.2,0.551057,0.541741,0.544966,0.566464,0.000557,0.000571,0.000561
136,ENST00000461203.5,0.575816,0.523992,0.575816,0.627639,0.008437,0.007934,0.007918
137,ENST00000337752.6,0.486679,0.480806,0.491504,0.487728,9.00E-05,8.50E-05,8.10E-05
138,ENST00000378947.7,0.611916,0.565217,0.608696,0.661836,0.007339,0.007621,0.007615
139,ENST00000407797.6,0.533758,0.506369,0.521656,0.573248,0.003759,0.003834,0.003862
140,ENST00000664942.1,0.399885,0.403913,0.39183,0.403913,0.000146,0.000135,0.00012
141,ENST00000585033.1,0.660714,0.573214,0.675,0.733929,0.020466,0.019583,0.019448
142,ENST00000323813.3,0.554502,0.550948,0.614929,0.49763,0.010279,0.010278,0.010004
143,ENST00000647812.1,0.553743,0.547025,0.570058,0.544146,0.000603,0.00057,0.000511
144,ENST00000429328.2,0.543117,0.540091,0.562784,0.526475,0.000982,0.001007,0.000887
145,ENST00000442182.2,0.463028,0.47007,0.454225,0.464789,0.000185,0.000237,0.000328
146,ENST00000657479.1,0.466844,0.465517,0.453581,0.481432,0.000619,0.00061,0.000704
147,ENST00000664471.1,0.450472,0.445755,0.466981,0.438679,0.000635,0.000716,0.000901
148,ENST00000328376.9,0.468531,0.456697,0.463152,0.485745,0.000721,0.000753,0.000766
149,ENST00000481400.5,0.468227,0.479599,0.455518,0.469565,0.00043,0.000396,0.000437
150,ENST00000466204.5,0.46495,0.467811,0.450644,0.476395,0.000526,0.000518,0.000568
151,ENST00000426078.5,0.428486,0.416567,0.454112,0.414779,0.001481,0.001452,0.001377
152,ENST00000665000.1,0.412089,0.409451,0.41017,0.416647,4.90E-05,5.30E-05,5.10E-05
153,ENST00000662797.1,0.487562,0.453358,0.5,0.509328,0.002751,0.002854,0.002816
154,ENST00000661769.1,0.414775,0.424865,0.415135,0.404324,0.000308,0.000289,0.00029
155,ENST00000669217.1,0.44668,0.427062,0.451207,0.461771,0.000974,0.000935,0.000943
156,ENST00000654228.1,0.445442,0.436464,0.446823,0.453039,0.000216,0.000207,0.000209
157,ENST00000660444.1,0.417329,0.403816,0.426073,0.422099,0.000429,0.000416,0.000424
158,ENST00000666079.1,0.394508,0.383791,0.395847,0.403885,0.000323,0.000365,0.00037
159,ENST00000415584.7,0.506329,0.531646,0.474684,0.512658,0.002492,0.002357,0.002542
160,ENST00000526694.2,0.441379,0.416092,0.457471,0.450575,0.001511,0.001614,0.001551
161,ENST00000666432.1,0.410889,0.403443,0.410423,0.418799,0.00018,0.000187,0.000186
162,ENST00000623052.1,0.433776,0.434393,0.424205,0.442729,0.000262,0.000261,0.000276
163,ENST00000565113.5,0.376335,0.351057,0.368708,0.409239,0.002686,0.002667,0.002676
164,ENST00000568310.1,0.407579,0.466357,0.348028,0.408353,0.010456,0.010224,0.010066
165,ENST00000422980.1,0.429644,0.472795,0.41651,0.399625,0.004239,0.004569,0.0047
166,ENST00000629811.2,0.391608,0.482517,0.367133,0.325175,0.019368,0.017795,0.018163
167,ENST00000630798.1,0.418508,0.455801,0.381215,0.418508,0.004114,0.003859,0.004136
168,ENST00000371417.3,0.611781,0.579134,0.638751,0.617459,0.00279,0.002876,0.00281
169,ENST00000496793.2,0.634521,0.609863,0.659178,0.634521,0.001851,0.001898,0.001854
170,ENST00000623970.1,0.604525,0.604072,0.61086,0.598643,0.000108,0.00011,0.0001
171,ENST00000663398.1,0.533748,0.53952,0.519538,0.542185,0.000462,0.000452,0.000479
172,ENST00000624458.1,0.469983,0.464837,0.463122,0.48199,0.000341,0.000329,0.000312
173,ENST00000556865.1,0.48996,0.481928,0.513253,0.474699,0.001254,0.001285,0.001201
174,ENST00000647762.1,0.515009,0.464391,0.536786,0.543849,0.005879,0.005747,0.005802
175,ENST00000440903.1,0.478458,0.462585,0.517007,0.455782,0.003376,0.003561,0.003162
176,ENST00000648094.1,0.397701,0.37931,0.438621,0.375172,0.003782,0.003827,0.003728
177,ENST00000623772.1,0.708497,0.72549,0.684314,0.715686,0.001376,0.001348,0.001251
178,ENST00000646751.1,0.427114,0.441691,0.415452,0.424198,0.000505,0.000588,0.000687
179,ENST00000375640.7,0.509971,0.518519,0.51567,0.495726,0.000431,0.000399,0.000375
180,ENST00000375641.6,0.45515,0.468439,0.448505,0.448505,0.000354,0.00026,0.000315
181,ENST00000375635.6,0.47541,0.472131,0.486885,0.467213,0.000306,0.000282,0.000364
182,ENST00000375638.7,0.504132,0.506494,0.506494,0.49941,3.90E-05,5.10E-05,6.40E-05
183,ENST00000648677.1,0.5,0.492978,0.522472,0.484551,0.001177,0.00113,0.001276
184,ENST00000375642.6,0.512474,0.511435,0.511435,0.514553,1.60E-05,1.10E-05,6.00E-06
185,ENST00000375633.5,0.447099,0.414676,0.481229,0.445392,0.003407,0.003188,0.002917
186,ENST00000395788.3,0.426994,0.408589,0.397546,0.474847,0.005369,0.005273,0.00513
187,ENST00000507461.2,0.44497,0.461538,0.472189,0.401183,0.00432,0.004392,0.004235
188,ENST00000671203.1,0.447063,0.44745,0.427743,0.465997,0.001109,0.001109,0.001079
189,ENST00000666506.1,0.435917,0.400149,0.447094,0.460507,0.003076,0.002975,0.002932
190,ENST00000663605.1,0.40901,0.38767,0.39834,0.44102,0.002412,0.002389,0.002405
191,ENST00000666004.1,0.433673,0.453618,0.432746,0.414657,0.001118,0.001072,0.001071
192,ENST00000665180.1,0.390346,0.376387,0.397074,0.397578,0.000443,0.000456,0.00046
193,ENST00000669536.1,0.466683,0.49257,0.462368,0.44511,0.001716,0.001687,0.001691
194,ENST00000667197.1,0.467597,0.469922,0.446382,0.486486,0.001226,0.001228,0.001259
195,ENST00000668566.1,0.466464,0.472813,0.475297,0.451283,0.000515,0.000523,0.000511
196,ENST00000668061.1,0.453972,0.468701,0.446607,0.446607,0.000473,0.000436,0.000421
197,ENST00000658416.1,0.45046,0.420682,0.438549,0.492149,0.004208,0.00429,0.004318
198,ENST00000665322.1,0.422193,0.431034,0.421751,0.413793,0.000214,0.000229,0.000231
199,ENST00000655479.1,0.450368,0.413603,0.523897,0.413603,0.012211,0.011914,0.011303
200,ENST00000652878.1,0.402778,0.401316,0.412281,0.394737,0.000231,0.000239,0.000202
201,ENST00000657415.1,0.488279,0.498254,0.498254,0.468329,0.000875,0.000853,0.000875
202,ENST00000653458.1,0.343666,0.337197,0.338005,0.355795,0.000337,0.000348,0.000343
203,ENST00000655714.1,0.32975,0.332383,0.319877,0.33699,0.000236,0.000233,0.000227
204,ENST00000617372.1,0.612368,0.576923,0.649321,0.61086,0.003987,0.004085,0.004246
205,ENST00000556434.5,0.512332,0.497758,0.504484,0.534753,0.001234,0.001311,0.001347
206,ENST00000556913.1,0.445528,0.435366,0.447561,0.453659,0.00027,0.000292,0.000288
207,ENST00000556130.1,0.471533,0.494891,0.472993,0.446715,0.001652,0.0018,0.001795
208,ENST00000635379.1,0.502194,0.521003,0.49279,0.49279,0.00077,0.000824,0.000797
209,ENST00000399206.4,0.482874,0.459047,0.498138,0.491437,0.001329,0.001291,0.001316
210,ENST00000658223.1,0.424978,0.447439,0.433962,0.393531,0.002305,0.002205,0.002159
211,ENST00000533506.5,0.43617,0.430851,0.458207,0.419453,0.001181,0.001164,0.001083
212,ENST00000528300.5,0.464464,0.461035,0.462905,0.469451,6.20E-05,5.80E-05,5.60E-05
213,ENST00000655269.1,0.465704,0.509025,0.447653,0.440433,0.004153,0.003918,0.003827
214,ENST00000529902.2,0.492171,0.497079,0.488666,0.490769,5.50E-05,6.00E-05,5.70E-05
215,ENST00000557142.6,0.46953,0.47174,0.467003,0.469845,1.60E-05,1.30E-05,1.70E-05
216,ENST00000603474.1,0.542751,0.557621,0.579926,0.490706,0.006145,0.006381,0.007059
217,ENST00000553463.1,0.521008,0.546218,0.504202,0.512605,0.001345,0.001079,0.000894
218,ENST00000553914.6,0.528814,0.508475,0.50339,0.574576,0.004937,0.004762,0.00455
219,ENST00000554129.1,0.498044,0.495437,0.511082,0.487614,0.000424,0.00043,0.000456
220,ENST00000556019.2,0.503745,0.533708,0.460674,0.516854,0.004355,0.004609,0.004256
221,ENST00000623502.1,0.545641,0.590769,0.498462,0.547692,0.006335,0.006569,0.006338
222,ENST00000635675.2,0.472934,0.446581,0.495726,0.476496,0.001872,0.001965,0.001889
223,ENST00000634934.2,0.505929,0.482213,0.539526,0.496047,0.0027,0.002771,0.002676
224,ENST00000634712.2,0.507925,0.466859,0.551153,0.505764,0.005387,0.005524,0.00539
225,ENST00000634451.2,0.508006,0.49345,0.558952,0.471616,0.006173,0.006262,0.005948
226,ENST00000635450.2,0.567054,0.61774,0.541711,0.541711,0.005651,0.005458,0.005557
227,ENST00000642072.1,0.5,0.523669,0.47929,0.497041,0.001389,0.001116,0.001399
228,ENST00000404210.5,0.465938,0.469302,0.428932,0.499579,0.003814,0.00382,0.003977
229,ENST00000641009.1,0.531724,0.537931,0.529655,0.527586,7.90E-05,6.30E-05,6.90E-05
230,ENST00000452322.2,0.477354,0.487419,0.478792,0.465852,0.000332,0.000301,0.000295
231,ENST00000490765.4,0.62987,0.636364,0.62987,0.623377,7.90E-05,4.80E-05,4.80E-05
232,ENST00000392630.7,0.653304,0.635428,0.677681,0.646804,0.001448,0.001479,0.001439
233,ENST00000566432.1,0.502126,0.511339,0.507087,0.487952,0.000454,0.00044,0.000431
234,ENST00000648023.1,0.512877,0.503014,0.499726,0.53589,0.00123,0.001254,0.001285
235,ENST00000564862.2,0.540462,0.489884,0.550578,0.580925,0.006677,0.007005,0.007068
236,ENST00000567117.1,0.581466,0.604888,0.574338,0.565173,0.001229,0.001357,0.001386
237,ENST00000624760.1,0.473746,0.484831,0.504084,0.432322,0.004103,0.00407,0.004147
238,ENST00000588785.6,0.505459,0.497817,0.517467,0.501092,0.000339,0.000382,0.000448
239,ENST00000585457.6,0.589151,0.60827,0.61494,0.544242,0.004527,0.004494,0.004555
240,ENST00000591166.1,0.530504,0.509284,0.533156,0.549072,0.001292,0.001421,0.001402
241,ENST00000656516.1,0.5602,0.569869,0.529632,0.581098,0.002205,0.002192,0.002231
242,ENST00000592897.1,0.635209,0.577132,0.62069,0.707804,0.013798,0.014164,0.013984
243,ENST00000606861.1,0.572163,0.572849,0.599589,0.544052,0.0023,0.002298,0.002262
244,ENST00000321399.7,0.62354,0.626685,0.617251,0.626685,8.90E-05,9.70E-05,8.10E-05
245,ENST00000413472.5,0.518717,0.470588,0.561497,0.524064,0.006424,0.006037,0.005725
246,ENST00000453118.5,0.542722,0.574543,0.526812,0.526812,0.002234,0.002161,0.002198
247,ENST00000445317.1,0.647045,0.673887,0.630798,0.636449,0.001628,0.001609,0.001621
248,ENST00000667159.1,0.57098,0.555294,0.569412,0.588235,0.000866,0.000803,0.000809
249,ENST00000670730.1,0.570114,0.554777,0.575811,0.579755,0.00056,0.000526,0.000539
250,ENST00000435800.6,0.5201,0.535176,0.517588,0.507538,0.000552,0.000612,0.000623
251,ENST00000428411.6,0.4528,0.452232,0.455981,0.450187,2.60E-05,2.60E-05,2.40E-05
252,ENST00000420168.2,0.493411,0.499736,0.479178,0.501318,0.00046,0.000445,0.000414
253,ENST00000627431.2,0.4548,0.43616,0.472507,0.455732,0.001019,0.000949,0.000873
254,ENST00000413231.5,0.342175,0.302387,0.302387,0.421751,0.014692,0.014325,0.014961
255,ENST00000654334.1,0.463104,0.455471,0.496183,0.437659,0.002685,0.002654,0.002526
256,ENST00000662852.1,0.507289,0.542274,0.495627,0.483965,0.002774,0.002632,0.00258
257,ENST00000659961.1,0.432258,0.449032,0.443226,0.404516,0.001723,0.001765,0.001729
258,ENST00000665960.1,0.483036,0.479464,0.492857,0.476786,0.00022,0.000206,0.000244
259,ENST00000455967.1,0.540107,0.529412,0.541444,0.549465,0.000352,0.000419,0.00041
260,ENST00000569711.1,0.498584,0.498988,0.503845,0.492918,8.60E-05,8.60E-05,9.70E-05
261,ENST00000428794.1,0.455243,0.491049,0.421995,0.452685,0.003469,0.003858,0.003513
262,ENST00000413987.1,0.462971,0.483871,0.456611,0.448433,0.001011,0.001052,0.001066
263,ENST00000447507.1,0.367568,0.259459,0.389189,0.454054,0.030895,0.034713,0.033684
264,ENST00000437681.1,0.46557,0.44759,0.472839,0.476282,0.000752,0.000724,0.000735
265,ENST00000469312.6,0.449923,0.439137,0.446071,0.464561,0.000546,0.000512,0.0005
266,ENST00000490006.6,0.425486,0.386609,0.427646,0.462203,0.004372,0.004268,0.004257
267,ENST00000476432.5,0.570144,0.528777,0.555755,0.625899,0.007879,0.008182,0.008039
268,ENST00000467438.1,0.533474,0.541895,0.555789,0.502737,0.002247,0.002263,0.002224
269,ENST00000484933.6,0.460214,0.468527,0.440024,0.47209,0.000929,0.000939,0.000969
270,ENST00000589455.5,0.561338,0.557621,0.652416,0.473978,0.023782,0.02366,0.02305
271,ENST00000587165.1,0.549296,0.528169,0.633803,0.485915,0.017354,0.017037,0.016316
272,ENST00000449169.1,0.468786,0.456147,0.48717,0.463041,0.0008,0.000824,0.000791
273,ENST00000415386.2,0.582041,0.594961,0.546512,0.604651,0.002927,0.002894,0.002779
274,ENST00000418244.5,0.539851,0.564293,0.516472,0.538789,0.001677,0.001575,0.001461
275,ENST00000449386.5,0.579525,0.575868,0.559415,0.603291,0.001574,0.001533,0.001687
276,ENST00000455744.1,0.579365,0.579365,0.595238,0.563492,0.000695,0.000692,0.00056
277,ENST00000423408.6,0.484985,0.502252,0.45045,0.502252,0.002688,0.002628,0.002753
278,ENST00000427292.2,0.485375,0.502767,0.505138,0.448221,0.003055,0.003113,0.003041
279,ENST00000653076.1,0.510484,0.503254,0.503254,0.524946,0.000496,0.000521,0.000544
280,ENST00000442751.1,0.734359,0.753846,0.750769,0.698462,0.002791,0.002744,0.0027
281,ENST00000428461.1,0.67701,0.702398,0.61354,0.715092,0.009254,0.009137,0.009424
282,ENST00000438293.1,0.455346,0.462516,0.452738,0.450782,0.000113,0.000103,9.90E-05
283,ENST00000624927.3,0.425406,0.363368,0.474151,0.4387,0.009758,0.009429,0.009709
284,ENST00000623808.3,0.503043,0.48073,0.492901,0.535497,0.002666,0.002888,0.002803
285,ENST00000445118.7,0.4802,0.492896,0.482467,0.465236,0.00058,0.000571,0.000569
286,ENST00000669922.1,0.501562,0.493475,0.511671,0.499541,0.000259,0.000266,0.000258
287,ENST00000670780.1,0.50149,0.501013,0.499225,0.504232,2.00E-05,2.00E-05,2.10E-05
288,ENST00000667414.1,0.446347,0.434932,0.42637,0.47774,0.002309,0.002281,0.002339
289,ENST00000666741.1,0.475105,0.476017,0.484771,0.464527,0.000306,0.000306,0.000313
290,ENST00000623070.4,0.546125,0.553506,0.586716,0.498155,0.005874,0.005811,0.005509
291,ENST00000658846.1,0.475157,0.46816,0.472358,0.484955,0.000247,0.000226,0.000237
292,ENST00000448975.6,0.538705,0.526066,0.549763,0.540284,0.000466,0.000561,0.000488
293,ENST00000609139.6,0.532325,0.548831,0.569464,0.47868,0.006671,0.006567,0.00635
