,Seqname,0,1,2,3,4,5,6,7,8
29,ENST00000661636.1,-0.066439,-0.066784,0.994822,-0.070004,-0.067989,1.029641,-558.2,0.106325,-0.304196
30,ENST00000521889.5,-0.377372,-0.37627,1.002929,-0.303992,-0.29742,1.022094,-163.9,0.115578,-0.27408
31,ENST00000390159.3,-0.057288,-0.057526,0.995872,-0.05735,-0.054522,1.051864,-533.1,0.110132,-0.293396
32,ENST00000518860.1,-0.247966,-0.247319,1.002614,-0.249253,-0.241583,1.031752,-199,0.098495,-0.271858
33,ENST00000649108.1,-0.225054,-0.218817,1.0285,-0.178901,-0.169252,1.057008,-193.2,0.09749,-0.186307
34,ENST00000649986.1,-0.167719,-0.181326,0.92496,-0.156499,-0.155457,1.006705,-377.3,0.109982,-0.348384
35,ENST00000561002.2,-0.159971,-0.165838,0.964622,-0.13971,-0.137931,1.012899,-387.8,0.116697,-0.347803
36,ENST00000671619.1,-0.113644,-0.120195,0.945497,-0.115806,-0.115487,1.002764,-509.9,0.108014,-0.355084
37,ENST00000666762.1,-0.03883,-0.045291,0.857342,-0.038831,-0.040673,0.954697,-822.8,0.110329,-0.321783
38,ENST00000653895.1,-0.384124,-0.398017,0.965096,-0.262674,-0.265827,0.988141,-198.9,0.108025,-0.306471
39,ENST00000649111.1,-0.044221,-0.048979,0.902863,-0.054086,-0.05462,0.990215,-850.2,0.108704,-0.323024
40,ENST00000648149.1,-0.073882,-0.080424,0.918653,-0.08319,-0.08539,0.974236,-485.1,0.112713,-0.317682
41,ENST00000643648.1,-0.216139,-0.219059,0.986666,-0.190371,-0.182272,1.044431,-238.6,0.114486,-0.278413
42,ENST00000647456.1,-0.053654,-0.054758,0.979836,-0.065171,-0.063024,1.034074,-502.3,0.117184,-0.246703
43,ENST00000644461.1,-0.062941,-0.067791,0.928453,-0.077988,-0.075357,1.034917,-483.18,0.105178,-0.260474
44,ENST00000646232.1,-0.875711,-0.894546,0.978945,-0.604119,-0.602171,1.003234,-89.2,0.143312,-0.283175
45,ENST00000560203.1,-0.787057,-0.785182,1.002388,-0.548386,-0.530855,1.033024,-93,0.11509,-0.237245
46,ENST00000557946.1,-0.37032,-0.378902,0.97735,-0.316113,-0.307664,1.027464,-150.1,0.127953,-0.294892
47,ENST00000643127.1,-0.045797,-0.050562,0.905774,-0.057107,-0.05566,1.026007,-698.1,0.110676,-0.341703
48,ENST00000645994.1,-1.666328,-1.680224,0.99173,-1.069272,-1.067082,1.002052,-62.6,0.123348,-0.274561
49,ENST00000645416.2,-0.064628,-0.06647,0.972282,-0.065726,-0.062369,1.05383,-430.2,0.115533,-0.23768
50,ENST00000409178.5,-0.027753,-0.036797,0.754212,-0.032835,-0.035525,0.924281,-1009.8,0.123408,-0.40183
51,ENST00000433505.5,-0.234291,-0.256192,0.914515,-0.188879,-0.193857,0.974321,-211.5,0.133159,-0.27575
52,ENST00000401018.5,-0.076991,-0.094835,0.811844,-0.072857,-0.07707,0.945332,-631.5,0.106161,-0.347169
53,ENST00000449572.2,-0.239381,-0.257386,0.930046,-0.198311,-0.202938,0.977204,-203.6,0.126961,-0.290028
54,ENST00000667852.1,-0.157375,-0.157808,0.997258,-0.13214,-0.128533,1.028065,-317.1,0.11466,-0.259493
55,ENST00000661136.1,-0.092717,-0.096659,0.959213,-0.105353,-0.102364,1.029204,-382.5,0.107068,-0.267273
56,ENST00000612390.4,-0.028274,-0.028517,0.991486,-0.03081,-0.029728,1.036399,-1238.5,0.10158,-0.254103
57,ENST00000416017.1,-0.439051,-0.433844,1.012001,-0.311504,-0.299283,1.040835,-123.7,0.100511,-0.210374
58,ENST00000620678.1,-0.721498,-0.71439,1.00995,-0.456198,-0.437929,1.041716,-83.1,0.10514,-0.193706
59,ENST00000649739.1,-0.680563,-0.748828,0.908838,-0.456134,-0.494741,0.921965,-186.3,0.111399,-0.481395
60,ENST00000647681.1,-0.159624,-0.200919,0.794468,-0.145693,-0.161436,0.902482,-432.5,0.12261,-0.485056
61,ENST00000503940.5,-0.471826,-0.532669,0.885778,-0.37361,-0.400035,0.933945,-201.2,0.124444,-0.44612
62,ENST00000515640.5,-0.100166,-0.11744,0.852919,-0.072241,-0.077715,0.929561,-484.2,0.127083,-0.336017
63,ENST00000397835.4,-0.256563,-0.313963,0.817176,-0.21919,-0.242309,0.904587,-329.9,0.122059,-0.48326
64,ENST00000408887.3,-0.021054,-0.038746,0.54339,-0.044901,-0.05058,0.887722,-778.7,0.121712,-0.401392
65,ENST00000675823.1,-0.04344,-0.050357,0.862636,-0.059253,-0.059217,1.000607,-769.4,0.108948,-0.356534
66,ENST00000675704.1,-0.013909,-0.018497,0.751942,-0.021736,-0.022827,0.952206,-1615,0.110301,-0.35684
67,ENST00000674760.1,-0.043255,-0.05257,0.822803,-0.052202,-0.054531,0.957285,-835.9,0.113281,-0.362646
68,ENST00000676093.1,-0.06123,-0.065637,0.932861,-0.066164,-0.065388,1.011871,-729.6,0.112221,-0.346768
69,ENST00000675716.1,-0.012059,-0.015253,0.790594,-0.018118,-0.019095,0.94886,-1759.9,0.112802,-0.356856
70,ENST00000674714.1,-0.344195,-0.372954,0.922888,-0.260378,-0.267593,0.973039,-188.3,0.12973,-0.338669
71,ENST00000674922.1,-0.395068,-0.436512,0.905058,-0.29039,-0.310107,0.93642,-226,0.111675,-0.381757
72,ENST00000674683.1,-0.247493,-0.283347,0.873463,-0.205031,-0.219658,0.933411,-271.7,0.12064,-0.39434
73,ENST00000676338.1,-0.77989,-0.810798,0.96188,-0.583988,-0.592378,0.985838,-149.6,0.114058,-0.395767
74,ENST00000675285.1,-0.425419,-0.463794,0.917258,-0.338246,-0.352333,0.960017,-215.3,0.096948,-0.385842
75,ENST00000658000.1,-0.011777,-0.019501,0.603911,-0.019493,-0.021796,0.894362,-1475.1,0.114271,-0.387944
76,ENST00000370940.6,-0.175998,-0.194194,0.906301,-0.164656,-0.168658,0.976275,-217.6,0.133583,-0.271322
77,ENST00000359875.9,-0.111552,-0.127897,0.8722,-0.137284,-0.142076,0.966272,-254.9,0.130435,-0.283853
78,ENST00000463058.5,-0.182814,-0.20066,0.911065,-0.160565,-0.166307,0.965471,-217.2,0.11793,-0.261058
79,ENST00000525653.1,-0.227943,-0.247425,0.921262,-0.164432,-0.170468,0.964587,-186.1,0.126453,-0.270102
80,ENST00000356020.2,-0.051157,-0.059038,0.866509,-0.042565,-0.044274,0.961405,-1077.7,0.11276,-0.399258
81,ENST00000649288.1,-0.040385,-0.0511,0.790323,-0.045138,-0.047695,0.946401,-1187.2,0.116122,-0.421441
82,ENST00000648587.1,-0.012601,-0.022655,0.55622,-0.019988,-0.022533,0.887038,-1017.3,0.117587,-0.348252
83,ENST00000442114.6,-0.047227,-0.056447,0.836665,-0.044258,-0.047078,0.940108,-1358.1,0.115508,-0.436829
84,ENST00000336600.6,-0.026232,-0.031512,0.832432,-0.022466,-0.024011,0.935635,-2202.8,0.11145,-0.41941
85,ENST00000650606.1,-0.045,-0.052755,0.853003,-0.038568,-0.041198,0.936157,-1475.1,0.121386,-0.444173
86,ENST00000574093.1,-0.529547,-0.56423,0.938531,-0.379683,-0.392439,0.967496,-224.2,0.115234,-0.437037
87,ENST00000571868.1,-0.313616,-0.340834,0.920145,-0.264241,-0.273418,0.966437,-271.5,0.120253,-0.42891
88,ENST00000514664.1,-0.040071,-0.048513,0.825969,-0.035738,-0.038678,0.92399,-1210.8,0.12053,-0.373128
89,ENST00000625191.3,-0.122824,-0.139247,0.882057,-0.124546,-0.127989,0.973098,-396.5,0.118476,-0.328228
90,ENST00000511063.5,-0.096049,-0.11213,0.856587,-0.107723,-0.108478,0.993043,-508.4,0.113916,-0.328849
91,ENST00000512899.4,-0.206792,-0.222573,0.9291,-0.171814,-0.178507,0.962508,-291.7,0.115132,-0.319496
92,ENST00000513845.4,-0.201872,-0.222993,0.905282,-0.164416,-0.169999,0.967155,-250,0.144156,-0.324254
93,ENST00000513142.1,-0.391248,-0.410583,0.952907,-0.309554,-0.313012,0.988953,-208,0.108772,-0.364273
94,ENST00000649041.1,-0.100721,-0.113369,0.888431,-0.09381,-0.094795,0.989614,-402,0.113304,-0.293645
95,ENST00000650318.1,-0.028509,-0.038683,0.73699,-0.025594,-0.027793,0.920862,-1054.6,0.115059,-0.356766
96,ENST00000540508.1,-0.692272,-0.679575,1.018684,-0.517117,-0.495413,1.043809,-77.3,0.097257,-0.192289
97,ENST00000538604.1,-0.434482,-0.453323,0.958436,-0.381778,-0.376,1.015367,-164.4,0.11194,-0.306145
98,ENST00000647872.1,-0.004704,-0.008267,0.569052,-0.006491,-0.007551,0.859579,-2830.65,0.114242,-0.357676
99,ENST00000426261.6,-0.035476,-0.042926,0.826443,-0.036591,-0.038151,0.959112,-959.9,0.116589,-0.345288
100,ENST00000468381.2,-0.055931,-0.065709,0.851189,-0.054989,-0.056792,0.968249,-820,0.113666,-0.355594
101,ENST00000535846.1,-0.300063,-0.331314,0.905675,-0.278255,-0.281141,0.989735,-248.85,0.101839,-0.351201
102,ENST00000661785.1,-0.123364,-0.130166,0.947741,-0.111284,-0.111726,0.996039,-302.7,0.11374,-0.273636
103,ENST00000653508.1,-0.053864,-0.062909,0.85623,-0.046542,-0.049439,0.941414,-767.2,0.115702,-0.352088
104,ENST00000658783.1,-0.115526,-0.120024,0.962517,-0.124672,-0.119183,1.046057,-315.4,0.113829,-0.296429
105,ENST00000657015.1,-0.053006,-0.066836,0.793076,-0.05748,-0.060499,0.9501,-441.65,0.120643,-0.295814
106,ENST00000654263.1,-0.14876,-0.152247,0.977091,-0.120978,-0.116213,1.041006,-329.2,0.11023,-0.260856
107,ENST00000667136.1,-0.025418,-0.031769,0.800098,-0.023007,-0.024409,0.942574,-1258.15,0.108756,-0.317394
108,ENST00000657905.1,-0.030818,-0.040825,0.754888,-0.026454,-0.029276,0.903609,-1033.75,0.11359,-0.354631
109,ENST00000671646.1,-0.036522,-0.046888,0.778912,-0.030556,-0.033862,0.902368,-984.15,0.112197,-0.35606
110,ENST00000659175.1,-0.039126,-0.054323,0.720248,-0.046801,-0.04956,0.944329,-733.2,0.111594,-0.353887
111,ENST00000663530.1,-0.022165,-0.036247,0.611488,-0.029988,-0.032651,0.918438,-900.35,0.110979,-0.356716
112,ENST00000663437.1,-0.039122,-0.055094,0.710096,-0.043126,-0.046397,0.929497,-864.75,0.110155,-0.371935
113,ENST00000659749.1,-0.024816,-0.033834,0.733459,-0.034174,-0.036,0.949294,-844.45,0.110008,-0.335232
114,ENST00000623100.2,-0.029283,-0.039918,0.733581,-0.044987,-0.046088,0.976094,-742.2,0.112946,-0.33079
115,ENST00000589406.1,-0.051256,-0.04965,1.03235,-0.062536,-0.058878,1.062134,-610.1,0.102564,-0.252212
116,ENST00000378485.1,-0.031377,-0.031281,1.003089,-0.032987,-0.031614,1.043422,-912.7,0.102926,-0.234206
117,ENST00000473798.1,-0.080532,-0.097425,0.826599,-0.085637,-0.089245,0.959576,-433.2,0.118541,-0.328929
118,ENST00000674356.1,-0.071903,-0.080075,0.897943,-0.074837,-0.076861,0.973666,-639.7,0.112178,-0.383513
119,ENST00000445551.1,-0.051158,-0.064201,0.796849,-0.043257,-0.047001,0.920346,-947.2,0.120016,-0.377521
120,ENST00000464612.5,-0.24292,-0.243313,0.998382,-0.228255,-0.223834,1.019753,-205.2,0.103064,-0.285396
121,ENST00000481220.6,-0.209017,-0.234686,0.890623,-0.185119,-0.195287,0.947934,-279.8,0.110226,-0.371088
122,ENST00000461448.6,-0.049017,-0.062532,0.783876,-0.070153,-0.072848,0.963013,-600.5,0.108947,-0.365268
123,ENST00000481368.6,-0.03611,-0.051614,0.69961,-0.065703,-0.068654,0.957015,-654.7,0.109505,-0.363944
124,ENST00000470977.6,-0.065417,-0.084983,0.769762,-0.086464,-0.092754,0.932195,-394.5,0.115141,-0.357337
125,ENST00000648127.1,-0.041162,-0.057285,0.718545,-0.056522,-0.060846,0.928933,-726.4,0.114973,-0.388242
126,ENST00000474814.1,-0.011723,-0.026211,0.447258,-0.044393,-0.047801,0.928697,-691,0.115668,-0.363111
127,ENST00000488745.5,-0.063398,-0.07904,0.802104,-0.079106,-0.081968,0.965084,-454.2,0.113636,-0.332747
128,ENST00000483436.5,-0.243408,-0.27689,0.879077,-0.219785,-0.234157,0.938623,-257.6,0.105727,-0.379912
129,ENST00000650259.1,-0.5179,-0.535705,0.966763,-0.504001,-0.500495,1.007003,-117.2,0.103093,-0.301285
130,ENST00000650239.1,-0.082008,-0.09881,0.829956,-0.114494,-0.119763,0.956006,-419,0.112369,-0.364665
131,ENST00000648327.1,-0.004505,-0.018529,0.243123,-0.047319,-0.051495,0.918913,-870.3,0.12018,-0.435586
132,ENST00000623673.1,-0.066168,-0.084092,0.78685,-0.07267,-0.077216,0.941125,-663,0.11071,-0.398677
133,ENST00000625168.1,-0.025097,-0.029481,0.851311,-0.033747,-0.034244,0.985506,-926.7,0.108872,-0.301072
134,ENST00000378953.8,-0.117999,-0.146665,0.804553,-0.127311,-0.13443,0.947041,-379.9,0.141339,-0.403291
135,ENST00000612967.2,-0.045022,-0.05279,0.85284,-0.047891,-0.048968,0.97801,-1091.4,0.120789,-0.391043
136,ENST00000461203.5,-0.454057,-0.481509,0.942988,-0.340641,-0.346146,0.984097,-191.7,0.128846,-0.367946
137,ENST00000337752.6,-0.016316,-0.020613,0.791511,-0.021672,-0.022524,0.96219,-1590.9,0.113512,-0.333732
138,ENST00000378947.7,-0.343466,-0.37383,0.918775,-0.279967,-0.289329,0.967642,-253.2,0.124194,-0.407729
139,ENST00000407797.6,-0.103696,-0.112151,0.924606,-0.086428,-0.088513,0.976455,-572,0.121096,-0.364331
140,ENST00000664942.1,-0.071901,-0.070542,1.019267,-0.06925,-0.065749,1.053246,-445,0.112838,-0.256041
141,ENST00000585033.1,-0.22207,-0.290417,0.764659,-0.246062,-0.266081,0.924763,-247.9,0.121646,-0.442679
142,ENST00000323813.3,-0.159355,-0.19141,0.83253,-0.145274,-0.152674,0.95153,-309.3,0.128114,-0.366469
143,ENST00000647812.1,-0.102239,-0.132623,0.7709,-0.111281,-0.119073,0.934563,-390.3,0.108549,-0.374568
144,ENST00000429328.2,-0.296788,-0.327849,0.905256,-0.291891,-0.296925,0.983049,-229.1,0.121212,-0.346596
145,ENST00000442182.2,-0.422655,-0.420665,1.004731,-0.342144,-0.335057,1.021151,-166.2,0.10582,-0.292606
146,ENST00000657479.1,-0.272289,-0.276371,0.985229,-0.243193,-0.237891,1.02229,-236.9,0.102258,-0.314191
147,ENST00000664471.1,-0.549801,-0.547472,1.004255,-0.456024,-0.4419,1.031962,-119.7,0.118203,-0.282311
148,ENST00000328376.9,-0.056929,-0.060398,0.942572,-0.068253,-0.066946,1.019523,-599.2,0.115178,-0.322324
149,ENST00000481400.5,-0.071309,-0.07482,0.953077,-0.084517,-0.082456,1.024994,-493.3,0.115127,-0.329967
150,ENST00000466204.5,-0.069891,-0.072939,0.958221,-0.089325,-0.086817,1.028885,-459.7,0.115247,-0.328827
151,ENST00000426078.5,-0.053169,-0.055152,0.964041,-0.065207,-0.063145,1.032653,-466.07,0.11449,-0.277753
152,ENST00000665000.1,-0.017602,-0.019507,0.902333,-0.028027,-0.027831,1.007045,-1167.57,0.108685,-0.279964
153,ENST00000662797.1,-0.07345,-0.078414,0.936703,-0.085193,-0.081998,1.038964,-547.2,0.118855,-0.340299
154,ENST00000661769.1,-0.031552,-0.034069,0.92611,-0.045445,-0.044314,1.025527,-782.87,0.107787,-0.282115
155,ENST00000669217.1,-0.06003,-0.063318,0.94808,-0.061058,-0.059287,1.029874,-618.4,0.110216,-0.311066
156,ENST00000654228.1,-0.014079,-0.015434,0.912195,-0.022538,-0.022182,1.016051,-1360.6,0.106608,-0.313122
157,ENST00000660444.1,-0.022236,-0.024166,0.920135,-0.027417,-0.027717,0.989183,-1030.6,0.104691,-0.272629
158,ENST00000666079.1,-0.086275,-0.089352,0.965563,-0.070232,-0.06776,1.036485,-357.2,0.113271,-0.23925
159,ENST00000415584.7,-0.220978,-0.239802,0.921502,-0.183956,-0.186456,0.986592,-249.1,0.111534,-0.315316
160,ENST00000526694.2,-0.093401,-0.100689,0.927618,-0.079178,-0.080212,0.987109,-370,0.113497,-0.283525
161,ENST00000666432.1,-0.009905,-0.012384,0.799792,-0.015902,-0.016314,0.974744,-1760.6,0.110456,-0.273088
162,ENST00000623052.1,-0.03693,-0.041583,0.888102,-0.038879,-0.039685,0.979693,-938.7,0.104385,-0.289812
163,ENST00000565113.5,-0.020838,-0.025214,0.826443,-0.027976,-0.029176,0.958893,-1106.67,0.104403,-0.240765
164,ENST00000568310.1,-0.121128,-0.128544,0.942305,-0.120733,-0.12132,0.995159,-301.47,0.109133,-0.231763
165,ENST00000422980.1,-0.403264,-0.408188,0.987937,-0.326861,-0.318894,1.024983,-127.9,0.118421,-0.239962
166,ENST00000629811.2,-1.265669,-1.25011,1.012446,-0.891353,-0.861654,1.034468,-50.6,0.091228,-0.176923
167,ENST00000630798.1,-0.25293,-0.252751,1.00071,-0.239657,-0.230394,1.040201,-180.5,0.096819,-0.249309
168,ENST00000371417.3,-0.105926,-0.126843,0.835099,-0.099056,-0.104563,0.947341,-595.8,0.110795,-0.422853
169,ENST00000496793.2,-0.048491,-0.06793,0.713841,-0.057805,-0.063796,0.906085,-845.4,0.122259,-0.463233
170,ENST00000623970.1,-0.064076,-0.078425,0.817041,-0.048757,-0.05274,0.924481,-958.7,0.115437,-0.433801
171,ENST00000663398.1,-0.04947,-0.060863,0.812803,-0.05582,-0.059986,0.93055,-903.5,0.107508,-0.401199
172,ENST00000624458.1,-0.083284,-0.089399,0.931592,-0.066766,-0.066163,1.009117,-530.2,0.117849,-0.303145
173,ENST00000556865.1,-0.08937,-0.099399,0.899108,-0.094796,-0.096874,0.978555,-384.7,0.120579,-0.308996
174,ENST00000647762.1,-0.090198,-0.107189,0.841488,-0.082007,-0.086267,0.950618,-561,0.107774,-0.330194
175,ENST00000440903.1,-0.683071,-0.709781,0.962368,-0.52153,-0.522355,0.998421,-128.9,0.1,-0.29229
176,ENST00000648094.1,-0.032051,-0.041582,0.770784,-0.0521,-0.053198,0.979367,-557.1,0.109476,-0.256138
177,ENST00000623772.1,-0.122737,-0.146683,0.836751,-0.101489,-0.111624,0.909203,-809.5,0.121648,-0.529085
178,ENST00000646751.1,-0.240896,-0.245089,0.982892,-0.250958,-0.24685,1.016642,-180,0.109489,-0.262391
179,ENST00000375640.7,-0.125962,-0.144028,0.874566,-0.096757,-0.101013,0.957867,-368.8,0.106464,-0.350237
180,ENST00000375641.6,-0.341563,-0.346117,0.986843,-0.282826,-0.278677,1.014888,-183.5,0.099834,-0.304817
181,ENST00000375635.6,-0.296108,-0.324783,0.911711,-0.256108,-0.257586,0.994264,-196,0.09688,-0.321311
182,ENST00000375638.7,-0.202276,-0.221029,0.915159,-0.169827,-0.173762,0.977353,-295.2,0.098109,-0.348524
183,ENST00000648677.1,-0.254675,-0.282442,0.901689,-0.224149,-0.226079,0.99146,-240.4,0.094233,-0.33764
184,ENST00000375642.6,-0.148851,-0.167691,0.88765,-0.135236,-0.139335,0.970583,-338.5,0.106139,-0.351871
185,ENST00000375633.5,-0.311193,-0.31833,0.977579,-0.266144,-0.262024,1.015725,-165.7,0.102564,-0.282764
186,ENST00000395788.3,-0.186551,-0.184425,1.011527,-0.183259,-0.173477,1.056384,-229.1,0.108108,-0.281104
187,ENST00000507461.2,-0.204138,-0.203423,1.003515,-0.169681,-0.161745,1.049064,-229.1,0.118483,-0.271124
188,ENST00000671203.1,-0.039037,-0.044093,0.88535,-0.046492,-0.046658,0.996445,-773.4,0.104368,-0.298532
189,ENST00000666506.1,-0.060835,-0.065536,0.928267,-0.089796,-0.088479,1.014885,-397.5,0.10962,-0.2962
190,ENST00000663605.1,-0.019168,-0.023497,0.815738,-0.032022,-0.032449,0.986831,-943.1,0.103469,-0.27952
191,ENST00000666004.1,-0.036198,-0.040445,0.894987,-0.049062,-0.048052,1.021011,-631.9,0.112297,-0.293089
192,ENST00000665180.1,-0.014359,-0.017188,0.835411,-0.018796,-0.019151,0.981439,-1566.6,0.105803,-0.263471
193,ENST00000669536.1,-0.032337,-0.036965,0.874804,-0.029668,-0.030974,0.957817,-1281.1,0.112683,-0.307071
194,ENST00000667197.1,-0.022985,-0.026418,0.870049,-0.027217,-0.027327,0.995965,-1065.8,0.117442,-0.309736
195,ENST00000668566.1,-0.014797,-0.019571,0.756104,-0.027829,-0.028331,0.982266,-1178.9,0.114301,-0.325228
196,ENST00000668061.1,-0.072304,-0.075489,0.9578,-0.080266,-0.078843,1.018051,-591.3,0.108421,-0.311047
197,ENST00000658416.1,-0.094501,-0.096329,0.981024,-0.082438,-0.080416,1.025139,-550.3,0.099133,-0.297943
198,ENST00000665322.1,-0.044126,-0.04558,0.968087,-0.051552,-0.049982,1.031412,-636.4,0.109686,-0.281344
199,ENST00000655479.1,-0.371379,-0.371501,0.999671,-0.296432,-0.289835,1.022759,-142.4,0.121547,-0.261765
200,ENST00000652878.1,-0.042905,-0.050519,0.849275,-0.075738,-0.072403,1.04606,-367.9,0.121434,-0.268933
201,ENST00000657415.1,-0.042768,-0.047515,0.900088,-0.043072,-0.04265,1.009904,-729.1,0.122754,-0.363641
202,ENST00000653458.1,-0.033861,-0.035961,0.941606,-0.039306,-0.038368,1.024463,-897.1,0.108115,-0.241806
203,ENST00000655714.1,-0.023645,-0.024894,0.94981,-0.035702,-0.03476,1.027101,-1062.1,0.102041,-0.233019
204,ENST00000617372.1,-0.113355,-0.131827,0.859874,-0.104505,-0.109786,0.951896,-627.1,0.117736,-0.472926
205,ENST00000556434.5,-0.250557,-0.256625,0.976352,-0.152994,-0.151973,1.006718,-282.6,0.107744,-0.316816
206,ENST00000556913.1,-0.040223,-0.044147,0.911124,-0.044144,-0.044239,0.997853,-742.2,0.117527,-0.301707
207,ENST00000556130.1,-0.286211,-0.287907,0.994109,-0.231429,-0.221475,1.044945,-183.3,0.109649,-0.267591
208,ENST00000635379.1,-0.089232,-0.097066,0.91929,-0.086417,-0.086801,0.99558,-529.2,0.109159,-0.331034
209,ENST00000399206.4,-0.03978,-0.047552,0.836561,-0.038207,-0.039142,0.976116,-882.1,0.113594,-0.328407
210,ENST00000658223.1,-0.194052,-0.199101,0.974641,-0.155904,-0.15281,1.020248,-283.6,0.097122,-0.254807
211,ENST00000533506.5,-0.135653,-0.137122,0.989285,-0.110811,-0.108847,1.018047,-375.7,0.104943,-0.285486
212,ENST00000528300.5,-0.030455,-0.037165,0.819443,-0.028118,-0.028993,0.969814,-993.9,0.114437,-0.309819
213,ENST00000655269.1,-0.231279,-0.241504,0.957662,-0.208737,-0.207478,1.006071,-253.5,0.10241,-0.305054
214,ENST00000529902.2,-0.014123,-0.019512,0.723801,-0.016441,-0.018043,0.911196,-1404.6,0.114306,-0.328254
215,ENST00000557142.6,-0.023706,-0.028929,0.81946,-0.034545,-0.034852,0.991198,-1026.4,0.111813,-0.324092
216,ENST00000603474.1,-1.396525,-1.41309,0.988277,-0.910794,-0.913029,0.997552,-70.8,0.11194,-0.263197
217,ENST00000553463.1,-0.915774,-0.93424,0.980234,-0.57196,-0.571025,1.001637,-105.9,0.115169,-0.296639
218,ENST00000553914.6,-0.408129,-0.432952,0.942664,-0.264753,-0.26515,0.998503,-172.8,0.122241,-0.292881
219,ENST00000554129.1,-0.040071,-0.046712,0.857827,-0.049064,-0.049301,0.995184,-764.3,0.109565,-0.33216
220,ENST00000556019.2,-0.427508,-0.428476,0.997741,-0.325793,-0.319574,1.019458,-174.7,0.116323,-0.327154
221,ENST00000623502.1,-0.115404,-0.131112,0.880197,-0.110991,-0.116171,0.955405,-390.3,0.13655,-0.400308
222,ENST00000635675.2,-0.063746,-0.072051,0.884741,-0.063892,-0.065275,0.978814,-437.1,0.122594,-0.311325
223,ENST00000634934.2,-0.072924,-0.08573,0.850624,-0.06652,-0.069175,0.961624,-517.6,0.108108,-0.340975
224,ENST00000634712.2,-0.093976,-0.106911,0.879006,-0.082868,-0.084871,0.976401,-475.4,0.106705,-0.342507
