A,B,Label
mtr-miR5229a,lcl_Mtruncatula_Medtr4g131290.1,1
mtr-miR5561-3p,lcl_Mtruncatula_Medtr4g059760.1,0
gma-miR169e,lcl_Gmax_Glyma.05G176000.1,1
gma-miR4403,lcl_Gmax_Glyma.05G010400.1,0
ath-miR164a,CNT2088778,1
ath-miR852,lcl_Athaliana_AT5G43185.1,0
mtr-miR5247,lcl_Mtruncatula_Medtr3g084390.1,1
mtr-miR5278,lcl_Mtruncatula_Medtr0016s0040.1,0
gma-miR4387c,lcl_Gmax_Glyma.03G153500.1,1
gma-miR10198,lcl_Gmax_Glyma.01G015700.1,0
ath-miR401,CNT2087736,1
ath-miR841b-3p,lcl_Athaliana_AT1G68526.1,0
mtr-miR2589,lcl_Mtruncatula_Medtr7g055843.1,1
mtr-miR5292a,lcl_Mtruncatula_Medtr5g015470.1,0
gma-miR482b-5p,lcl_Gmax_Glyma.06G311300.1,1
gma-miR156f,lcl_Gmax_Glyma.01G129800.1,0
ath-miR838,lcl_Athaliana_AT1G64405.1,1
ath-miR5019,CNT2088347,0
mtr-miR5207,lcl_Mtruncatula_Medtr8g022770.2,1
mtr-miR2645,lcl_Mtruncatula_Medtr4g049300.2,0
gma-miR390a-5p,lcl_Gmax_Glyma.05G092200.1,1
gma-miR5031,lcl_Gmax_Glyma.03G179400.1,0
ath-miR771,CNT2087934,1
ath-miR5017-5p,CNT2085416,0
mtr-miR5228,lcl_Mtruncatula_Medtr4g124240.1,1
mtr-miR2642,lcl_Mtruncatula_Medtr3g050170.1,0
gma-miR399m,lcl_Gmax_Glyma.04G168400.1,1
gma-miR1532,lcl_Gmax_Glyma.15G180100.1,0
ath-miR2111a-3p,CNT2085227,1
ath-miR5657,CNT2085564,0
mtr-miR5209,lcl_Mtruncatula_Medtr4g075355.1,1
mtr-miR399d,lcl_Mtruncatula_Medtr1g107440.2,0
gma-miR10191,lcl_Gmax_Glyma.09G111500.1,1
gma-miR4391,lcl_Gmax_Glyma.01G083400.3,0
ath-miR160a-5p,CNT2087239,1
ath-miR8121,CNT2088028,0
mtr-miR5286b,lcl_Mtruncatula_Medtr8g105220.1,1
mtr-miR2635,lcl_Mtruncatula_Medtr8g095630.2,0
gma-miR4387b,lcl_Gmax_Glyma.13G068400.2,1
gma-miR1507a,lcl_Gmax_Glyma.01G175700.8,0
ath-miR319a,CNT2085517,1
ath-miR870-5p,CNT2085304,0
mtr-miR5299,lcl_Mtruncatula_Medtr5g070595.1,1
mtr-miR2671j,lcl_Mtruncatula_Medtr0152s0100.1,0
gma-miR164a,lcl_Gmax_Glyma.20G055100.1,1
gma-miR169h,lcl_Gmax_Glyma.06G214300.1,0
ath-miR774a,CNT2088598,1
ath-miR164c-5p,NONATHT001101,0
mtr-miR171c,lcl_Mtruncatula_Medtr6g445270.1,1
mtr-miR7696a-3p,lcl_Mtruncatula_Medtr8g022410.1,0
gma-miR408a-5p,lcl_Gmax_Glyma.20G152700.1,1
gma-miR4409,lcl_Gmax_Glyma.01G175700.1,0
ath-miR5016,NONATHT000900,1
ath-miR161.1,lcl_Athaliana_AT4G03660.1,0
mtr-miR160a,lcl_Mtruncatula_Medtr7g100315.1,1
mtr-miR396a-5p,lcl_Mtruncatula_Medtr1g086180.2,0
gma-miR10411,lcl_Gmax_Glyma.10G185300.1,1
gma-miR1516a-5p,lcl_Gmax_Glyma.02G087300.1,0
ath-miR472-3p,NONATHT002394,1
ath-miR5631,lcl_Athaliana_AT5G09830.1,0
mtr-miR168b,lcl_Mtruncatula_Medtr6g015655.1,1
mtr-miR5204,lcl_Mtruncatula_Medtr1g107440.5,0
gma-miR408d,lcl_Gmax_Glyma.15G174200.1,1
gma-miR4399,lcl_Gmax_Glyma.17G146200.1,0
ath-miR8181,CNT2087701,1
ath-miR5648-3p,lcl_Athaliana_AT4G03732.1,0
mtr-miR319d-5p,lcl_Mtruncatula_Medtr6g034970.1,1
mtr-miR5270a,lcl_Mtruncatula_Medtr0101s0020.4,0
gma-miR4414b,lcl_Gmax_Glyma.08G256500.1,1
gma-miR169n-5p,lcl_Gmax_Glyma.03G143300.1,0
ath-miR168a-3p,NONATHT001659,1
ath-miR397b,CNT2087553,0
mtr-miR168a,lcl_Mtruncatula_Medtr7g062880.1,1
mtr-miR5295a,lcl_Mtruncatula_Medtr4g106400.1,0
gma-miR408a-5p,lcl_Gmax_Glyma.04G217600.1,1
gma-miR4389,lcl_Gmax_Glyma.03G084100.2,0
ath-miR156a-5p,lcl_Athaliana_AT3G42714.1,1
ath-miR169d,CNT2087606,0
mtr-miR5275,lcl_Mtruncatula_Medtr4g016600.1,1
mtr-miR5269b,lcl_Mtruncatula_Medtr3g050170.1,0
gma-miR4995,lcl_Gmax_Glyma.12G073600.1,1
gma-miR393c-3p,lcl_Gmax_Glyma.07G094600.1,0
ath-miR168a-5p,lcl_Athaliana_AT3G43900.1,1
ath-miR857,lcl_Athaliana_AT5G55850.3,0
mtr-miR2594,lcl_Mtruncatula_Medtr4g013250.1,1
mtr-miR7697-5p,lcl_Mtruncatula_Medtr1g107440.2,0
gma-miR4414b,lcl_Gmax_Glyma.18G229200.1,1
gma-miR4996,lcl_Gmax_Glyma.01G175700.4,0
ath-miR780.1,CNT2085615,1
ath-miR5997,lcl_Athaliana_AT1G48200.1,0
mtr-miR5243,lcl_Mtruncatula_Medtr2g055030.1,1
mtr-miR2677,lcl_Mtruncatula_Medtr4g106400.1,0
gma-miR4412-5p,lcl_Gmax_Glyma.01G068300.1,1
gma-miR5559,lcl_Gmax_Glyma.17G191700.1,0
ath-miR171a-3p,CNT2086703,1
ath-miR5018,lcl_Athaliana_AT3G45245.1,0
mtr-miR2613,lcl_Mtruncatula_Medtr2g028460.1,1
mtr-miR5218,lcl_Mtruncatula_Medtr4g106400.1,0
gma-miR1513c,lcl_Gmax_Glyma.14G029900.1,1
gma-miR169p,lcl_Gmax_Glyma.16G092300.1,0
ath-miR399f,At5NC025190,1
ath-miR8121,CNT2086762,0
mtr-miR2613,lcl_Mtruncatula_Medtr1498s0010.1,1
mtr-miR2612,lcl_Mtruncatula_Medtr0101s0020.4,0
gma-miR159a-5p,lcl_Gmax_Glyma.14G165100.1,1
gma-miR156p,lcl_Gmax_Glyma.18G290700.4,0
ath-miR164c-5p,NONATHT001810,1
ath-miR3434-3p,CNT2087964,0
mtr-miR395h,lcl_Mtruncatula_Medtr2g026800.1,1
mtr-miR159b,lcl_Mtruncatula_Medtr3g466420.1,0
gma-miR393a,lcl_Gmax_Glyma.01G063400.1,1
gma-miR4415b-5p,lcl_Gmax_Glyma.U034900.1,0
ath-miR869.1,lcl_Athaliana_AT3G60650.1,1
ath-miR864-3p,CNT2089042,0
mtr-miR398a-3p,lcl_Mtruncatula_Medtr5g027710.1,1
mtr-miR2595,lcl_Mtruncatula_Medtr3g053460.2,0
gma-miR395a,lcl_Gmax_Glyma.18G264800.1,1
gma-miR5379,lcl_Gmax_Glyma.13G202700.1,0
ath-miR447a-3p,AtR8,1
ath-miR774b-5p,NONATHT002762,0
mtr-miR168c-3p,lcl_Mtruncatula_Medtr5g018340.1,1
mtr-miR166b,lcl_Mtruncatula_Medtr1g054150.1,0
gma-miR4414b,lcl_Gmax_Glyma.17G258800.1,1
gma-miR4380a,lcl_Gmax_Glyma.10G098800.1,0
ath-miR168a-3p,lcl_Athaliana_AT2G13272.1,1
ath-miR8174,lcl_Athaliana_AT4G04165.1,0
mtr-miR171d,lcl_Mtruncatula_Medtr2g062810.1,1
mtr-miR7698-5p,lcl_Mtruncatula_Medtr5g084410.2,0
gma-miR169o,lcl_Gmax_Glyma.12G221300.1,1
gma-miR5769,lcl_Gmax_Glyma.11G154900.1,0
ath-miR5020c,CNT2087835,1
ath-miR860,NONATHT002444,0
mtr-miR2675,lcl_Mtruncatula_Medtr7g068490.1,1
mtr-miR530,lcl_Mtruncatula_Medtr8g074520.1,0
gma-miR319c,lcl_Gmax_Glyma.11G176100.1,1
gma-miR1520f-5p,lcl_Gmax_Glyma.17G191700.1,0
ath-miR8168,CNT2085718,1
ath-miR5643a,CNT2085555,0
mtr-miR2647a,lcl_Mtruncatula_Medtr6g012320.1,1
mtr-miR5754,lcl_Mtruncatula_Medtr5g081650.3,0
gma-miR2111a,lcl_Gmax_Glyma.03G212600.1,1
gma-miR4997b,lcl_Gmax_Glyma.17G142500.4,0
ath-miR157c-3p,CNT2085467,1
ath-miR864-3p,NONATHT000309,0
mtr-miR2630a,lcl_Mtruncatula_Medtr5g007070.1,1
mtr-miR2639,lcl_Mtruncatula_Medtr5g015470.1,0
gma-miR169n-5p,lcl_Gmax_Glyma.19G246900.1,1
gma-miR4364b,lcl_Gmax_Glyma.19G157900.1,0
ath-miR319c,NONATHT000112,1
ath-miR8168,lcl_Athaliana_AT5G63460.3,0
mtr-miR5270a,lcl_Mtruncatula_Medtr1g056455.1,1
mtr-miR2649,lcl_Mtruncatula_Medtr1g107440.2,0
gma-miR159a-5p,lcl_Gmax_Glyma.05G081700.1,1
gma-miR1520c,lcl_Gmax_Glyma.10G242900.1,0
ath-miR8168,CNT2086689,1
ath-miR837-3p,CNT2086464,0
mtr-miR5234,lcl_Mtruncatula_Medtr7g071330.1,1
mtr-miR5236a,lcl_Mtruncatula_Medtr1g107440.2,0
gma-miR394b-5p,lcl_Gmax_Glyma.17G260600.1,1
gma-miR4386,lcl_Gmax_Glyma.06G214300.1,0
ath-miR167d,lcl_Athaliana_AT3G13275.1,1
ath-miR5641,CNT2088952,0
mtr-miR7697-5p,lcl_Mtruncatula_Medtr4g057575.1,1
mtr-miR5292a,lcl_Mtruncatula_Medtr4g106400.1,0
gma-miR1523b,lcl_Gmax_Glyma.06G301400.1,1
gma-miR2118a-5p,lcl_Gmax_Glyma.U034900.1,0
ath-miR168a-5p,lcl_Athaliana_AT4G03040.1,1
ath-miR841a-5p,NONATHT001026,0
mtr-miR399t-5p,lcl_Mtruncatula_Medtr5g080060.1,1
mtr-miR169g,lcl_Mtruncatula_Medtr4g053180.2,0
gma-miR408a-5p,lcl_Gmax_Glyma.02G299800.1,1
gma-miR10186a,lcl_Gmax_Glyma.02G106000.7,0
ath-miR399b,CNT2085955,1
ath-miR5650,APOLO,0
mtr-miR171c,lcl_Mtruncatula_Medtr4g132873.1,1
mtr-miR399j,lcl_Mtruncatula_Medtr4g006610.1,0
gma-miR396b-5p,lcl_Gmax_Glyma.01G006200.1,1
gma-miR4404,lcl_Gmax_Glyma.20G010700.1,0
ath-miR5653,lcl_Athaliana_AT1G47885.1,1
ath-miR170-5p,CNT2085628,0
mtr-miR164d,lcl_Mtruncatula_Medtr5g008670.1,1
mtr-miR2592b-3p,lcl_Mtruncatula_Medtr4g035885.1,0
gma-miR390a-5p,lcl_Gmax_Glyma.13G014600.1,1
gma-miR10409,lcl_Gmax_Glyma.02G106000.7,0
ath-miR842,lcl_Athaliana_AT1G36400.1,1
ath-miR3932a,NONATHT002963,0
mtr-miR5206a,lcl_Mtruncatula_Medtr1g040775.1,1
mtr-miR2647a,lcl_Mtruncatula_Medtr8g095630.2,0
gma-miR482c-3p,lcl_Gmax_Glyma.09G057600.1,1
gma-miR10422,lcl_Gmax_Glyma.05G064400.3,0
ath-miR8175,CNT2084811,1
ath-miR828,CNT2088029,0
mtr-miR5251,lcl_Mtruncatula_Medtr6g015177.1,1
mtr-miR396b-5p,lcl_Mtruncatula_Medtr5g074570.1,0
gma-miR408a-5p,lcl_Gmax_Glyma.15G079400.1,1
gma-miR160a-5p,lcl_Gmax_Glyma.11G157900.1,0
ath-miR447c-3p,CNT2088609,1
ath-miR3434-5p,CNT2088352,0
mtr-miR2675,lcl_Mtruncatula_Medtr1g053175.1,1
mtr-miR172a,lcl_Mtruncatula_Medtr1g107440.5,0
gma-miR393c-3p,lcl_Gmax_Glyma.09G065500.1,1
gma-miR10426,lcl_Gmax_Glyma.11G013200.3,0
ath-miR168b-3p,NONATHT002473,1
ath-miR5997,CNT2089170,0
mtr-miR169f,lcl_Mtruncatula_Medtr8g052495.1,1
mtr-miR319c-5p,lcl_Mtruncatula_Medtr8g022770.3,0
gma-miR5786,lcl_Gmax_Glyma.06G267100.1,1
gma-miR5767,lcl_Gmax_Glyma.11G172700.1,0
ath-miR3440b-3p,lcl_Athaliana_AT4G23432.1,1
ath-miR865-5p,CNT2086640,0
mtr-miR2639,lcl_Mtruncatula_Medtr7g063350.1,1
mtr-miR5225a,lcl_Mtruncatula_Medtr7g078390.1,0
gma-miR319h,lcl_Gmax_Glyma.05G056200.1,1
gma-miR9736,lcl_Gmax_Glyma.06G038300.1,0
ath-miR8172,CNT2088113,1
ath-miR4243,CNT2087141,0
mtr-miR2616,lcl_Mtruncatula_Medtr2g039903.1,1
mtr-miR5277,lcl_Mtruncatula_Medtr8g051620.3,0
gma-miR5044,lcl_Gmax_Glyma.01G026900.1,1
gma-miR396f,lcl_Gmax_Glyma.13G164400.1,0
ath-miR166a-5p,CNT2088364,1
ath-miR5020c,CNT2088736,0
mtr-miR2600a,lcl_Mtruncatula_Medtr5g056700.1,1
mtr-miR5293,lcl_Mtruncatula_Medtr5g074570.1,0
gma-miR482b-5p,lcl_Gmax_Glyma.10G293100.1,1
gma-miR1508b,lcl_Gmax_Glyma.01G122600.1,0
ath-miR167d,CNT2085884,1
ath-miR403-5p,NONATHT002472,0
mtr-miR2589,lcl_Mtruncatula_Medtr4g101060.1,1
mtr-miR2658,lcl_Mtruncatula_Medtr7g111640.2,0
gma-miR399j,lcl_Gmax_Glyma.09G036700.1,1
gma-miR1532,lcl_Gmax_Glyma.U034900.1,0
ath-miR5658,CNT2086712,1
ath-miR822-3p,lcl_Athaliana_AT2G10608.2,0
mtr-miR1510a-5p,lcl_Mtruncatula_Medtr2g022110.1,1
mtr-miR1509a-5p,lcl_Mtruncatula_Medtr5g048060.2,0
gma-miR164b,lcl_Gmax_Glyma.01G099400.1,1
gma-miR5671b,lcl_Gmax_Glyma.15G240200.1,0
ath-miR166a-5p,CNT2087193,1
ath-miR170-5p,CNT2088513,0
mtr-miR171e-5p,lcl_Mtruncatula_Medtr3g116020.1,1
mtr-miR171a,lcl_Mtruncatula_Medtr4g043720.3,0
gma-miR5767,lcl_Gmax_Glyma.12G028600.1,1
gma-miR396j,lcl_Gmax_Glyma.17G142500.1,0
ath-miR822-5p,CNT2088241,1
ath-miR5655,CNT2086514,0
mtr-miR5299,lcl_Mtruncatula_Medtr7g076780.1,1
mtr-miR2641,lcl_Mtruncatula_Medtr3g466420.1,0
gma-miR482c-5p,lcl_Gmax_Glyma.15G203200.1,1
gma-miR5778,lcl_Gmax_Glyma.18G290700.4,0
ath-miR834,lcl_Athaliana_AT2G07669.1,1
ath-miR851-5p,lcl_Athaliana_AT3G26445.1,0
mtr-miR5276,lcl_Mtruncatula_Medtr1g107085.2,1
mtr-miR2111c,lcl_Mtruncatula_Medtr0101s0020.4,0
gma-miR5774a,lcl_Gmax_Glyma.11G132100.1,1
gma-miR4383,lcl_Gmax_Glyma.04G237800.1,0
ath-miR166a-5p,lcl_Athaliana_AT3G13175.1,1
ath-miR5639-5p,lcl_Athaliana_AT3G31357.1,0
mtr-miR2594,lcl_Mtruncatula_Medtr5g047920.1,1
mtr-miR396a-3p,lcl_Mtruncatula_Medtr4g049300.2,0
gma-miR1520o,lcl_Gmax_Glyma.07G260900.1,1
gma-miR5767,lcl_Gmax_Glyma.02G160000.1,0
ath-miR399d,lcl_Athaliana_AT1G53687.1,1
ath-miR5014a-3p,CNT2088501,0
mtr-miR5037a,lcl_Mtruncatula_Medtr1g094170.1,1
mtr-miR2592ae,lcl_Mtruncatula_Medtr7g090430.1,0
gma-miR5780b,lcl_Gmax_Glyma.02G283100.1,1
gma-miR5373,lcl_Gmax_Glyma.10G080700.1,0
ath-miR8181,lcl_Athaliana_AT2G13740.1,1
ath-miR5645c,lcl_Athaliana_AT5G36920.1,0
mtr-miR5265,lcl_Mtruncatula_Medtr1g052005.1,1
mtr-miR5205c,lcl_Mtruncatula_Medtr3g117730.1,0
gma-miR482e,lcl_Gmax_Glyma.02G011700.1,1
gma-miR1510b-3p,lcl_Gmax_Glyma.18G073900.1,0
ath-miR5659,NONATHT000457,1
ath-miR837-3p,CNT2088946,0
mtr-miR5267a,lcl_Mtruncatula_Medtr5g056760.1,1
mtr-miR2655b,lcl_Mtruncatula_Medtr4g049300.2,0
gma-miR5036,lcl_Gmax_Glyma.10G260700.1,1
gma-miR2118a-3p,lcl_Gmax_Glyma.19G119500.1,0
ath-miR854a,lcl_Athaliana_AT5G53486.1,1
ath-miR472-5p,CNT2089127,0
mtr-miR2602a,lcl_Mtruncatula_Medtr4g094345.1,1
mtr-miR5562-3p,lcl_Mtruncatula_Medtr3g117730.1,0
gma-miR159b-3p,lcl_Gmax_Glyma.09G216000.1,1
gma-miR4374c,lcl_Gmax_Glyma.06G248000.1,0
ath-miR851-3p,lcl_Athaliana_AT5G22970.2,1
ath-miR833a-3p,CNT2087846,0
mtr-miR395k,lcl_Mtruncatula_Medtr5g099270.1,1
mtr-miR2668,lcl_Mtruncatula_Medtr5g048060.2,0
gma-miR1507c-5p,lcl_Gmax_Glyma.14G155400.2,1
gma-miR9728,lcl_Gmax_Glyma.16G164700.3,0
ath-miR5662,CNT2085196,1
ath-miR400,NONATHT001488,0
mtr-miR169a,lcl_Mtruncatula_Medtr6g005620.1,1
mtr-miR396c,lcl_Mtruncatula_Medtr1g054150.1,0
gma-miR169n-5p,lcl_Gmax_Glyma.U035600.1,1
gma-miR482c-5p,lcl_Gmax_Glyma.18G165100.1,0
ath-miR396a-5p,NONATHT002417,1
ath-miR4240,CNT2088843,0
mtr-miR2586a,lcl_Mtruncatula_Medtr5g015205.1,1
mtr-miR2600b,lcl_Mtruncatula_Medtr5g084410.2,0
gma-miR172b-5p,lcl_Gmax_Glyma.12G115400.1,1
gma-miR5679,lcl_Gmax_Glyma.03G084100.2,0
ath-miR159c,CNT2087008,1
ath-miR866-5p,lcl_Athaliana_AT5G27035.1,0
mtr-miR168a,lcl_Mtruncatula_Medtr1g035240.1,1
mtr-miR399a,lcl_Mtruncatula_Medtr1g107440.5,0
gma-miR1510a-5p,lcl_Gmax_Glyma.02G139000.2,1
gma-miR4374a,lcl_Gmax_Glyma.19G119500.1,0
ath-miR832-5p,CNT2085170,1
ath-miR828,CNT2087518,0
mtr-miR159b,lcl_Mtruncatula_Medtr7g081140.1,1
mtr-miR399j,lcl_Mtruncatula_Medtr6g066100.2,0
gma-miR169i-5p,lcl_Gmax_Glyma.04G178100.1,1
gma-miR160b,lcl_Gmax_Glyma.13G372800.1,0
ath-miR164a,lcl_Athaliana_AT1G71828.1,1
ath-miR5645c,lcl_Athaliana_AT1G48200.1,0
mtr-miR166d,lcl_Mtruncatula_Medtr0037s0160.1,1
mtr-miR5208d,lcl_Mtruncatula_Medtr4g035885.1,0
gma-miR5783,lcl_Gmax_Glyma.01G231100.1,1
gma-miR5038a,lcl_Gmax_Glyma.01G129800.1,0
ath-miR780.1,lcl_Athaliana_AT5G58005.1,1
ath-miR404,lcl_Athaliana_AT3G33064.1,0
mtr-miR5221,lcl_Mtruncatula_Medtr2g017795.1,1
mtr-miR5286a,lcl_Mtruncatula_Medtr1g107440.2,0
gma-miR156a,lcl_Gmax_Glyma.05G140300.1,1
gma-miR10443,lcl_Gmax_Glyma.20G010700.1,0
ath-miR851-5p,CNT2087659,1
ath-miR406,lcl_Athaliana_AT1G28465.1,0
mtr-miR5277,lcl_Mtruncatula_Medtr8g043880.1,1
mtr-miR2630a,lcl_Mtruncatula_Medtr3g466420.1,0
gma-miR159e-5p,lcl_Gmax_Glyma.13G311400.1,1
gma-miR5043,lcl_Gmax_Glyma.10G098800.1,0
ath-miR159c,lcl_Athaliana_AT3G09860.1,1
ath-miR870-3p,CNT2087463,0
mtr-miR2586b,lcl_Mtruncatula_Medtr5g040060.1,1
mtr-miR4414b,lcl_Mtruncatula_Medtr1g095390.2,0
gma-miR1507c-5p,lcl_Gmax_Glyma.11G141000.1,1
gma-miR395a,lcl_Gmax_Glyma.19G112400.1,0
ath-miR4239,lcl_Athaliana_AT1G11785.1,1
ath-miR403-3p,CNT2087639,0
mtr-miR156g-5p,lcl_Mtruncatula_Medtr3g062895.1,1
mtr-miR2614,lcl_Mtruncatula_Medtr4g043720.3,0
gma-miR167a,lcl_Gmax_Glyma.18G189400.1,1
gma-miR1511,lcl_Gmax_Glyma.01G122600.1,0
ath-miR3440b-3p,lcl_Athaliana_AT5G26620.1,1
ath-miR852,lcl_Athaliana_AT3G47833.1,0
mtr-miR171c,lcl_Mtruncatula_Medtr1g036040.1,1
mtr-miR5256,lcl_Mtruncatula_Medtr0016s0040.1,0
gma-miR169o,lcl_Gmax_Glyma.14G158500.1,1
gma-miR4356,lcl_Gmax_Glyma.U022300.1,0
ath-miR160c-3p,CNT2086748,1
