,Seqname,FickS: Fickett score,SCCou: Stop codon count,SCFre: Stop codon frequency,SCCFS: Stop codon count frame score,SCFFS: Stop codon frequency frame score
130,kshv-miR-K12-3-3p,0.8338,0.0,0.0,1.0,0.107885
131,kshv-miR-K12-12-5p,0.9489,0.0,0.0,0.0,0.0
132,kshv-miR-K12-10a-5p,1.0592,0.0,0.0,0.0,0.0
133,kshv-miR-K12-11-5p,0.7745,0.0,0.0,1.0,0.100372
134,kshv-miR-K12-1-3p,0.7675,0.0,0.0,0.0,0.0
135,kshv-miR-K12-2-3p,1.1801,0.0,0.0,1.0,0.107885
136,kshv-miR-K12-8-5p,0.6743,0.0,0.0,1.0,0.104662
137,kshv-miR-K12-7-5p,0.7503,0.0,0.0,0.0,0.0
138,kshv-miR-K12-5-5p,0.7831,2.0,0.629316,4.0,0.396039
139,kshv-miR-K12-12-3p,1.1592,0.0,0.0,1.0,0.104662
140,hbv-miR-B2RC,0.4968,0.0,0.0,0.0,0.0
141,hbv-miR-B4,0.8634,0.0,0.0,0.0,0.0
142,hbv-miR-B20-5p,1.0254,1.0,0.323515,1.0,0.104662
143,hbv-miR-B20-3p,1.0012,0.0,0.0,0.0,0.0
144,hbv-miR-B2-3p,0.4538,0.0,0.0,0.0,0.0
145,hbv-miR-B3RC-5p,0.7172,1.0,0.323515,1.0,0.104662
146,hbv-miR-B3RC-3p,0.9205,0.0,0.0,0.0,0.0
147,hbv-miR-B7-5p,0.5877,0.0,0.0,0.0,0.0
148,hbv-miR-B8-5p,0.786,0.0,0.0,1.0,0.101716
149,hbv-miR-B8-3p,0.8417,1.0,0.314658,1.0,0.09901
150,hbv-miR-B19-5p,0.8018,0.0,0.0,0.0,0.0
151,hbv-miR-B21RC-5p,0.5526,0.0,0.0,0.0,0.0
152,hbv-miR-B26-5p,0.8886,1.0,0.318929,1.0,0.101716
153,hbv-miR-B14RC-3p,0.4931,0.0,0.0,0.0,0.0
154,hbv-miR-B22-3p,0.7202,2.0,0.629316,4.0,0.396039
155,bkv-miR-B1-5p,1.1329,1.0,0.318929,1.0,0.101716
156,bkv-miR-B1-3p,0.6863,0.0,0.0,1.0,0.104662
157,jcv-miR-J1-5p,1.0513,1.0,0.318929,1.0,0.101716
158,jcv-miR-J1-3p,0.6863,0.0,0.0,1.0,0.104662
159,mcpv-miR-P1-5p,1.0686,1.0,0.318929,1.0,0.101716
160,mcpv-miR-P1-3p,1.2289,1.0,0.318929,1.0,0.101716
161,hiv1-miR-N367,0.9199,0.0,0.0,1.0,0.101716
162,hiv1-miR-H1,0.5122,0.0,0.0,0.0,0.0
163,hiv1-miR-TAR-5p,0.7639,1.0,0.310667,1.0,0.09777
164,hiv1-miR-TAR-3p,0.516,1.0,0.314658,1.0,0.101875
