,mirna,lncrna,Label,mirna_id,lncrna_id,pair_index
61,ath-miR840-3p,NONATHT001927,0,57,-60,61
62,mtr-miR166d,lcl_Mtruncatula_Medtr5g023950.1,1,58,-61,62
63,mtr-miR2675,lcl_Mtruncatula_Medtr8g043400.3,0,59,-62,63
64,gma-miR159c,lcl_Gmax_Glyma.18G006400.2,1,60,-63,64
65,gma-miR10436,lcl_Gmax_Glyma.11G154900.1,0,61,-64,65
66,ath-miR5660,CNT2087551,1,62,-65,66
67,ath-miR1887,lcl_Athaliana_AT3G45275.1,0,53,-66,67
68,mtr-miR2586a,lcl_Mtruncatula_Medtr5g095640.1,1,15,-67,68
69,mtr-miR2592br-5p,lcl_Mtruncatula_Medtr3g117730.1,0,63,-68,69
70,gma-miR167g,lcl_Gmax_Glyma.18G189400.1,1,64,-69,70
71,gma-miR394b-3p,lcl_Gmax_Glyma.20G010700.1,0,65,-70,71
72,ath-miR831-3p,lcl_Athaliana_AT4G39404.1,1,66,-71,72
73,ath-miR830-3p,lcl_Athaliana_AT3G42792.1,0,67,-72,73
74,mtr-miR169d-3p,lcl_Mtruncatula_Medtr5g092710.1,1,68,-73,74
75,mtr-miR2626,lcl_Mtruncatula_Medtr2g009910.2,0,69,-74,75
76,gma-miR4387c,lcl_Gmax_Glyma.01G067500.1,1,70,-75,76
77,gma-miR9735,lcl_Gmax_Glyma.13G278900.4,0,71,-76,77
78,ath-miR858b,lcl_Athaliana_AT2G34120.1,1,72,-77,78
79,ath-miR780.2,lcl_Athaliana_AT3G42316.1,0,25,-78,79
80,mtr-miR168a,lcl_Mtruncatula_Medtr8g469250.1,1,73,-79,80
81,mtr-miR2672,lcl_Mtruncatula_Medtr8g051620.3,0,74,-80,81
82,gma-miR5225,lcl_Gmax_Glyma.18G144300.1,1,75,-81,82
83,gma-miR9738,lcl_Gmax_Glyma.04G237800.1,0,76,-82,83
84,ath-miR834,lcl_Athaliana_AT5G04080.1,1,13,-83,84
85,ath-miR5650,CNT2084940,0,77,-84,85
86,mtr-miR2668,lcl_Mtruncatula_Medtr7g102805.1,1,78,-85,86
87,mtr-miR5274a,lcl_Mtruncatula_Medtr5g084410.2,0,79,-86,87
88,gma-miR396f,lcl_Gmax_Glyma.08G320400.2,1,80,-87,88
89,gma-miR4391,lcl_Gmax_Glyma.18G297000.1,0,81,-88,89
90,ath-miR5658,lcl_Athaliana_AT3G22240.1,1,82,-89,90
91,ath-miR2939,NONATHT003169,0,83,-90,91
92,mtr-miR319c-5p,lcl_Mtruncatula_Medtr8g036030.1,1,27,-91,92
93,mtr-miR2598,lcl_Mtruncatula_Medtr0101s0020.4,0,84,-92,93
94,gma-miR5037d,lcl_Gmax_Glyma.14G127700.1,1,85,-93,94
95,gma-miR5030b,lcl_Gmax_Glyma.16G020900.3,0,86,-94,95
96,ath-miR162a-5p,CNT2086564,1,87,-95,96
97,ath-miR395a,CNT2087411,0,88,-96,97
98,mtr-miR5561-3p,lcl_Mtruncatula_Medtr2g076020.1,1,89,-97,98
99,mtr-miR2592ap,lcl_Mtruncatula_Medtr5g084410.2,0,90,-86,99
100,gma-miR319a,lcl_Gmax_Glyma.18G279100.1,1,91,-98,100
101,gma-miR396h,lcl_Gmax_Glyma.01G133700.1,0,92,-99,101
102,ath-miR319c,NONATHT000860,1,93,-100,102
103,ath-miR418,CNT2087724,0,94,-101,103
104,mtr-miR168c-3p,lcl_Mtruncatula_Medtr4g072920.1,1,95,-102,104
105,mtr-miR5749,lcl_Mtruncatula_Medtr8g087480.1,0,96,-45,105
106,gma-miR5225,lcl_Gmax_Glyma.13G068400.2,1,75,-103,106
107,gma-miR828a,lcl_Gmax_Glyma.17G142500.4,0,97,-24,107
108,ath-miR5654-3p,CNT2086891,1,98,-104,108
109,ath-miR8121,lcl_Athaliana_AT1G68700.1,0,99,-105,109
110,mtr-miR2675,lcl_Mtruncatula_Medtr2g087985.1,1,59,-106,110
111,mtr-miR2619b-5p,lcl_Mtruncatula_Medtr3g053460.2,0,100,-107,111
112,gma-miR9730,lcl_Gmax_Glyma.08G280100.1,1,101,-108,112
113,gma-miR4392,lcl_Gmax_Glyma.03G243300.1,0,102,-109,113
114,ath-miR8165,lcl_Athaliana_AT5G11630.1,1,103,-110,114
115,ath-miR830-3p,CNT2085967,0,67,-111,115
116,mtr-miR5229a,lcl_Mtruncatula_Medtr4g131290.1,1,104,-112,116
117,mtr-miR5561-3p,lcl_Mtruncatula_Medtr4g059760.1,0,89,-113,117
118,gma-miR169e,lcl_Gmax_Glyma.05G176000.1,1,6,-114,118
119,gma-miR4403,lcl_Gmax_Glyma.05G010400.1,0,105,-115,119
120,ath-miR164a,CNT2088778,1,106,-116,120
121,ath-miR852,lcl_Athaliana_AT5G43185.1,0,107,-117,121
122,mtr-miR5247,lcl_Mtruncatula_Medtr3g084390.1,1,108,-118,122
123,mtr-miR5278,lcl_Mtruncatula_Medtr0016s0040.1,0,109,-10,123
124,gma-miR4387c,lcl_Gmax_Glyma.03G153500.1,1,70,-119,124
125,gma-miR10198,lcl_Gmax_Glyma.01G015700.1,0,110,-35,125
126,ath-miR401,CNT2087736,1,111,-120,126
127,ath-miR841b-3p,lcl_Athaliana_AT1G68526.1,0,112,-121,127
128,mtr-miR2589,lcl_Mtruncatula_Medtr7g055843.1,1,113,-122,128
129,mtr-miR5292a,lcl_Mtruncatula_Medtr5g015470.1,0,114,-123,129
130,gma-miR482b-5p,lcl_Gmax_Glyma.06G311300.1,1,115,-124,130
131,gma-miR156f,lcl_Gmax_Glyma.01G129800.1,0,116,-125,131
132,ath-miR838,lcl_Athaliana_AT1G64405.1,1,117,-126,132
133,ath-miR5019,CNT2088347,0,118,-127,133
134,mtr-miR5207,lcl_Mtruncatula_Medtr8g022770.2,1,119,-128,134
135,mtr-miR2645,lcl_Mtruncatula_Medtr4g049300.2,0,120,-129,135
136,gma-miR390a-5p,lcl_Gmax_Glyma.05G092200.1,1,121,-130,136
137,gma-miR5031,lcl_Gmax_Glyma.03G179400.1,0,122,-131,137
138,ath-miR771,CNT2087934,1,123,-132,138
139,ath-miR5017-5p,CNT2085416,0,124,-133,139
140,mtr-miR5228,lcl_Mtruncatula_Medtr4g124240.1,1,125,-134,140
141,mtr-miR2642,lcl_Mtruncatula_Medtr3g050170.1,0,126,-135,141
142,gma-miR399m,lcl_Gmax_Glyma.04G168400.1,1,127,-136,142
143,gma-miR1532,lcl_Gmax_Glyma.15G180100.1,0,128,-137,143
144,ath-miR2111a-3p,CNT2085227,1,129,-138,144
145,ath-miR5657,CNT2085564,0,130,-139,145
146,mtr-miR5209,lcl_Mtruncatula_Medtr4g075355.1,1,131,-140,146
147,mtr-miR399d,lcl_Mtruncatula_Medtr1g107440.2,0,132,-141,147
148,gma-miR10191,lcl_Gmax_Glyma.09G111500.1,1,133,-142,148
149,gma-miR4391,lcl_Gmax_Glyma.01G083400.3,0,81,-143,149
150,ath-miR160a-5p,CNT2087239,1,134,-144,150
151,ath-miR8121,CNT2088028,0,99,-145,151
152,mtr-miR5286b,lcl_Mtruncatula_Medtr8g105220.1,1,135,-146,152
153,mtr-miR2635,lcl_Mtruncatula_Medtr8g095630.2,0,136,-147,153
154,gma-miR4387b,lcl_Gmax_Glyma.13G068400.2,1,137,-103,154
155,gma-miR1507a,lcl_Gmax_Glyma.01G175700.8,0,138,-148,155
156,ath-miR319a,CNT2085517,1,139,-149,156
157,ath-miR870-5p,CNT2085304,0,140,-150,157
158,mtr-miR5299,lcl_Mtruncatula_Medtr5g070595.1,1,141,-151,158
159,mtr-miR2671j,lcl_Mtruncatula_Medtr0152s0100.1,0,142,-152,159
160,gma-miR164a,lcl_Gmax_Glyma.20G055100.1,1,143,-153,160
161,gma-miR169h,lcl_Gmax_Glyma.06G214300.1,0,144,-154,161
162,ath-miR774a,CNT2088598,1,145,-155,162
163,ath-miR164c-5p,NONATHT001101,0,7,-156,163
164,mtr-miR171c,lcl_Mtruncatula_Medtr6g445270.1,1,146,-157,164
165,mtr-miR7696a-3p,lcl_Mtruncatula_Medtr8g022410.1,0,147,-158,165
166,gma-miR408a-5p,lcl_Gmax_Glyma.20G152700.1,1,148,-159,166
167,gma-miR4409,lcl_Gmax_Glyma.01G175700.1,0,149,-18,167
168,ath-miR5016,NONATHT000900,1,150,-160,168
169,ath-miR161.1,lcl_Athaliana_AT4G03660.1,0,151,-161,169
170,mtr-miR160a,lcl_Mtruncatula_Medtr7g100315.1,1,152,-162,170
171,mtr-miR396a-5p,lcl_Mtruncatula_Medtr1g086180.2,0,153,-163,171
172,gma-miR10411,lcl_Gmax_Glyma.10G185300.1,1,154,-164,172
173,gma-miR1516a-5p,lcl_Gmax_Glyma.02G087300.1,0,155,-165,173
174,ath-miR472-3p,NONATHT002394,1,156,-166,174
175,ath-miR5631,lcl_Athaliana_AT5G09830.1,0,157,-167,175
176,mtr-miR168b,lcl_Mtruncatula_Medtr6g015655.1,1,158,-168,176
177,mtr-miR5204,lcl_Mtruncatula_Medtr1g107440.5,0,159,-169,177
178,gma-miR408d,lcl_Gmax_Glyma.15G174200.1,1,160,-170,178
179,gma-miR4399,lcl_Gmax_Glyma.17G146200.1,0,161,-171,179
180,ath-miR8181,CNT2087701,1,46,-172,180
181,ath-miR5648-3p,lcl_Athaliana_AT4G03732.1,0,162,-173,181
182,mtr-miR319d-5p,lcl_Mtruncatula_Medtr6g034970.1,1,163,-174,182
183,mtr-miR5270a,lcl_Mtruncatula_Medtr0101s0020.4,0,164,-92,183
184,gma-miR4414b,lcl_Gmax_Glyma.08G256500.1,1,165,-175,184
185,gma-miR169n-5p,lcl_Gmax_Glyma.03G143300.1,0,166,-176,185
186,ath-miR168a-3p,NONATHT001659,1,167,-177,186
187,ath-miR397b,CNT2087553,0,168,-178,187
188,mtr-miR168a,lcl_Mtruncatula_Medtr7g062880.1,1,73,-179,188
189,mtr-miR5295a,lcl_Mtruncatula_Medtr4g106400.1,0,169,-180,189
190,gma-miR408a-5p,lcl_Gmax_Glyma.04G217600.1,1,148,-181,190
191,gma-miR4389,lcl_Gmax_Glyma.03G084100.2,0,170,-182,191
192,ath-miR156a-5p,lcl_Athaliana_AT3G42714.1,1,171,-183,192
193,ath-miR169d,CNT2087606,0,172,-184,193
194,mtr-miR5275,lcl_Mtruncatula_Medtr4g016600.1,1,173,-185,194
195,mtr-miR5269b,lcl_Mtruncatula_Medtr3g050170.1,0,174,-135,195
196,gma-miR4995,lcl_Gmax_Glyma.12G073600.1,1,175,-186,196
197,gma-miR393c-3p,lcl_Gmax_Glyma.07G094600.1,0,176,-47,197
198,ath-miR168a-5p,lcl_Athaliana_AT3G43900.1,1,177,-187,198
199,ath-miR857,lcl_Athaliana_AT5G55850.3,0,178,-188,199
200,mtr-miR2594,lcl_Mtruncatula_Medtr4g013250.1,1,179,-189,200
201,mtr-miR7697-5p,lcl_Mtruncatula_Medtr1g107440.2,0,180,-141,201
202,gma-miR4414b,lcl_Gmax_Glyma.18G229200.1,1,165,-190,202
203,gma-miR4996,lcl_Gmax_Glyma.01G175700.4,0,181,-191,203
204,ath-miR780.1,CNT2085615,1,182,-192,204
205,ath-miR5997,lcl_Athaliana_AT1G48200.1,0,183,-193,205
206,mtr-miR5243,lcl_Mtruncatula_Medtr2g055030.1,1,184,-194,206
207,mtr-miR2677,lcl_Mtruncatula_Medtr4g106400.1,0,185,-180,207
208,gma-miR4412-5p,lcl_Gmax_Glyma.01G068300.1,1,186,-195,208
209,gma-miR5559,lcl_Gmax_Glyma.17G191700.1,0,187,-196,209
210,ath-miR171a-3p,CNT2086703,1,188,-197,210
211,ath-miR5018,lcl_Athaliana_AT3G45245.1,0,189,-198,211
212,mtr-miR2613,lcl_Mtruncatula_Medtr2g028460.1,1,190,-199,212
213,mtr-miR5218,lcl_Mtruncatula_Medtr4g106400.1,0,191,-180,213
214,gma-miR1513c,lcl_Gmax_Glyma.14G029900.1,1,192,-200,214
215,gma-miR169p,lcl_Gmax_Glyma.16G092300.1,0,193,-201,215
216,ath-miR399f,At5NC025190,1,194,-202,216
217,ath-miR8121,CNT2086762,0,99,-203,217
218,mtr-miR2613,lcl_Mtruncatula_Medtr1498s0010.1,1,190,-204,218
219,mtr-miR2612,lcl_Mtruncatula_Medtr0101s0020.4,0,195,-92,219
220,gma-miR159a-5p,lcl_Gmax_Glyma.14G165100.1,1,196,-205,220
221,gma-miR156p,lcl_Gmax_Glyma.18G290700.4,0,197,-206,221
222,ath-miR164c-5p,NONATHT001810,1,7,-207,222
223,ath-miR3434-3p,CNT2087964,0,198,-208,223
224,mtr-miR395h,lcl_Mtruncatula_Medtr2g026800.1,1,199,-209,224
225,mtr-miR159b,lcl_Mtruncatula_Medtr3g466420.1,0,200,-210,225
226,gma-miR393a,lcl_Gmax_Glyma.01G063400.1,1,201,-211,226
227,gma-miR4415b-5p,lcl_Gmax_Glyma.U034900.1,0,202,-212,227
228,ath-miR869.1,lcl_Athaliana_AT3G60650.1,1,203,-213,228
229,ath-miR864-3p,CNT2089042,0,204,-214,229
230,mtr-miR398a-3p,lcl_Mtruncatula_Medtr5g027710.1,1,32,-215,230
231,mtr-miR2595,lcl_Mtruncatula_Medtr3g053460.2,0,205,-107,231
232,gma-miR395a,lcl_Gmax_Glyma.18G264800.1,1,5,-216,232
233,gma-miR5379,lcl_Gmax_Glyma.13G202700.1,0,206,-217,233
234,ath-miR447a-3p,AtR8,1,207,-218,234
235,ath-miR774b-5p,NONATHT002762,0,208,-219,235
236,mtr-miR168c-3p,lcl_Mtruncatula_Medtr5g018340.1,1,95,-220,236
237,mtr-miR166b,lcl_Mtruncatula_Medtr1g054150.1,0,209,-22,237
238,gma-miR4414b,lcl_Gmax_Glyma.17G258800.1,1,165,-221,238
239,gma-miR4380a,lcl_Gmax_Glyma.10G098800.1,0,210,-222,239
240,ath-miR168a-3p,lcl_Athaliana_AT2G13272.1,1,167,-223,240
241,ath-miR8174,lcl_Athaliana_AT4G04165.1,0,211,-224,241
242,mtr-miR171d,lcl_Mtruncatula_Medtr2g062810.1,1,212,-225,242
243,mtr-miR7698-5p,lcl_Mtruncatula_Medtr5g084410.2,0,213,-86,243
244,gma-miR169o,lcl_Gmax_Glyma.12G221300.1,1,214,-226,244
245,gma-miR5769,lcl_Gmax_Glyma.11G154900.1,0,215,-64,245
246,ath-miR5020c,CNT2087835,1,216,-227,246
247,ath-miR860,NONATHT002444,0,217,-228,247
248,mtr-miR2675,lcl_Mtruncatula_Medtr7g068490.1,1,59,-229,248
249,mtr-miR530,lcl_Mtruncatula_Medtr8g074520.1,0,218,-230,249
250,gma-miR319c,lcl_Gmax_Glyma.11G176100.1,1,219,-231,250
251,gma-miR1520f-5p,lcl_Gmax_Glyma.17G191700.1,0,220,-196,251
252,ath-miR8168,CNT2085718,1,221,-232,252
253,ath-miR5643a,CNT2085555,0,222,-233,253
254,mtr-miR2647a,lcl_Mtruncatula_Medtr6g012320.1,1,223,-234,254
255,mtr-miR5754,lcl_Mtruncatula_Medtr5g081650.3,0,224,-56,255
256,gma-miR2111a,lcl_Gmax_Glyma.03G212600.1,1,225,-235,256
257,gma-miR4997b,lcl_Gmax_Glyma.17G142500.4,0,226,-24,257
258,ath-miR157c-3p,CNT2085467,1,227,-236,258
259,ath-miR864-3p,NONATHT000309,0,204,-237,259
260,mtr-miR2630a,lcl_Mtruncatula_Medtr5g007070.1,1,228,-238,260
261,mtr-miR2639,lcl_Mtruncatula_Medtr5g015470.1,0,229,-123,261
262,gma-miR169n-5p,lcl_Gmax_Glyma.19G246900.1,1,166,-239,262
263,gma-miR4364b,lcl_Gmax_Glyma.19G157900.1,0,230,-240,263
264,ath-miR319c,NONATHT000112,1,93,-241,264
265,ath-miR8168,lcl_Athaliana_AT5G63460.3,0,221,-242,265
266,mtr-miR5270a,lcl_Mtruncatula_Medtr1g056455.1,1,164,-243,266
267,mtr-miR2649,lcl_Mtruncatula_Medtr1g107440.2,0,231,-141,267
268,gma-miR159a-5p,lcl_Gmax_Glyma.05G081700.1,1,196,-244,268
269,gma-miR1520c,lcl_Gmax_Glyma.10G242900.1,0,232,-245,269
270,ath-miR8168,CNT2086689,1,221,-246,270
271,ath-miR837-3p,CNT2086464,0,233,-247,271
272,mtr-miR5234,lcl_Mtruncatula_Medtr7g071330.1,1,234,-248,272
273,mtr-miR5236a,lcl_Mtruncatula_Medtr1g107440.2,0,235,-141,273
274,gma-miR394b-5p,lcl_Gmax_Glyma.17G260600.1,1,236,-249,274
275,gma-miR4386,lcl_Gmax_Glyma.06G214300.1,0,237,-154,275
276,ath-miR167d,lcl_Athaliana_AT3G13275.1,1,238,-250,276
277,ath-miR5641,CNT2088952,0,239,-251,277
278,mtr-miR7697-5p,lcl_Mtruncatula_Medtr4g057575.1,1,180,-252,278
279,mtr-miR5292a,lcl_Mtruncatula_Medtr4g106400.1,0,114,-180,279
280,gma-miR1523b,lcl_Gmax_Glyma.06G301400.1,1,240,-253,280
281,gma-miR2118a-5p,lcl_Gmax_Glyma.U034900.1,0,241,-212,281
282,ath-miR168a-5p,lcl_Athaliana_AT4G03040.1,1,177,-254,282
283,ath-miR841a-5p,NONATHT001026,0,242,-255,283
284,mtr-miR399t-5p,lcl_Mtruncatula_Medtr5g080060.1,1,243,-256,284
285,mtr-miR169g,lcl_Mtruncatula_Medtr4g053180.2,0,244,-16,285
286,gma-miR408a-5p,lcl_Gmax_Glyma.02G299800.1,1,148,-257,286
287,gma-miR10186a,lcl_Gmax_Glyma.02G106000.7,0,245,-258,287
288,ath-miR399b,CNT2085955,1,246,-259,288
289,ath-miR5650,APOLO,0,77,-260,289
290,mtr-miR171c,lcl_Mtruncatula_Medtr4g132873.1,1,146,-261,290
291,mtr-miR399j,lcl_Mtruncatula_Medtr4g006610.1,0,247,-262,291
292,gma-miR396b-5p,lcl_Gmax_Glyma.01G006200.1,1,248,-263,292
293,gma-miR4404,lcl_Gmax_Glyma.20G010700.1,0,249,-70,293
294,ath-miR5653,lcl_Athaliana_AT1G47885.1,1,250,-264,294
295,ath-miR170-5p,CNT2085628,0,251,-265,295
296,mtr-miR164d,lcl_Mtruncatula_Medtr5g008670.1,1,252,-266,296
297,mtr-miR2592b-3p,lcl_Mtruncatula_Medtr4g035885.1,0,253,-267,297
298,gma-miR390a-5p,lcl_Gmax_Glyma.13G014600.1,1,121,-268,298
299,gma-miR10409,lcl_Gmax_Glyma.02G106000.7,0,254,-258,299
300,ath-miR842,lcl_Athaliana_AT1G36400.1,1,255,-269,300
301,ath-miR3932a,NONATHT002963,0,256,-270,301
302,mtr-miR5206a,lcl_Mtruncatula_Medtr1g040775.1,1,257,-271,302
303,mtr-miR2647a,lcl_Mtruncatula_Medtr8g095630.2,0,223,-147,303
304,gma-miR482c-3p,lcl_Gmax_Glyma.09G057600.1,1,258,-272,304
305,gma-miR10422,lcl_Gmax_Glyma.05G064400.3,0,259,-273,305
306,ath-miR8175,CNT2084811,1,260,-274,306
307,ath-miR828,CNT2088029,0,261,-275,307
308,mtr-miR5251,lcl_Mtruncatula_Medtr6g015177.1,1,43,-276,308
309,mtr-miR396b-5p,lcl_Mtruncatula_Medtr5g074570.1,0,262,-277,309
310,gma-miR408a-5p,lcl_Gmax_Glyma.15G079400.1,1,148,-278,310
311,gma-miR160a-5p,lcl_Gmax_Glyma.11G157900.1,0,263,-279,311
312,ath-miR447c-3p,CNT2088609,1,264,-280,312
313,ath-miR3434-5p,CNT2088352,0,265,-281,313
314,mtr-miR2675,lcl_Mtruncatula_Medtr1g053175.1,1,59,-282,314
315,mtr-miR172a,lcl_Mtruncatula_Medtr1g107440.5,0,266,-169,315
316,gma-miR393c-3p,lcl_Gmax_Glyma.09G065500.1,1,176,-283,316
317,gma-miR10426,lcl_Gmax_Glyma.11G013200.3,0,267,-284,317
318,ath-miR168b-3p,NONATHT002473,1,268,-285,318
319,ath-miR5997,CNT2089170,0,183,-286,319
320,mtr-miR169f,lcl_Mtruncatula_Medtr8g052495.1,1,269,-287,320
321,mtr-miR319c-5p,lcl_Mtruncatula_Medtr8g022770.3,0,27,-288,321
322,gma-miR5786,lcl_Gmax_Glyma.06G267100.1,1,270,-289,322
323,gma-miR5767,lcl_Gmax_Glyma.11G172700.1,0,271,-290,323
324,ath-miR3440b-3p,lcl_Athaliana_AT4G23432.1,1,272,-291,324
325,ath-miR865-5p,CNT2086640,0,14,-292,325
326,mtr-miR2639,lcl_Mtruncatula_Medtr7g063350.1,1,229,-293,326
327,mtr-miR5225a,lcl_Mtruncatula_Medtr7g078390.1,0,273,-294,327
328,gma-miR319h,lcl_Gmax_Glyma.05G056200.1,1,274,-295,328
329,gma-miR9736,lcl_Gmax_Glyma.06G038300.1,0,275,-296,329
330,ath-miR8172,CNT2088113,1,276,-297,330
331,ath-miR4243,CNT2087141,0,277,-298,331
332,mtr-miR2616,lcl_Mtruncatula_Medtr2g039903.1,1,278,-299,332
333,mtr-miR5277,lcl_Mtruncatula_Medtr8g051620.3,0,279,-80,333
334,gma-miR5044,lcl_Gmax_Glyma.01G026900.1,1,12,-300,334
335,gma-miR396f,lcl_Gmax_Glyma.13G164400.1,0,80,-301,335
336,ath-miR166a-5p,CNT2088364,1,280,-302,336
337,ath-miR5020c,CNT2088736,0,216,-303,337
338,mtr-miR2600a,lcl_Mtruncatula_Medtr5g056700.1,1,281,-304,338
339,mtr-miR5293,lcl_Mtruncatula_Medtr5g074570.1,0,282,-277,339
340,gma-miR482b-5p,lcl_Gmax_Glyma.10G293100.1,1,115,-46,340
341,gma-miR1508b,lcl_Gmax_Glyma.01G122600.1,0,283,-305,341
342,ath-miR167d,CNT2085884,1,238,-306,342
343,ath-miR403-5p,NONATHT002472,0,2,-307,343
344,mtr-miR2589,lcl_Mtruncatula_Medtr4g101060.1,1,113,-308,344
345,mtr-miR2658,lcl_Mtruncatula_Medtr7g111640.2,0,284,-309,345
346,gma-miR399j,lcl_Gmax_Glyma.09G036700.1,1,285,-310,346
347,gma-miR1532,lcl_Gmax_Glyma.U034900.1,0,128,-212,347
348,ath-miR5658,CNT2086712,1,82,-311,348
349,ath-miR822-3p,lcl_Athaliana_AT2G10608.2,0,286,-312,349
350,mtr-miR1510a-5p,lcl_Mtruncatula_Medtr2g022110.1,1,287,-313,350
351,mtr-miR1509a-5p,lcl_Mtruncatula_Medtr5g048060.2,0,288,-314,351
352,gma-miR164b,lcl_Gmax_Glyma.01G099400.1,1,11,-315,352
353,gma-miR5671b,lcl_Gmax_Glyma.15G240200.1,0,289,-316,353
354,ath-miR166a-5p,CNT2087193,1,280,-317,354
355,ath-miR170-5p,CNT2088513,0,251,-318,355
356,mtr-miR171e-5p,lcl_Mtruncatula_Medtr3g116020.1,1,290,-319,356
357,mtr-miR171a,lcl_Mtruncatula_Medtr4g043720.3,0,291,-320,357
358,gma-miR5767,lcl_Gmax_Glyma.12G028600.1,1,271,-321,358
359,gma-miR396j,lcl_Gmax_Glyma.17G142500.1,0,292,-322,359
360,ath-miR822-5p,CNT2088241,1,293,-323,360
