A,Label
>hcmv-miR-US4-5p,1.0
>hcmv-miR-UL70-5p,1.0
>hcmv-miR-UL70-3p,1.0
>hcmv-miR-UL36-3p,1.0
>hcmv-miR-US33-3p,1.0
>hcmv-miR-UL112-5p,1.0
>hcmv-miR-US5-2-5p,1.0
>hcmv-miR-US4-3p,1.0
>hcmv-miR-US22-5p,1.0
>hcmv-miR-US22-3p,1.0
>hcmv-miR-US29-5p,1.0
>hcmv-miR-US29-3p,1.0
>hcmv-miR-UL59,1.0
>hcmv-miR-UL69,1.0
>ebv-miR-BHRF1-1,1.0
>ebv-miR-BHRF1-2-5p,1.0
>ebv-miR-BHRF1-2-3p,1.0
>ebv-miR-BHRF1-3,1.0
>ebv-miR-BART1-5p,1.0
>ebv-miR-BART2-5p,1.0
>ebv-miR-BART1-3p,1.0
>ebv-miR-BART3-5p,1.0
>ebv-miR-BART3-3p,1.0
>ebv-miR-BART4-5p,1.0
>ebv-miR-BART5-5p,1.0
>ebv-miR-BART6-5p,1.0
>ebv-miR-BART6-3p,1.0
>ebv-miR-BART7-3p,1.0
>ebv-miR-BART8-5p,1.0
>ebv-miR-BART8-3p,1.0
>ebv-miR-BART9-3p,1.0
>ebv-miR-BART10-3p,1.0
>ebv-miR-BART11-5p,1.0
>ebv-miR-BART11-3p,1.0
>ebv-miR-BART12,1.0
>ebv-miR-BART13-3p,1.0
>ebv-miR-BART14-5p,1.0
>ebv-miR-BART14-3p,1.0
>ebv-miR-BART15,1.0
>ebv-miR-BART16,1.0
>ebv-miR-BART17-5p,1.0
>ebv-miR-BART17-3p,1.0
>ebv-miR-BART18-5p,1.0
>ebv-miR-BART19-3p,1.0
>ebv-miR-BART20-5p,1.0
>ebv-miR-BART20-3p,1.0
>ebv-miR-BART2-3p,1.0
>ebv-miR-BART7-5p,1.0
>ebv-miR-BART9-5p,1.0
>ebv-miR-BART10-5p,1.0
>ebv-miR-BART13-5p,1.0
>ebv-miR-BART18-3p,1.0
>ebv-miR-BART19-5p,1.0
>ebv-miR-BART4-3p,1.0
>ebv-miR-BART5-3p,1.0
>ebv-miR-BART21-5p,1.0
>ebv-miR-BART21-3p,1.0
>ebv-miR-BART22,1.0
>kshv-miR-K12-10a-3p,1.0
>kshv-miR-K12-10b,1.0
>kshv-miR-K12-11-3p,1.0
>kshv-miR-K12-1-5p,1.0
>kshv-miR-K12-2-5p,1.0
>kshv-miR-K12-9-5p,1.0
>kshv-miR-K12-9-3p,1.0
>kshv-miR-K12-8-3p,1.0
>kshv-miR-K12-7-3p,1.0
>kshv-miR-K12-6-5p,1.0
>kshv-miR-K12-6-3p,1.0
>kshv-miR-K12-5-3p,1.0
>kshv-miR-K12-4-5p,1.0
>kshv-miR-K12-4-3p,1.0
>kshv-miR-K12-3-5p,1.0
>kshv-miR-K12-3-3p,1.0
>kshv-miR-K12-12-5p,1.0
>kshv-miR-K12-10a-5p,1.0
>kshv-miR-K12-11-5p,1.0
>kshv-miR-K12-1-3p,1.0
>kshv-miR-K12-2-3p,1.0
>kshv-miR-K12-8-5p,1.0
>kshv-miR-K12-7-5p,1.0
>kshv-miR-K12-5-5p,1.0
>kshv-miR-K12-12-3p,1.0
>hbv-miR-B2RC,1.0
>hbv-miR-B4,1.0
>hbv-miR-B20-5p,1.0
>hbv-miR-B20-3p,1.0
>hbv-miR-B2-3p,1.0
>hbv-miR-B3RC-5p,1.0
>hbv-miR-B3RC-3p,1.0
>hbv-miR-B7-5p,1.0
>hbv-miR-B8-5p,1.0
>hbv-miR-B8-3p,1.0
>hbv-miR-B19-5p,1.0
>hbv-miR-B21RC-5p,1.0
>hbv-miR-B26-5p,1.0
>hbv-miR-B14RC-3p,1.0
>hbv-miR-B22-3p,1.0
>bkv-miR-B1-5p,1.0
>bkv-miR-B1-3p,1.0
>jcv-miR-J1-5p,1.0
>jcv-miR-J1-3p,1.0
>mcpv-miR-P1-5p,1.0
>mcpv-miR-P1-3p,1.0
>hiv1-miR-N367,1.0
>hiv1-miR-H1,1.0
>hiv1-miR-TAR-5p,1.0
>hiv1-miR-TAR-3p,1.0
