lncrna,mirna,Label,pair_id,mirna_id_original,mirna_id,lncrna_id_original,lncrna_id
ENST00000663888.1,hiv1-miR-TAR-3p,0.0,9678,165,165,-1029,-1029
ENST00000653606.1,kshv-miR-K12-5-3p,0.0,9679,127,127,-629,-629
ENST00000660124.1,hsv1-miR-H18,0.0,9680,21,21,-1759,-1759
ENST00000461286.4,ebv-miR-BART13-5p,0.0,9681,108,108,-958,-958
ENST00000424943.1,hcmv-miR-US25-2-5p,0.0,9682,55,55,-335,-335
ENST00000428794.1,ebv-miR-BART9-5p,0.0,9683,106,106,-262,-262
ENST00000666704.1,ebv-miR-BART21-3p,0.0,9684,114,114,-1586,-1586
ENST00000521404.5,hsv1-miR-H1-3p,0.0,9685,22,22,-1045,-1045
ENST00000656645.1,hsv2-miR-H9-5p,0.0,9686,44,44,-1522,-1522
ENST00000613450.4,hcmv-miR-US5-1,0.0,9687,52,52,-901,-901
ENST00000653498.1,kshv-miR-K12-5-3p,0.0,9688,127,127,-1123,-1123
ENST00000673640.1,kshv-miR-K12-8-5p,0.0,9689,137,137,-732,-732
ENST00000657060.1,ebv-miR-BART7-5p,0.0,9690,105,105,-1570,-1570
ENST00000649108.1,hsv1-miR-H6-5p,0.0,9691,25,25,-34,-34
ENST00000628850.2,ebv-miR-BART1-3p,0.0,9692,78,78,-325,-325
ENST00000457853.1,hiv1-miR-TAR-3p,0.0,9693,165,165,-1376,-1376
ENST00000454857.6,bkv-miR-B1-5p,0.0,9694,156,156,-1293,-1293
ENST00000505537.1,hsv2-miR-H4-5p,0.0,9695,28,28,-1147,-1147
ENST00000608007.1,kshv-miR-K12-11-5p,0.0,9696,134,134,-1,-1
ENST00000666562.1,hsv1-miR-H5-5p,0.0,9697,24,24,-473,-473
ENST00000628659.2,hsv2-miR-H2,0.0,9698,30,30,-552,-552
ENST00000625348.2,ebv-miR-BART3-3p,0.0,9699,80,80,-1456,-1456
ENST00000665512.1,kshv-miR-K12-4-5p,0.0,9700,128,128,-714,-714
ENST00000373171.2,kshv-miR-K12-5-3p,0.0,9701,127,127,-1717,-1717
ENST00000317122.2,hcmv-miR-UL148D,0.0,9702,51,51,-467,-467
ENST00000476738.5,ebv-miR-BART10-5p,0.0,9703,107,107,-918,-918
ENST00000609009.6,hbv-miR-B26-5p,0.0,9704,153,153,-295,-295
ENST00000674007.1,ebv-miR-BHRF1-1,0.0,9705,72,72,-977,-977
ENST00000669034.1,ebv-miR-BART16,0.0,9706,97,97,-1642,-1642
ENST00000375633.5,hcmv-miR-US29-3p,0.0,9707,69,69,-186,-186
ENST00000452431.5,kshv-miR-K12-9-5p,0.0,9708,121,121,-612,-612
ENST00000457870.5,hcmv-miR-UL22A-3p,0.0,9709,49,49,-679,-679
ENST00000610688.2,hcmv-miR-UL148D,0.0,9710,51,51,-1643,-1643
ENST00000661342.1,hcmv-miR-US5-2-5p,0.0,9711,64,64,-1787,-1787
ENST00000554639.5,ebv-miR-BART19-3p,0.0,9712,101,101,-1046,-1046
ENST00000470091.1,ebv-miR-BART20-5p,0.0,9713,102,102,-1823,-1823
ENST00000373171.2,hsv1-miR-H3-3p,0.0,9714,4,4,-1717,-1717
ENST00000380990.5,hsv1-miR-H4-5p,0.0,9715,5,5,-1701,-1701
ENST00000575766.1,kshv-miR-K12-12-3p,0.0,9716,140,140,-1497,-1497
ENST00000670131.1,hiv1-miR-TAR-5p,0.0,9717,164,164,-1362,-1362
ENST00000472367.5,hsv2-miR-H6-5p,0.0,9718,46,46,-839,-839
ENST00000667446.1,hcmv-miR-US5-2-5p,0.0,9719,64,64,-1760,-1760
ENST00000660455.1,hbv-miR-B21RC-5p,0.0,9720,152,152,-1575,-1575
ENST00000666506.1,ebv-miR-BHRF1-1,0.0,9721,72,72,-190,-190
ENST00000642602.1,hsv2-miR-H5,0.0,9722,45,45,-528,-528
ENST00000664295.1,hsv2-miR-H20,0.0,9723,37,37,-811,-811
ENST00000670888.1,hcmv-miR-US29-5p,0.0,9724,68,68,-1598,-1598
ENST00000664492.1,hbv-miR-B7-5p,0.0,9725,148,148,-981,-981
ENST00000478103.6,ebv-miR-BART7-3p,0.0,9726,85,85,-838,-838
ENST00000457100.5,ebv-miR-BART6-3p,0.0,9727,84,84,-1278,-1278
ENST00000654678.1,hsv1-miR-H7-5p,0.0,9728,9,9,-471,-471
ENST00000470091.1,hsv2-miR-H9-5p,0.0,9729,44,44,-1823,-1823
ENST00000501173.6,hbv-miR-B26-5p,0.0,9730,153,153,-683,-683
ENST00000491615.5,hbv-miR-B20-5p,0.0,9731,143,143,-923,-923
ENST00000409786.1,hcmv-miR-US5-2-5p,0.0,9732,64,64,-1785,-1785
ENST00000324446.3,kshv-miR-K12-8-3p,0.0,9733,123,123,-1080,-1080
ENST00000414816.1,hsv1-miR-H11,0.0,9734,13,13,-1684,-1684
ENST00000658540.1,hbv-miR-B21RC-5p,0.0,9735,152,152,-702,-702
ENST00000669536.1,hsv1-miR-H7-3p,0.0,9736,10,10,-194,-194
ENST00000663992.1,kshv-miR-K12-7-3p,0.0,9737,124,124,-1313,-1313
ENST00000675285.1,hsv1-miR-H4-5p,0.0,9738,5,5,-75,-75
ENST00000603530.5,hsv2-miR-H23-3p,0.0,9739,40,40,-1645,-1645
ENST00000663263.1,hsv2-miR-H7-5p,0.0,9740,31,31,-1768,-1768
ENST00000653619.1,hbv-miR-B22-3p,0.0,9741,155,155,-1770,-1770
ENST00000484171.2,kshv-miR-K12-8-5p,0.0,9742,137,137,-401,-401
ENST00000633344.1,hsv1-miR-H26,0.0,9743,26,26,-1663,-1663
ENST00000490577.5,hcmv-miR-UL70-5p,0.0,9744,59,59,-921,-921
ENST00000331787.2,kshv-miR-K12-10a-5p,0.0,9745,133,133,-1091,-1091
ENST00000669976.1,hsv2-miR-H3,0.0,9746,27,27,-1226,-1226
ENST00000662929.1,kshv-miR-K12-1-3p,0.0,9747,135,135,-1834,-1834
ENST00000505537.1,jcv-miR-J1-5p,0.0,9748,158,158,-1147,-1147
ENST00000587165.1,ebv-miR-BART2-5p,0.0,9749,77,77,-272,-272
ENST00000484836.2,hcmv-miR-UL36-3p,0.0,9750,61,61,-829,-829
ENST00000420074.1,hsv1-miR-H7-5p,0.0,9751,9,9,-1201,-1201
ENST00000652104.1,kshv-miR-K12-5-3p,0.0,9752,127,127,-1724,-1724
ENST00000463275.1,hcmv-miR-US33-3p,0.0,9753,62,62,-912,-912
ENST00000310916.6,hsv1-miR-H1-3p,0.0,9754,22,22,-301,-301
ENST00000675214.1,hsv2-miR-H10,0.0,9755,33,33,-982,-982
ENST00000655848.1,hbv-miR-B3RC-5p,0.0,9756,146,146,-1609,-1609
ENST00000470726.7,ebv-miR-BART8-3p,0.0,9757,87,87,-936,-936
ENST00000549957.1,ebv-miR-BART10-5p,0.0,9758,107,107,-1312,-1312
ENST00000366234.7,hcmv-miR-UL69,0.0,9759,71,71,-632,-632
ENST00000658620.1,kshv-miR-K12-8-3p,0.0,9760,123,123,-1429,-1429
ENST00000669314.1,kshv-miR-K12-11-3p,0.0,9761,118,118,-303,-303
ENST00000662075.1,ebv-miR-BART10-5p,0.0,9762,107,107,-499,-499
ENST00000658538.1,hsv2-miR-H7-5p,0.0,9763,31,31,-1480,-1480
ENST00000667446.1,hsv1-miR-H3-3p,0.0,9764,4,4,-1760,-1760
ENST00000669824.1,hsv2-miR-H9-3p,0.0,9765,32,32,-765,-765
ENST00000652104.1,ebv-miR-BART14-5p,0.0,9766,94,94,-1724,-1724
ENST00000483087.5,hsv2-miR-H6-5p,0.0,9767,46,46,-992,-992
ENST00000653624.1,hbv-miR-B8-5p,0.0,9768,149,149,-1633,-1633
ENST00000419368.1,hsv2-miR-H9-5p,0.0,9769,44,44,-962,-962
ENST00000460115.5,hbv-miR-B26-5p,0.0,9770,153,153,-908,-908
ENST00000577806.1,hsv2-miR-H6-3p,0.0,9771,47,47,-1687,-1687
ENST00000661403.1,kshv-miR-K12-10a-5p,0.0,9772,133,133,-1578,-1578
ENST00000626344.2,kshv-miR-K12-4-3p,0.0,9773,129,129,-867,-867
ENST00000661616.1,hcmv-miR-US29-3p,0.0,9774,69,69,-703,-703
ENST00000627542.2,hcmv-miR-UL59,0.0,9775,70,70,-609,-609
ENST00000441234.1,ebv-miR-BART4-5p,0.0,9776,81,81,-1249,-1249
ENST00000521404.5,ebv-miR-BART20-5p,0.0,9777,102,102,-1045,-1045
ENST00000414008.3,hsv2-miR-H12,0.0,9778,35,35,-1286,-1286
ENST00000658982.1,ebv-miR-BHRF1-1,0.0,9779,72,72,-1883,-1883
ENST00000428461.1,ebv-miR-BART19-5p,0.0,9780,110,110,-282,-282
ENST00000591654.5,hbv-miR-B21RC-5p,0.0,9781,152,152,-897,-897
ENST00000652683.1,hiv1-miR-H1,0.0,9782,163,163,-1652,-1652
ENST00000610197.1,ebv-miR-BART9-3p,0.0,9783,88,88,-310,-310
ENST00000657638.1,hsv1-miR-H4-3p,0.0,9784,6,6,-800,-800
ENST00000628850.2,hsv2-miR-H12,0.0,9785,35,35,-325,-325
ENST00000612326.5,kshv-miR-K12-6-3p,0.0,9786,126,126,-1027,-1027
ENST00000543656.2,hcmv-miR-US29-5p,0.0,9787,68,68,-1373,-1373
ENST00000665200.1,ebv-miR-BART10-3p,0.0,9788,89,89,-1520,-1520
ENST00000671203.1,hcmv-miR-US33-5p,0.0,9789,57,57,-189,-189
ENST00000461448.6,ebv-miR-BART19-3p,0.0,9790,101,101,-123,-123
ENST00000628670.2,hcmv-miR-US33-3p,0.0,9791,62,62,-884,-884
ENST00000628238.2,hcmv-miR-US29-3p,0.0,9792,69,69,-1455,-1455
ENST00000470977.6,hsv2-miR-H4-5p,0.0,9793,28,28,-125,-125
ENST00000631412.1,kshv-miR-K12-11-5p,0.0,9794,134,134,-1664,-1664
ENST00000413421.5,ebv-miR-BHRF1-2-5p,0.0,9795,73,73,-874,-874
ENST00000660172.1,ebv-miR-BART13-3p,0.0,9796,93,93,-1363,-1363
ENST00000358772.8,ebv-miR-BART1-3p,0.0,9797,78,78,-1778,-1778
ENST00000655668.1,ebv-miR-BHRF1-2-3p,0.0,9798,74,74,-1769,-1769
ENST00000661360.1,hsv2-miR-H2,0.0,9799,30,30,-762,-762
ENST00000655058.1,hcmv-miR-US33-5p,0.0,9800,57,57,-631,-631
ENST00000608719.5,kshv-miR-K12-1-3p,0.0,9801,135,135,-371,-371
ENST00000671203.1,hcmv-miR-UL22A-3p,0.0,9802,49,49,-189,-189
ENST00000656147.1,hcmv-miR-US22-5p,0.0,9803,66,66,-1325,-1325
ENST00000473075.3,hbv-miR-B26-5p,0.0,9804,153,153,-928,-928
ENST00000653619.1,hsv1-miR-H1-3p,0.0,9805,22,22,-1770,-1770
ENST00000670320.1,kshv-miR-K12-1-3p,0.0,9806,135,135,-484,-484
ENST00000663138.1,hcmv-miR-US29-3p,0.0,9807,69,69,-1741,-1741
ENST00000611604.2,hsv2-miR-H7-5p,0.0,9808,31,31,-1505,-1505
ENST00000658779.1,hsv1-miR-H4-5p,0.0,9809,5,5,-1322,-1322
ENST00000472367.5,hcmv-miR-UL59,0.0,9810,70,70,-839,-839
ENST00000423033.1,hiv1-miR-TAR-3p,0.0,9811,165,165,-1784,-1784
ENST00000654258.1,mcpv-miR-P1-5p,0.0,9812,160,160,-1416,-1416
ENST00000628201.2,hbv-miR-B14RC-3p,0.0,9813,154,154,-571,-571
ENST00000428772.5,hsv1-miR-H8-5p,0.0,9814,11,11,-1385,-1385
ENST00000662612.1,ebv-miR-BART19-5p,0.0,9815,110,110,-1306,-1306
ENST00000447507.1,kshv-miR-K12-4-3p,0.0,9816,129,129,-264,-264
ENST00000657042.1,hcmv-miR-US22-3p,0.0,9817,67,67,-1767,-1767
ENST00000575606.5,hiv1-miR-TAR-3p,0.0,9818,165,165,-1816,-1816
ENST00000662127.1,ebv-miR-BART4-3p,0.0,9819,111,111,-1317,-1317
ENST00000491317.1,kshv-miR-K12-10a-3p,0.0,9820,116,116,-1266,-1266
ENST00000587066.5,kshv-miR-K12-5-3p,0.0,9821,127,127,-891,-891
ENST00000633876.1,hcmv-miR-US22-3p,0.0,9822,67,67,-1134,-1134
ENST00000653518.1,ebv-miR-BART20-3p,0.0,9823,103,103,-1640,-1640
ENST00000666283.1,hsv1-miR-H3-3p,0.0,9824,4,4,-1519,-1519
ENST00000674007.1,ebv-miR-BART2-3p,0.0,9825,104,104,-977,-977
ENST00000655163.1,hsv1-miR-H14-3p,0.0,9826,17,17,-1364,-1364
ENST00000667936.1,hcmv-miR-US29-3p,0.0,9827,69,69,-435,-435
ENST00000442839.5,kshv-miR-K12-9-5p,0.0,9828,121,121,-697,-697
ENST00000326539.6,hcmv-miR-US22-5p,0.0,9829,66,66,-1242,-1242
ENST00000630298.2,ebv-miR-BART7-3p,0.0,9830,85,85,-385,-385
ENST00000661360.1,kshv-miR-K12-5-5p,0.0,9831,139,139,-762,-762
ENST00000505537.1,ebv-miR-BART13-5p,0.0,9832,108,108,-1147,-1147
ENST00000660087.1,ebv-miR-BART6-5p,0.0,9833,83,83,-799,-799
ENST00000655834.1,hcmv-miR-US33-3p,0.0,9834,62,62,-758,-758
ENST00000459662.5,ebv-miR-BART17-3p,0.0,9835,99,99,-993,-993
ENST00000424748.1,ebv-miR-BART18-5p,0.0,9836,100,100,-678,-678
ENST00000538604.1,hsv1-miR-H8-3p,0.0,9837,12,12,-98,-98
ENST00000330337.2,kshv-miR-K12-9-3p,0.0,9838,122,122,-1070,-1070
ENST00000625175.3,ebv-miR-BART1-5p,0.0,9839,76,76,-767,-767
ENST00000666755.1,hbv-miR-B22-3p,0.0,9840,155,155,-1649,-1649
ENST00000624295.3,hsv1-miR-H18,0.0,9841,21,21,-766,-766
ENST00000454466.1,ebv-miR-BART16,0.0,9842,97,97,-464,-464
ENST00000416999.1,ebv-miR-BART11-3p,0.0,9843,91,91,-536,-536
ENST00000612326.5,hbv-miR-B20-3p,0.0,9844,144,144,-1027,-1027
ENST00000653232.1,hsv2-miR-H22,0.0,9845,38,38,-1502,-1502
ENST00000664148.1,ebv-miR-BHRF1-1,0.0,9846,72,72,-333,-333
ENST00000670805.1,hcmv-miR-US25-1-5p,0.0,9847,54,54,-803,-803
ENST00000481368.6,hbv-miR-B7-5p,0.0,9848,148,148,-124,-124
ENST00000588785.6,ebv-miR-BART4-3p,0.0,9849,111,111,-239,-239
ENST00000671021.1,hsv2-miR-H2,0.0,9850,30,30,-805,-805
ENST00000628797.2,ebv-miR-BART19-5p,0.0,9851,110,110,-878,-878
ENST00000470091.1,hcmv-miR-US22-3p,0.0,9852,67,67,-1823,-1823
ENST00000539026.1,hsv2-miR-H5,0.0,9853,45,45,-1329,-1329
ENST00000586721.6,ebv-miR-BART19-5p,0.0,9854,110,110,-1348,-1348
ENST00000670446.1,hsv2-miR-H22,0.0,9855,38,38,-1582,-1582
ENST00000455744.1,kshv-miR-K12-1-5p,0.0,9856,119,119,-277,-277
ENST00000658179.1,kshv-miR-K12-3-5p,0.0,9857,130,130,-1096,-1096
ENST00000412919.1,ebv-miR-BHRF1-3,0.0,9858,75,75,-1853,-1853
ENST00000651032.1,hsv1-miR-H8-3p,0.0,9859,12,12,-1077,-1077
ENST00000664319.1,hsv1-miR-H7-3p,0.0,9860,10,10,-1614,-1614
ENST00000443623.5,hcmv-miR-UL70-3p,0.0,9861,60,60,-526,-526
ENST00000647970.1,kshv-miR-K12-3-3p,0.0,9862,131,131,-402,-402
ENST00000447937.1,hbv-miR-B20-3p,0.0,9863,144,144,-1093,-1093
ENST00000437515.1,hiv1-miR-TAR-5p,0.0,9864,164,164,-347,-347
ENST00000602672.2,hcmv-miR-UL59,0.0,9865,70,70,-1690,-1690
ENST00000657060.1,hcmv-miR-US4-5p,0.0,9866,58,58,-1570,-1570
ENST00000650369.1,ebv-miR-BART19-3p,0.0,9867,101,101,-302,-302
ENST00000665734.1,hsv1-miR-H4-3p,0.0,9868,6,6,-1343,-1343
ENST00000573355.2,hsv1-miR-H2-5p,0.0,9869,2,2,-1820,-1820
ENST00000442114.6,hsv2-miR-H20,0.0,9870,37,37,-84,-84
ENST00000581398.1,hsv2-miR-H7-3p,0.0,9871,43,43,-1155,-1155
ENST00000643589.1,hsv2-miR-H6-5p,0.0,9872,46,46,-1158,-1158
ENST00000661546.1,kshv-miR-K12-12-3p,0.0,9873,140,140,-797,-797
ENST00000675978.1,mcpv-miR-P1-3p,0.0,9874,161,161,-986,-986
ENST00000452431.5,hcmv-miR-UL70-5p,0.0,9875,59,59,-612,-612
ENST00000436101.1,hcmv-miR-US22-5p,0.0,9876,66,66,-1289,-1289
ENST00000670502.1,hsv1-miR-H18,0.0,9877,21,21,-719,-719
ENST00000647993.1,hbv-miR-B14RC-3p,0.0,9878,154,154,-1653,-1653
ENST00000666562.1,hbv-miR-B7-5p,0.0,9879,148,148,-473,-473
ENST00000658846.1,hsv2-miR-H11-3p,0.0,9880,34,34,-292,-292
ENST00000630798.1,kshv-miR-K12-2-3p,0.0,9881,136,136,-168,-168
ENST00000626609.2,hcmv-miR-UL148D,0.0,9882,51,51,-583,-583
ENST00000667668.1,hsv2-miR-H3,0.0,9883,27,27,-1338,-1338
ENST00000556047.1,hsv1-miR-H5-5p,0.0,9884,24,24,-520,-520
ENST00000669207.1,ebv-miR-BART2-5p,0.0,9885,77,77,-1228,-1228
ENST00000470977.6,hiv1-miR-TAR-5p,0.0,9886,164,164,-125,-125
ENST00000592838.5,ebv-miR-BART20-3p,0.0,9887,103,103,-320,-320
ENST00000627487.3,ebv-miR-BART3-5p,0.0,9888,79,79,-593,-593
ENST00000445504.3,hcmv-miR-US33-5p,0.0,9889,57,57,-1005,-1005
ENST00000553914.6,hcmv-miR-US33-3p,0.0,9890,62,62,-219,-219
ENST00000495000.1,hsv2-miR-H9-3p,0.0,9891,32,32,-23,-23
ENST00000665830.1,hsv1-miR-H2-5p,0.0,9892,2,2,-1327,-1327
ENST00000606100.5,ebv-miR-BART1-3p,0.0,9893,78,78,-1459,-1459
ENST00000539813.1,hcmv-miR-UL70-3p,0.0,9894,60,60,-1815,-1815
ENST00000524210.2,kshv-miR-K12-5-3p,0.0,9895,127,127,-1797,-1797
ENST00000657291.1,hsv1-miR-H18,0.0,9896,21,21,-598,-598
ENST00000632329.1,hcmv-miR-UL69,0.0,9897,71,71,-1135,-1135
ENST00000469754.3,hsv2-miR-H6-5p,0.0,9898,46,46,-913,-913
ENST00000658538.1,hsv2-miR-H22,0.0,9899,38,38,-1480,-1480
ENST00000454781.6,hsv1-miR-H15,0.0,9900,18,18,-1292,-1292
ENST00000619862.1,kshv-miR-K12-10b,0.0,9901,117,117,-1826,-1826
ENST00000411989.5,hbv-miR-B22-3p,0.0,9902,155,155,-1698,-1698
ENST00000414030.6,hsv2-miR-H23-5p,0.0,9903,39,39,-1178,-1178
ENST00000640964.1,hbv-miR-B7-5p,0.0,9904,148,148,-1485,-1485
ENST00000589300.1,hsv2-miR-H9-3p,0.0,9905,32,32,-1247,-1247
ENST00000656222.1,hsv1-miR-H14-5p,0.0,9906,16,16,-26,-26
ENST00000463275.1,ebv-miR-BART2-3p,0.0,9907,104,104,-912,-912
ENST00000665708.1,kshv-miR-K12-4-5p,0.0,9908,128,128,-590,-590
ENST00000565493.2,hcmv-miR-UL22A-5p,0.0,9909,48,48,-728,-728
ENST00000650259.1,ebv-miR-BART5-3p,0.0,9910,112,112,-130,-130
ENST00000439517.2,ebv-miR-BART8-5p,0.0,9911,86,86,-1296,-1296
ENST00000666990.1,hcmv-miR-UL22A-5p,0.0,9912,48,48,-1271,-1271
ENST00000662543.1,ebv-miR-BART8-5p,0.0,9913,86,86,-796,-796
ENST00000666667.1,kshv-miR-K12-3-3p,0.0,9914,131,131,-746,-746
ENST00000647970.1,hcmv-miR-US5-2-5p,0.0,9915,64,64,-402,-402
ENST00000585330.6,ebv-miR-BART4-5p,0.0,9916,81,81,-354,-354
ENST00000555162.1,jcv-miR-J1-3p,0.0,9917,159,159,-508,-508
ENST00000630780.1,ebv-miR-BART8-5p,0.0,9918,86,86,-773,-773
ENST00000665000.1,ebv-miR-BART10-3p,0.0,9919,89,89,-153,-153
ENST00000663880.1,hsv2-miR-H20,0.0,9920,37,37,-444,-444
ENST00000414030.6,kshv-miR-K12-7-3p,0.0,9921,124,124,-1178,-1178
ENST00000670045.1,hsv1-miR-H14-5p,0.0,9922,16,16,-1618,-1618
ENST00000415896.1,kshv-miR-K12-9-3p,0.0,9923,122,122,-1753,-1753
ENST00000662209.1,ebv-miR-BART18-5p,0.0,9924,100,100,-1131,-1131
ENST00000612430.3,hsv1-miR-H1-3p,0.0,9925,22,22,-605,-605
ENST00000662972.1,hsv1-miR-H14-5p,0.0,9926,16,16,-1399,-1399
ENST00000671586.1,ebv-miR-BART14-5p,0.0,9927,94,94,-855,-855
ENST00000599146.5,hbv-miR-B8-5p,0.0,9928,149,149,-866,-866
ENST00000660113.1,ebv-miR-BART2-5p,0.0,9929,77,77,-1879,-1879
ENST00000457881.5,hcmv-miR-US25-2-5p,0.0,9930,55,55,-1245,-1245
ENST00000655745.1,hsv2-miR-H10,0.0,9931,33,33,-1654,-1654
ENST00000609786.5,hcmv-miR-UL22A-5p,0.0,9932,48,48,-1702,-1702
ENST00000507044.1,ebv-miR-BART14-5p,0.0,9933,94,94,-1152,-1152
ENST00000557946.1,kshv-miR-K12-5-3p,0.0,9934,127,127,-47,-47
ENST00000452431.5,ebv-miR-BART14-5p,0.0,9935,94,94,-612,-612
ENST00000457339.5,hcmv-miR-UL112-5p,0.0,9936,63,63,-1466,-1466
ENST00000657167.1,ebv-miR-BART3-3p,0.0,9937,80,80,-1764,-1764
ENST00000629484.1,kshv-miR-K12-4-3p,0.0,9938,129,129,-387,-387
ENST00000659725.1,hcmv-miR-US4-5p,0.0,9939,58,58,-738,-738
ENST00000609009.6,ebv-miR-BART8-3p,0.0,9940,87,87,-295,-295
ENST00000659531.1,hsv1-miR-H7-5p,0.0,9941,9,9,-645,-645
ENST00000451786.5,mcpv-miR-P1-5p,0.0,9942,160,160,-525,-525
ENST00000481400.5,hsv2-miR-H20,0.0,9943,37,37,-150,-150
ENST00000669762.1,hcmv-miR-UL59,0.0,9944,70,70,-1705,-1705
ENST00000461448.6,ebv-miR-BART2-5p,0.0,9945,77,77,-123,-123
ENST00000667674.1,hbv-miR-B19-5p,0.0,9946,151,151,-853,-853
ENST00000669976.1,hsv2-miR-H5,0.0,9947,45,45,-1226,-1226
ENST00000658538.1,hsv2-miR-H25,0.0,9948,42,42,-1480,-1480
ENST00000583400.7,ebv-miR-BART13-5p,0.0,9949,108,108,-822,-822
ENST00000647456.1,hsv2-miR-H23-5p,0.0,9950,39,39,-43,-43
ENST00000662209.1,hsv1-miR-H8-3p,0.0,9951,12,12,-1131,-1131
ENST00000655418.1,hsv2-miR-H3,0.0,9952,27,27,-501,-501
ENST00000658708.1,hsv1-miR-H14-5p,0.0,9953,16,16,-1619,-1619
ENST00000596573.5,hsv2-miR-H9-5p,0.0,9954,44,44,-664,-664
ENST00000436101.1,hbv-miR-B26-5p,0.0,9955,153,153,-1289,-1289
ENST00000496717.1,ebv-miR-BART4-3p,0.0,9956,111,111,-1813,-1813
ENST00000453135.2,hcmv-miR-US22-3p,0.0,9957,67,67,-389,-389
ENST00000655881.1,ebv-miR-BART20-5p,0.0,9958,102,102,-759,-759
ENST00000662113.1,hbv-miR-B14RC-3p,0.0,9959,154,154,-1710,-1710
ENST00000668152.1,hcmv-miR-US25-2-5p,0.0,9960,55,55,-1526,-1526
ENST00000653458.1,ebv-miR-BART5-5p,0.0,9961,82,82,-203,-203
ENST00000525436.1,ebv-miR-BART2-5p,0.0,9962,77,77,-1019,-1019
ENST00000655847.1,hsv2-miR-H23-3p,0.0,9963,40,40,-729,-729
ENST00000628232.2,hsv2-miR-H7-5p,0.0,9964,31,31,-1441,-1441
ENST00000431189.1,hcmv-miR-UL69,0.0,9965,71,71,-534,-534
ENST00000419680.6,ebv-miR-BART8-5p,0.0,9966,86,86,-1169,-1169
ENST00000661418.1,hbv-miR-B4,0.0,9967,142,142,-1595,-1595
ENST00000656642.1,hcmv-miR-US29-3p,0.0,9968,69,69,-1547,-1547
ENST00000657239.1,ebv-miR-BART6-5p,0.0,9969,83,83,-1641,-1641
ENST00000633706.1,kshv-miR-K12-10b,0.0,9970,117,117,-1143,-1143
ENST00000667760.1,ebv-miR-BHRF1-1,0.0,9971,72,72,-1219,-1219
ENST00000586552.5,hsv1-miR-H14-5p,0.0,9972,16,16,-1246,-1246
ENST00000667011.1,hsv1-miR-H7-3p,0.0,9973,10,10,-1573,-1573
ENST00000423033.1,hsv1-miR-H5-3p,0.0,9974,7,7,-1784,-1784
ENST00000665322.1,hsv1-miR-H3-3p,0.0,9975,4,4,-199,-199
ENST00000622324.4,hcmv-miR-US29-5p,0.0,9976,68,68,-363,-363
ENST00000658751.1,ebv-miR-BART18-3p,0.0,9977,109,109,-1882,-1882
ENST00000423846.5,hcmv-miR-UL112-5p,0.0,9978,63,63,-1175,-1175
ENST00000650910.1,hsv1-miR-H11,0.0,9979,13,13,-946,-946
ENST00000498308.1,hcmv-miR-UL36-3p,0.0,9980,61,61,-518,-518
ENST00000420309.6,hsv1-miR-H4-5p,0.0,9981,5,5,-592,-592
ENST00000555275.5,hcmv-miR-US25-1-5p,0.0,9982,54,54,-507,-507
ENST00000657060.1,hsv2-miR-H20,0.0,9983,37,37,-1570,-1570
