ViRBase ID	Virus Name	Virus Strain Name	Taxonomy ID	Virus Family	Host Species	Interactor1 Source	Interactor1 Category	Interactor1 Symbol	Interactor1 ID	Interactor2 Source	Interactor2 Category	Interactor2 Symbol	Interactor2 ID	PMID	Score
HHID00000016	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_008317	XLOC_008317	host	mRNA	IFIT1	100153038	31682919	0.4752
HHID00000017	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_008317	XLOC_008317	host	mRNA	IFIT3	100154248	31682919	0.4752
HHID00000018	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_008317	XLOC_008317	host	mRNA	ITIT5	ITIT5	31682919	0.4752
HHID00000019	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_041472	XLOC_041472	host	mRNA	RSAD2	396752	31682919	0.4752
HHID00000020	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_041472	XLOC_041472	host	mRNA	MX1	397128	31682919	0.4752
HHID00000021	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_041472	XLOC_041472	host	mRNA	ISG15	100145895	31682919	0.4752
HHID00000022	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_041472	XLOC_041472	host	mRNA	GBP1	100151938	31682919	0.4752
HHID00000023	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_041472	XLOC_041472	host	mRNA	IFIT1	100153038	31682919	0.4752
HHID00000024	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_041472	XLOC_041472	host	mRNA	IFIT3	100154248	31682919	0.4752
HHID00000025	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_041472	XLOC_041472	host	mRNA	ITIT5	ITIT5	31682919	0.4752
HHID00000459	Bombyx mori nucleopolyhedrovirus (BmNPV)	Bombyx mori nucleopolyhedrovirus (BmNPV)	271108	Baculoviridae	Bombyx mori	host	miRNA	bmo-miR-278-3p	MIMAT0009164	host	lncRNA	LNC_001457	LNC_001457	33022580	0.8847
HHID00000460	Bombyx mori nucleopolyhedrovirus (BmNPV)	Bombyx mori nucleopolyhedrovirus (BmNPV)	271108	Baculoviridae	Bombyx mori	host	miRNA	bmo-miR-278-3p	MIMAT0009164	host	lncRNA	LNC_002208	LNC_002208	33022580	0.8847
HHID00000461	Bombyx mori nucleopolyhedrovirus (BmNPV)	Bombyx mori nucleopolyhedrovirus (BmNPV)	271108	Baculoviridae	Bombyx mori	host	miRNA	bmo-miR-278-3p	MIMAT0009164	host	lncRNA	LNC_002215	LNC_002215	33022580	0.8847
HHID00000462	Bombyx mori nucleopolyhedrovirus (BmNPV)	Bombyx mori nucleopolyhedrovirus (BmNPV)	271108	Baculoviridae	Bombyx mori	host	miRNA	bmo-miR-278-3p	MIMAT0009164	host	lncRNA	LNC_004587	LNC_004587	33022580	0.8847
HHID00000463	Bombyx mori nucleopolyhedrovirus (BmNPV)	Bombyx mori nucleopolyhedrovirus (BmNPV)	271108	Baculoviridae	Bombyx mori	host	miRNA	bmo-miR-278-3p	MIMAT0009164	host	lncRNA	LNC_005649	LNC_005649	33022580	0.8847
HHID00000464	Bombyx mori nucleopolyhedrovirus (BmNPV)	Bombyx mori nucleopolyhedrovirus (BmNPV)	271108	Baculoviridae	Bombyx mori	host	miRNA	bmo-miR-278-3p	MIMAT0009164	host	lncRNA	LNC_005654	LNC_005654	33022580	0.8847
HHID00000516	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107051710	107051710	host	mRNA	EIF2AK2	395147	31865850	0.8589
HHID00000517	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107051710	107051710	host	mRNA	MX1	395313	31865850	0.8589
HHID00000518	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107051710	107051710	host	mRNA	OASL	395908	31865850	0.8589
HHID00000519	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107051710	107051710	host	mRNA	IRF8	396385	31865850	0.8589
HHID00000520	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107051710	107051710	host	mRNA	IFNA3	396398	31865850	0.9374
HHID00000521	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107051710	107051710	host	mRNA	STAT1	424044	31865850	0.8589
HHID00000522	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107051710	107051710	host	mRNA	IFNW1	554219	31865850	0.9374
HHID00000523	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107051710	107051710	host	mRNA	STAT2	100858732	31865850	0.8589
HHID00000524	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053352	107053352	host	mRNA	TRIM25	417401	33076825	0.5711
HHID00000525	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053352	107053352	host	mRNA	STAT3	420027	33076825	0.5711
HHID00000526	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053352	107053352	host	mRNA	STAT1	424044	33076825	0.5711
HHID00000527	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053352	107053352	host	mRNA	IFIH1	424185	33076825	0.5711
HHID00000528	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053352	107053352	host	mRNA	STAT4	768406	33076825	0.5711
HHID00000529	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053557	107053557	host	mRNA	TRIM25	417401	33076825	0.5711
HHID00000530	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053557	107053557	host	mRNA	STAT3	420027	33076825	0.5711
HHID00000531	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053557	107053557	host	mRNA	STAT1	424044	33076825	0.5711
HHID00000532	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053557	107053557	host	mRNA	IFIH1	424185	33076825	0.5711
HHID00000533	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053557	107053557	host	mRNA	STAT4	768406	33076825	0.5711
HHID00000534	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053928	107053928	host	mRNA	TRIM25	417401	33076825	0.5711
HHID00000535	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053928	107053928	host	mRNA	STAT3	420027	33076825	0.5711
HHID00000536	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053928	107053928	host	mRNA	STAT1	424044	33076825	0.5711
HHID00000537	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053928	107053928	host	mRNA	IFIH1	424185	33076825	0.5711
HHID00000538	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107053928	107053928	host	mRNA	STAT4	768406	33076825	0.5711
HHID00000539	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107054815	107054815	host	mRNA	TRIM25	417401	33076825	0.5711
HHID00000540	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107054815	107054815	host	mRNA	STAT3	420027	33076825	0.5711
HHID00000541	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107054815	107054815	host	mRNA	STAT1	424044	33076825	0.5711
HHID00000542	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107054815	107054815	host	mRNA	IFIH1	424185	33076825	0.5711
HHID00000543	Infectious bursal disease virus (IBDV)	Infectious bursal disease virus (IBDV)	10995	Birnaviridae	Gallus gallus	host	lncRNA	LOC107054815	107054815	host	mRNA	STAT4	768406	33076825	0.5711
HHID00000874	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-23a-3p	MIMAT0000078	host	lncRNA	LINC02872	401535	31570108	0.5711
HHID00001241	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-29a-3p	MIMAT0000086	host	lncRNA	SFTA3	253970	31570108	0.5711
HHID00001242	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-29a-3p	MIMAT0000086	host	lncRNA	TMEM256-PLSCR3	100529211	31570108	0.5711
HHID00002115	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-32-5p	MIMAT0000090	host	lncRNA	LINC01560	203414	31570108	0.5711
HHID00002617	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-33a-5p	MIMAT0000091	host	lncRNA	KIAA0087	9808	31570108	0.5908
HHID00002618	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-33a-5p	MIMAT0000091	host	lncRNA	C8orf86	389649	31570108	0.5711
HHID00003380	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-7-5p	MIMAT0000252	host	lncRNA	GRIK1-AS2	100379661	31570108	0.5711
HHID00003381	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-7-5p	MIMAT0000252	host	lncRNA	ARHGAP19-SLIT1	100533184	31570108	0.5908
HHID00003382	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-7-5p	MIMAT0000252	host	lncRNA	CDR1-AS	103611090	31570108	0.5711
HHID00003958	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-190a-5p	MIMAT0000458	host	lncRNA	LINC01553	283025	31570108	0.5711
HHID00003959	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-190a-5p	MIMAT0000458	host	lncRNA	C5orf64	285668	31570108	0.5711
HHID00003960	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-190a-5p	MIMAT0000458	host	lncRNA	ST7-OT4	338069	31570108	0.5711
HHID00003961	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-190a-5p	MIMAT0000458	host	lncRNA	FAM182B	728882	31570108	0.5711
HHID00005545	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-519e-3p	MIMAT0002829	host	lncRNA	ZNF22-AS1	220979	31570108	0.5711
HHID00005546	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-519e-3p	MIMAT0002829	host	lncRNA	LINC02693	339263	31570108	0.5711
HHID00005547	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-519e-3p	MIMAT0002829	host	lncRNA	LINC01551	387978	31570108	0.5711
HHID00005548	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-519e-3p	MIMAT0002829	host	lncRNA	COLCA1	399948	31570108	0.5711
HHID00005549	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-519e-3p	MIMAT0002829	host	lncRNA	LINC02915	400360	31570108	0.5711
HHID00005550	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-519e-3p	MIMAT0002829	host	lncRNA	TMEM132E-DT	400591	31570108	0.5711
HHID00005551	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-519e-3p	MIMAT0002829	host	lncRNA	LINC02902	401335	31570108	0.5711
HHID00005552	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-519e-3p	MIMAT0002829	host	lncRNA	CLLU1	574028	31570108	0.5711
HHID00006527	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19a-5p	MIMAT0004490	host	lncRNA	LINC01558	26238	31570108	0.5711
HHID00006528	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19a-5p	MIMAT0004490	host	lncRNA	RPP38-DT	221060	31570108	0.5711
HHID00006529	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19a-5p	MIMAT0004490	host	lncRNA	ZNF561-AS1	284385	31570108	0.5711
HHID00006530	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19a-5p	MIMAT0004490	host	lncRNA	LINC00632	286411	31570108	0.5711
HHID00006531	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19a-5p	MIMAT0004490	host	lncRNA	LINC00999	399744	31570108	0.5711
HHID00006532	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19a-5p	MIMAT0004490	host	lncRNA	LINC02872	401535	31570108	0.5711
HHID00007273	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19b-1-5p	MIMAT0004491	host	lncRNA	DLEU1	10301	31570108	0.5711
HHID00007274	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19b-1-5p	MIMAT0004491	host	lncRNA	PKD1L1-AS1	80099	31570108	0.5711
HHID00007275	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19b-1-5p	MIMAT0004491	host	lncRNA	FAM218A	152756	31570108	0.5711
HHID00007276	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19b-1-5p	MIMAT0004491	host	lncRNA	LINC01619	256021	31570108	0.5711
HHID00007799	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-19b-2-5p	MIMAT0004492	host	lncRNA	DIP2C-AS1	414235	31570108	0.5711
HHID00007937	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	KIAA0087	9808	31570108	0.5711
HHID00007938	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	LINC01587	10141	31570108	0.5711
HHID00007939	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	HHLA3	11147	31570108	0.5711
HHID00007940	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	LINC01560	203414	31570108	0.5711
HHID00007941	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	C10orf126	283080	31570108	0.5711
HHID00007942	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	LINC01465	283416	31570108	0.5711
HHID00007943	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	C5orf64	285668	31570108	0.5711
HHID00007944	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	LINC00999	399744	31570108	0.5908
HHID00007945	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	COLCA1	399948	31570108	0.5711
HHID00007946	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	TYMSOS	494514	31570108	0.5711
HHID00007947	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-100-3p	MIMAT0004512	host	lncRNA	CTC-241N9.1	CTC-241N9.1	31570108	0.5711
HHID00008954	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-101-5p	MIMAT0004513	host	lncRNA	B3GALT5-AS1	114041	31570108	0.5711
HHID00008955	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-101-5p	MIMAT0004513	host	lncRNA	LINC01619	256021	31570108	0.5711
HHID00008956	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-101-5p	MIMAT0004513	host	lncRNA	LINC02904	286122	31570108	0.5908
HHID00008957	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-101-5p	MIMAT0004513	host	lncRNA	MIRLET7BHG	400931	31570108	0.5711
HHID00008958	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-101-5p	MIMAT0004513	host	lncRNA	LINC02872	401535	31570108	0.5711
HHID00008959	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-101-5p	MIMAT0004513	host	lncRNA	SLC25A21-AS1	100129794	31570108	0.5711
HHID00008960	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-101-5p	MIMAT0004513	host	lncRNA	AC007952.5	AC007952.5	31570108	0.5711
HHID00009763	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	EPB41L4A-DT	54508	31570108	0.5711
HHID00009764	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	TSPEAR-AS2	114043	31570108	0.5711
HHID00009765	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	FAM218A	152756	31570108	0.5711
HHID00009766	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	ZNF22-AS1	220979	31570108	0.5711
HHID00009767	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	C6orf223	221416	31570108	0.5711
HHID00009768	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	HCG27	253018	31570108	0.5711
HHID00009769	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	TMEM105	284186	31570108	0.5711
HHID00009770	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	ZNF561-AS1	284385	31570108	0.5711
HHID00009771	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	C5orf64	285668	31570108	0.5711
HHID00009772	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	LINC02693	339263	31570108	0.5711
HHID00009773	Zaire ebolavirus (ZEBOV)	Zaire ebolavirus (ZEBOV)	186538	Filoviridae	Homo sapiens	host	miRNA	hsa-miR-27b-5p	MIMAT0004588	host	lncRNA	LINC01551	387978	31570108	0.5711
