,mirna,lncrna,Label,mirna_id,lncrna_id,pair_id
37,hbv-miR-B3RC-5p,ENST00000358748.1,0.0,146,-1774,10652
38,hsv1-miR-H16,ENST00000413472.5,1.0,19,-246,7085
39,hsv1-miR-H3-3p,ENST00000657015.1,1.0,4,-106,3730
40,ebv-miR-BART13-3p,ENST00000661714.1,0.0,93,-1795,17184
41,hiv1-miR-N367,ENST00000653894.1,0.0,162,-1318,18844
42,ebv-miR-BART18-5p,ENST00000424748.1,0.0,100,-678,9836
43,kshv-miR-K12-8-3p,ENST00000408887.3,1.0,123,-65,1458
44,kshv-miR-K12-11-5p,ENST00000426261.6,1.0,134,-100,3256
45,hsv1-miR-H17,ENST00000576702.5,0.0,20,-1496,16902
46,hsv2-miR-H13,ENST00000667421.1,0.0,36,-754,17304
47,hsv2-miR-H25,ENST00000475953.5,0.0,42,-833,10499
48,kshv-miR-K12-5-5p,ENST00000670469.1,0.0,139,-704,19151
49,kshv-miR-K12-12-5p,ENST00000489877.5,0.0,132,-18,17190
50,hcmv-miR-US22-5p,ENST00000667136.1,1.0,66,-108,3939
51,hsv1-miR-H8-5p,ENST00000375642.6,1.0,11,-185,5784
52,hbv-miR-B2RC,ENST00000356020.2,1.0,141,-81,2209
53,hcmv-miR-US25-1-5p,ENST00000667760.1,1.0,54,-1219,8984
54,ebv-miR-BART22,ENST00000659373.1,1.0,115,-802,8434
55,kshv-miR-K12-10a-5p,ENST00000649041.1,1.0,133,-95,2800
56,hcmv-miR-US25-1-5p,ENST00000655034.1,1.0,54,-1394,9159
57,kshv-miR-K12-7-3p,ENST00000535846.1,1.0,124,-102,3434
58,hbv-miR-B14RC-3p,ENST00000496793.2,1.0,154,-170,5545
59,hsv1-miR-H1-5p,ENST00000668954.1,0.0,1,-1392,19224
60,hsv1-miR-H12,ENST00000479420.5,0.0,14,-935,13458
61,hcmv-miR-US25-1-5p,ENST00000589300.1,1.0,54,-1247,9012
62,hcmv-miR-UL148D,ENST00000495000.1,1.0,51,-23,292
63,hcmv-miR-US25-1-5p,ENST00000491341.5,1.0,54,-922,8687
64,kshv-miR-K12-12-5p,ENST00000472136.5,0.0,132,-942,14911
65,ebv-miR-BART7-3p,ENST00000657015.1,1.0,85,-106,3768
66,hsv1-miR-H2-5p,ENST00000667136.1,0.0,2,-108,13525
67,hcmv-miR-US25-1-5p,ENST00000355358.1,1.0,54,-1656,9421
68,ebv-miR-BART3-3p,ENST00000631010.1,0.0,80,-375,12009
69,hcmv-miR-US4-3p,ENST00000608067.6,0.0,65,-355,16186
70,hsv1-miR-H3-3p,ENST00000657777.1,0.0,4,-1648,16930
71,hbv-miR-B22-3p,ENST00000645994.1,1.0,155,-49,1124
72,hbv-miR-B20-5p,ENST00000623052.1,1.0,143,-163,5370
73,hcmv-miR-US29-5p,ENST00000471156.5,1.0,68,-5,61
74,kshv-miR-K12-1-5p,ENST00000554309.1,1.0,119,-517,8038
75,ebv-miR-BART2-5p,ENST00000461448.6,0.0,77,-123,15748
76,kshv-miR-K12-9-3p,ENST00000521889.5,1.0,122,-31,452
77,kshv-miR-K12-11-5p,ENST00000614528.3,1.0,134,-448,7812
78,hsv2-miR-H7-5p,ENST00000661785.1,1.0,31,-103,3469
79,ebv-miR-BART18-5p,ENST00000658584.1,0.0,100,-745,12937
80,hsv2-miR-H7-5p,ENST00000414904.1,0.0,31,-307,11186
81,hbv-miR-B14RC-3p,ENST00000515342.4,1.0,154,-298,7224
82,hcmv-miR-US25-1-5p,ENST00000660794.1,1.0,54,-1613,9378
83,bkv-miR-B1-5p,ENST00000666506.1,1.0,156,-190,5927
84,kshv-miR-K12-9-3p,ENST00000612390.4,1.0,122,-57,1283
85,hbv-miR-B19-5p,ENST00000371417.3,1.0,151,-169,5521
86,ebv-miR-BART12,ENST00000623100.2,1.0,92,-115,4567
87,hcmv-miR-UL70-3p,ENST00000635398.1,1.0,60,-469,7849
88,ebv-miR-BART16,ENST00000538604.1,1.0,97,-98,3051
89,hsv1-miR-H16,ENST00000420168.2,1.0,19,-253,7112
90,hsv1-miR-H5-3p,ENST00000668489.1,0.0,7,-1737,13756
91,hcmv-miR-US5-1,ENST00000654263.1,1.0,52,-107,3844
92,hbv-miR-B20-5p,ENST00000674760.1,1.0,143,-68,1636
93,hsv2-miR-H22,ENST00000674683.1,1.0,38,-73,1885
94,hcmv-miR-US25-1-5p,ENST00000657841.1,1.0,54,-910,8675
95,hsv1-miR-H15,ENST00000461286.4,0.0,18,-958,13883
96,hsv2-miR-H20,ENST00000296270.1,0.0,37,-1812,12225
97,bkv-miR-B1-3p,ENST00000654228.1,0.0,157,-157,18892
98,hsv1-miR-H1-3p,ENST00000336600.6,1.0,22,-85,2405
99,ebv-miR-BART14-5p,ENST00000623349.3,0.0,94,-495,16877
100,hsv1-miR-H8-3p,ENST00000670036.1,0.0,12,-595,14004
101,hbv-miR-B14RC-3p,ENST00000658000.1,1.0,154,-76,2091
102,ebv-miR-BART5-5p,ENST00000454482.2,0.0,82,-1304,17889
103,hsv1-miR-H12,ENST00000629374.2,0.0,14,-613,10925
104,kshv-miR-K12-12-5p,ENST00000647996.1,1.0,132,-398,7583
105,hsv1-miR-H5-5p,ENST00000659749.1,1.0,24,-114,4467
106,hcmv-miR-US25-1-5p,ENST00000534336.1,1.0,54,-1530,9295
107,hbv-miR-B20-3p,ENST00000658416.1,1.0,144,-198,6272
108,hsv2-miR-H23-5p,ENST00000535846.1,1.0,39,-102,3383
109,kshv-miR-K12-7-3p,ENST00000451424.1,0.0,124,-391,19051
110,ebv-miR-BART9-3p,ENST00000663530.1,1.0,88,-112,4317
111,ebv-miR-BART10-5p,ENST00000556434.5,1.0,107,-206,6441
112,hcmv-miR-US25-1-5p,ENST00000664715.1,1.0,54,-1685,9450
113,hsv2-miR-H20,ENST00000596573.5,0.0,37,-664,19297
114,jcv-miR-J1-3p,ENST00000661703.1,0.0,159,-630,18541
115,ebv-miR-BART19-3p,ENST00000658000.1,1.0,101,-76,2075
116,ebv-miR-BART12,ENST00000666465.1,0.0,92,-1629,15744
117,ebv-miR-BART18-3p,ENST00000501173.6,1.0,109,-683,8233
118,ebv-miR-BHRF1-2-3p,ENST00000668061.1,0.0,74,-197,12304
119,kshv-miR-K12-10a-3p,ENST00000491317.1,0.0,116,-1266,9820
120,ebv-miR-BART3-5p,ENST00000647456.1,1.0,79,-43,819
121,hbv-miR-B14RC-3p,ENST00000676093.1,1.0,154,-69,1698
122,hsv1-miR-H11,ENST00000375635.6,1.0,13,-182,5767
123,hcmv-miR-US5-2-3p,ENST00000625168.1,1.0,53,-134,4794
124,ebv-miR-BART18-3p,ENST00000482032.1,1.0,109,-447,7800
125,ebv-miR-BART2-5p,ENST00000602892.5,0.0,77,-1553,14793
126,hbv-miR-B3RC-5p,ENST00000356020.2,0.0,146,-81,16730
127,ebv-miR-BART11-5p,ENST00000623673.1,1.0,90,-133,4760
128,hsv1-miR-H8-3p,ENST00000576606.5,0.0,12,-1817,12173
129,hcmv-miR-US25-1-5p,ENST00000660397.1,1.0,54,-1406,9171
130,hcmv-miR-UL112-5p,ENST00000642872.1,0.0,63,-1187,10486
131,ebv-miR-BART20-3p,ENST00000628201.2,0.0,103,-571,15373
132,hsv2-miR-H5,ENST00000486671.1,0.0,45,-997,12701
133,ebv-miR-BART20-5p,ENST00000667777.1,0.0,102,-1594,11320
134,hsv1-miR-H4-5p,ENST00000415584.7,1.0,5,-160,5314
135,hcmv-miR-UL59,ENST00000674922.1,1.0,70,-72,1837
136,ebv-miR-BART21-3p,ENST00000641009.1,0.0,114,-230,14214
137,hbv-miR-B2RC,ENST00000475913.5,0.0,141,-926,18874
138,hcmv-miR-US25-1-5p,ENST00000477984.1,1.0,54,-1716,9481
139,ebv-miR-BART22,ENST00000555707.5,0.0,115,-509,18833
140,ebv-miR-BART10-3p,ENST00000397835.4,0.0,89,-64,10454
141,hsv1-miR-H6-3p,ENST00000643127.1,1.0,8,-48,1037
142,hsv1-miR-H1-3p,ENST00000524210.2,0.0,22,-1797,17310
143,hbv-miR-B7-5p,ENST00000669536.1,1.0,148,-194,6100
144,ebv-miR-BART22,ENST00000667294.1,1.0,115,-806,8442
145,ebv-miR-BART22,ENST00000664328.1,1.0,115,-813,8456
146,ebv-miR-BART9-3p,ENST00000538604.1,1.0,88,-98,3043
147,ebv-miR-BART2-3p,ENST00000662797.1,0.0,104,-154,16662
148,ebv-miR-BART22,ENST00000435523.5,1.0,115,-533,8076
149,kshv-miR-K12-8-5p,ENST00000650606.1,1.0,137,-86,2524
150,kshv-miR-K12-3-5p,ENST00000537157.5,0.0,130,-1509,13317
151,hcmv-miR-US25-1-5p,ENST00000651506.1,1.0,54,-1727,9492
152,hbv-miR-B8-5p,ENST00000610197.1,0.0,149,-310,11335
153,hcmv-miR-UL70-3p,ENST00000462458.5,1.0,60,-10,125
154,ebv-miR-BART10-3p,ENST00000662452.1,0.0,89,-351,18120
155,hcmv-miR-US4-3p,ENST00000482932.5,0.0,65,-16,13700
156,hcmv-miR-US33-5p,ENST00000420168.2,0.0,57,-253,18254
157,hsv2-miR-H13,ENST00000557142.6,0.0,36,-216,17667
158,ebv-miR-BART20-3p,ENST00000416999.1,0.0,103,-536,16315
159,hcmv-miR-UL22A-3p,ENST00000667136.1,1.0,49,-108,3934
160,hcmv-miR-UL70-5p,ENST00000612876.4,0.0,59,-621,13443
161,ebv-miR-BART2-5p,ENST00000416017.1,0.0,77,-58,18705
162,hsv1-miR-H7-5p,ENST00000657911.1,0.0,9,-1212,11390
163,ebv-miR-BART11-5p,ENST00000659105.1,0.0,90,-1563,12496
164,ebv-miR-BART14-3p,ENST00000445118.7,0.0,95,-286,11514
165,hbv-miR-B2-3p,ENST00000416572.1,0.0,145,-1482,14565
166,hsv2-miR-H2,ENST00000499346.7,0.0,30,-681,10225
167,hiv1-miR-TAR-3p,ENST00000661785.1,1.0,165,-103,3546
168,hsv1-miR-H16,ENST00000663530.1,1.0,19,-112,4282
169,kshv-miR-K12-7-3p,ENST00000332012.5,0.0,124,-1345,11083
170,hcmv-miR-US5-2-3p,ENST00000545440.5,0.0,53,-724,13154
171,ebv-miR-BART12,ENST00000653811.1,1.0,92,-646,8193
172,hsv1-miR-H13,ENST00000665960.1,0.0,15,-259,16646
173,hsv2-miR-H2,ENST00000676338.1,0.0,30,-74,16047
174,ebv-miR-BART6-3p,ENST00000336600.6,1.0,84,-85,2434
175,ebv-miR-BART8-3p,ENST00000568310.1,1.0,87,-165,5459
176,ebv-miR-BART6-5p,ENST00000628659.2,0.0,83,-552,10224
177,hsv2-miR-H2,ENST00000407797.6,1.0,30,-140,5054
178,hsv2-miR-H6-3p,ENST00000671646.1,1.0,47,-110,4115
179,hsv1-miR-H3-3p,ENST00000476966.5,1.0,4,-19,235
180,hbv-miR-B2RC,ENST00000667869.1,0.0,141,-1592,12110
181,hsv1-miR-H14-5p,ENST00000553463.1,1.0,16,-218,6692
182,kshv-miR-K12-8-3p,ENST00000556002.5,1.0,123,-506,7919
183,hsv1-miR-H14-3p,ENST00000409178.5,1.0,17,-51,1185
184,hcmv-miR-US25-1-5p,ENST00000634806.1,1.0,54,-1239,9004
185,hsv1-miR-H8-5p,ENST00000649108.1,1.0,11,-34,532
186,ebv-miR-BART15,ENST00000336600.6,1.0,96,-85,2438
187,hcmv-miR-US25-1-5p,ENST00000507869.6,1.0,54,-1146,8911
188,hcmv-miR-UL22A-3p,ENST00000661785.1,1.0,49,-103,3479
189,ebv-miR-BART11-3p,ENST00000662223.1,0.0,91,-1274,13473
190,hsv2-miR-H23-3p,ENST00000589406.1,1.0,40,-116,4591
191,hsv2-miR-H5,ENST00000566432.1,1.0,45,-234,6845
192,ebv-miR-BART16,ENST00000666762.1,1.0,97,-38,624
193,hbv-miR-B14RC-3p,ENST00000643648.1,1.0,154,-42,794
194,ebv-miR-BART7-5p,ENST00000671280.1,0.0,105,-1636,17692
195,bkv-miR-B1-5p,ENST00000665504.1,0.0,156,-1557,14764
196,hcmv-miR-US5-1,ENST00000560255.2,0.0,52,-1339,17844
197,hsv1-miR-H5-5p,ENST00000463058.5,1.0,24,-79,2138
198,hsv1-miR-H8-3p,ENST00000662209.1,0.0,12,-1131,9951
199,hbv-miR-B2-3p,ENST00000648149.1,1.0,145,-41,741
200,hsv1-miR-H6-5p,ENST00000425033.1,0.0,25,-1857,18845
201,kshv-miR-K12-11-5p,ENST00000669338.1,0.0,134,-1224,15284
202,hsv1-miR-H17,ENST00000400581.2,0.0,20,-1066,17177
203,hcmv-miR-US25-1-5p,ENST00000667581.1,1.0,54,-1398,9163
204,kshv-miR-K12-2-3p,ENST00000568310.1,1.0,136,-165,5482
205,hcmv-miR-US25-1-5p,ENST00000663541.1,1.0,54,-1314,9079
206,hsv2-miR-H11-3p,ENST00000670829.1,0.0,34,-1477,15181
207,hbv-miR-B2-3p,ENST00000375641.6,0.0,145,-181,16487
208,ebv-miR-BART8-5p,ENST00000630780.1,0.0,86,-773,9918
209,ebv-miR-BART9-3p,ENST00000576702.5,0.0,88,-1496,17869
210,hsv1-miR-H4-5p,ENST00000634464.2,0.0,5,-1878,16803
211,ebv-miR-BART18-3p,ENST00000657901.1,0.0,109,-1084,12435
212,hcmv-miR-US25-1-5p,ENST00000653129.1,1.0,54,-1628,9393
213,hbv-miR-B22-3p,ENST00000336600.6,1.0,155,-85,2467
214,hsv1-miR-H11,ENST00000449175.1,0.0,13,-1065,15954
215,hbv-miR-B2RC,ENST00000667581.1,0.0,141,-1398,17220
216,hcmv-miR-US25-1-5p,ENST00000649174.1,1.0,54,-1053,8818
217,hsv2-miR-H10,ENST00000440903.1,1.0,33,-176,5656
218,hcmv-miR-UL22A-3p,ENST00000662971.1,0.0,49,-1468,10672
219,hiv1-miR-TAR-3p,ENST00000535846.1,1.0,165,-102,3455
220,hcmv-miR-US25-1-5p,ENST00000465501.5,1.0,54,-998,8763
221,ebv-miR-BART21-5p,ENST00000659961.1,0.0,113,-258,11119
222,ebv-miR-BART2-3p,ENST00000634962.1,0.0,104,-488,18473
223,hcmv-miR-US25-1-5p,ENST00000586395.2,1.0,54,-1299,9064
224,hsv2-miR-H13,ENST00000675285.1,0.0,36,-75,14000
225,ebv-miR-BART5-5p,ENST00000675704.1,1.0,82,-67,1557
226,hcmv-miR-US22-3p,ENST00000503940.5,1.0,67,-62,1362
227,ebv-miR-BART21-3p,ENST00000628667.2,0.0,114,-581,13596
228,hcmv-miR-US25-1-5p,ENST00000438894.1,1.0,54,-1483,9248
229,hcmv-miR-UL148D,ENST00000368242.7,1.0,51,-3,32
230,hsv2-miR-H9-3p,ENST00000669083.1,0.0,32,-1215,15177
231,mcpv-miR-P1-5p,ENST00000649111.1,1.0,160,-40,705
232,hsv1-miR-H5-3p,ENST00000435452.6,0.0,7,-1745,12848
233,hcmv-miR-US5-1,ENST00000654712.1,0.0,52,-1864,18817
234,hsv2-miR-H23-5p,ENST00000644125.1,0.0,39,-1166,10625
235,ebv-miR-BART16,ENST00000589406.1,1.0,97,-116,4610
236,hsv1-miR-H8-5p,ENST00000664673.1,0.0,11,-480,13222
237,ebv-miR-BART9-3p,ENST00000585273.5,0.0,88,-1302,10410
238,ebv-miR-BART21-3p,ENST00000374016.5,1.0,114,-400,7607
239,hsv1-miR-H2-3p,ENST00000490765.4,0.0,3,-232,17710
240,hcmv-miR-UL22A-5p,ENST00000375635.6,0.0,48,-182,17756
241,ebv-miR-BART2-3p,ENST00000569465.1,0.0,104,-1844,12614
242,hcmv-miR-UL36-3p,ENST00000647872.1,1.0,61,-99,3117
243,hbv-miR-B14RC-3p,ENST00000612373.4,0.0,154,-1461,15146
244,hiv1-miR-TAR-3p,ENST00000627648.2,0.0,165,-380,16552
245,mcpv-miR-P1-3p,ENST00000677785.1,0.0,161,-907,17949
246,kshv-miR-K12-10a-3p,ENST00000655540.1,1.0,116,-830,8511
247,ebv-miR-BHRF1-1,ENST00000669716.1,0.0,72,-1083,13645
248,ebv-miR-BART16,ENST00000442839.5,1.0,97,-697,8260
249,hsv1-miR-H1-5p,ENST00000400991.6,1.0,1,-2,13
250,hbv-miR-B7-5p,ENST00000667197.1,1.0,148,-195,6144
251,kshv-miR-K12-7-3p,ENST00000671646.1,1.0,124,-110,4162
252,hcmv-miR-UL70-5p,ENST00000395788.3,0.0,59,-187,14216
253,hsv1-miR-H1-3p,ENST00000447507.1,0.0,22,-264,10093
254,hsv2-miR-H24,ENST00000653129.1,0.0,41,-1628,15735
255,hsv1-miR-H14-5p,ENST00000626865.2,0.0,16,-1448,12579
256,hsv2-miR-H5,ENST00000659749.1,1.0,45,-114,4478
257,hbv-miR-B20-3p,ENST00000660397.1,0.0,144,-1406,10222
258,kshv-miR-K12-5-5p,ENST00000626582.2,0.0,139,-1443,14879
259,hiv1-miR-TAR-5p,ENST00000660172.1,0.0,164,-1363,11885
260,ebv-miR-BART2-5p,ENST00000392630.7,1.0,77,-233,6835
261,hcmv-miR-US4-5p,ENST00000668889.1,0.0,58,-1627,16688
262,ebv-miR-BART1-3p,ENST00000664910.1,0.0,78,-1562,15128
263,ebv-miR-BART1-5p,ENST00000467438.1,0.0,76,-269,11091
264,bkv-miR-B1-3p,ENST00000630926.2,0.0,157,-870,13615
265,hsv2-miR-H5,ENST00000670385.1,0.0,45,-1835,18564
266,ebv-miR-BART8-3p,ENST00000671646.1,1.0,87,-110,4134
267,hcmv-miR-UL69,ENST00000649108.1,0.0,71,-34,17896
268,ebv-miR-BART7-3p,ENST00000514664.1,0.0,85,-89,16889
269,hsv1-miR-H2-3p,ENST00000675285.1,1.0,3,-75,1988
270,ebv-miR-BART21-3p,ENST00000663575.1,0.0,114,-1315,15719
271,hbv-miR-B14RC-3p,ENST00000648149.1,1.0,154,-41,744
272,kshv-miR-K12-10a-5p,ENST00000378485.1,0.0,133,-117,10743
273,ebv-miR-BART10-5p,ENST00000653606.1,0.0,107,-629,18379
274,hbv-miR-B21RC-5p,ENST00000525436.1,0.0,152,-1019,9652
275,hsv2-miR-H22,ENST00000660462.1,0.0,38,-837,16061
276,hcmv-miR-US25-1-5p,ENST00000661360.1,1.0,54,-762,8358
277,kshv-miR-K12-9-5p,ENST00000666004.1,1.0,121,-192,6001
278,hbv-miR-B20-3p,ENST00000556019.2,1.0,144,-221,6776
279,hcmv-miR-UL59,ENST00000674683.1,1.0,70,-73,1894
280,hsv1-miR-H1-5p,ENST00000660213.1,0.0,1,-1576,12121
281,ebv-miR-BART19-5p,ENST00000468381.2,1.0,110,-101,3335
282,hcmv-miR-US25-1-5p,ENST00000623565.3,1.0,54,-299,7230
283,hcmv-miR-US25-1-5p,ENST00000452514.6,1.0,54,-1049,8814
284,bkv-miR-B1-3p,ENST00000429892.5,0.0,157,-1508,17548
285,hbv-miR-B14RC-3p,ENST00000507461.2,1.0,154,-188,5838
286,kshv-miR-K12-9-5p,ENST00000392630.7,1.0,121,-233,6838
287,hbv-miR-B4,ENST00000475947.7,0.0,142,-820,12500
288,mcpv-miR-P1-3p,ENST00000375670.1,0.0,161,-1243,15095
289,hcmv-miR-UL22A-5p,ENST00000381363.4,0.0,48,-1007,14282
290,kshv-miR-K12-8-3p,ENST00000554360.5,1.0,123,-505,7908
291,ebv-miR-BART8-5p,ENST00000329684.7,0.0,86,-1103,13010
292,hbv-miR-B20-5p,ENST00000643127.1,0.0,143,-48,14352
293,hcmv-miR-US25-1-5p,ENST00000669431.1,1.0,54,-1151,8916
294,kshv-miR-K12-11-3p,ENST00000474630.6,0.0,118,-934,15071
295,hcmv-miR-UL70-3p,ENST00000368242.7,1.0,60,-3,34
296,hsv2-miR-H9-5p,ENST00000581913.5,0.0,44,-836,18107
297,kshv-miR-K12-7-3p,ENST00000654263.1,1.0,124,-107,3889
298,hsv1-miR-H2-3p,ENST00000511063.5,1.0,3,-91,2680
299,kshv-miR-K12-7-5p,ENST00000625584.1,0.0,138,-388,17063
300,kshv-miR-K12-10b,ENST00000643743.1,0.0,117,-1165,12001
301,ebv-miR-BART21-3p,ENST00000627050.2,0.0,114,-579,14504
302,ebv-miR-BART16,ENST00000669248.1,0.0,97,-1352,14634
303,kshv-miR-K12-7-5p,ENST00000588785.6,0.0,138,-239,15392
304,ebv-miR-BART9-3p,ENST00000658783.1,1.0,88,-105,3680
305,hsv1-miR-H4-3p,ENST00000667877.1,0.0,6,-330,15831
306,hcmv-miR-US29-5p,ENST00000356020.2,1.0,68,-81,2196
307,hsv1-miR-H8-3p,ENST00000661769.1,0.0,12,-155,13031
308,hsv2-miR-H6-3p,ENST00000628683.2,0.0,47,-877,15389
309,ebv-miR-BART21-3p,ENST00000667622.1,1.0,114,-769,8373
310,hcmv-miR-US25-1-5p,ENST00000655865.1,1.0,54,-1474,9239
311,hsv2-miR-H13,ENST00000478103.6,0.0,36,-838,10461
312,kshv-miR-K12-4-3p,ENST00000667573.1,0.0,129,-783,17575
313,hcmv-miR-US5-1,ENST00000418985.1,0.0,52,-698,18542
314,hsv2-miR-H23-5p,ENST00000526694.2,0.0,39,-161,15278
315,hsv1-miR-H16,ENST00000667152.1,0.0,19,-1544,13948
316,hsv1-miR-H15,ENST00000505776.1,0.0,18,-1807,12531
317,hcmv-miR-UL36-3p,ENST00000613944.3,0.0,61,-572,13807
318,hcmv-miR-US4-5p,ENST00000534336.1,0.0,58,-1530,15850
319,hsv2-miR-H22,ENST00000676338.1,1.0,38,-74,1942
320,hsv2-miR-H20,ENST00000371417.3,1.0,37,-169,5506
321,hbv-miR-B20-5p,ENST00000499346.7,0.0,143,-681,15912
322,hcmv-miR-US22-5p,ENST00000674922.1,1.0,66,-72,1836
323,hbv-miR-B20-3p,ENST00000657905.1,1.0,144,-109,4081
324,hsv2-miR-H3,ENST00000661844.1,0.0,27,-973,16820
325,hcmv-miR-US22-3p,ENST00000662075.1,0.0,67,-499,18464
326,hbv-miR-B20-5p,ENST00000451914.2,0.0,143,-440,19212
327,ebv-miR-BHRF1-3,ENST00000626344.2,0.0,75,-867,16163
328,kshv-miR-K12-10b,ENST00000441724.1,1.0,117,-842,8557
329,ebv-miR-BART16,ENST00000660408.1,1.0,97,-689,8244
330,kshv-miR-K12-12-3p,ENST00000628635.2,1.0,140,-875,8640
331,kshv-miR-K12-6-5p,ENST00000483588.2,1.0,125,-840,8552
332,jcv-miR-J1-3p,ENST00000409178.5,1.0,159,-51,1242
333,kshv-miR-K12-10b,ENST00000629776.1,0.0,117,-1804,13349
334,hsv1-miR-H16,ENST00000461019.5,0.0,19,-1772,16775
335,jcv-miR-J1-5p,ENST00000675704.1,0.0,158,-67,13042
336,hcmv-miR-UL70-3p,ENST00000669746.1,0.0,60,-1028,15883
337,hsv1-miR-H17,ENST00000445551.1,1.0,20,-120,4692
338,hsv1-miR-H16,ENST00000511063.5,1.0,19,-91,2681
339,hcmv-miR-UL70-5p,ENST00000409178.5,1.0,59,-51,1204
340,hsv2-miR-H11-3p,ENST00000561002.2,1.0,34,-36,571
341,hcmv-miR-US25-1-5p,ENST00000432153.6,1.0,54,-1217,8982
342,hcmv-miR-US25-1-5p,ENST00000654176.1,1.0,54,-1596,9361
343,ebv-miR-BART16,ENST00000521889.5,1.0,97,-31,445
344,kshv-miR-K12-6-5p,ENST00000671646.1,1.0,125,-110,4163
345,hsv1-miR-H15,ENST00000673141.1,1.0,18,-4,41
346,hsv2-miR-H5,ENST00000629484.1,0.0,45,-387,10476
347,hsv2-miR-H6-5p,ENST00000427691.5,0.0,46,-1387,19289
348,hsv2-miR-H12,ENST00000650318.1,1.0,35,-96,2835
349,ebv-miR-BART10-3p,ENST00000664725.1,0.0,89,-1198,14064
350,hbv-miR-B14RC-3p,ENST00000665000.1,1.0,154,-153,5227
351,ebv-miR-BART9-3p,ENST00000663987.1,0.0,88,-24,13559
352,bkv-miR-B1-5p,ENST00000612967.2,1.0,156,-136,4918
353,hbv-miR-B7-5p,ENST00000612967.2,1.0,148,-136,4914
354,ebv-miR-BART16,ENST00000656684.1,0.0,97,-1831,13273
355,hsv1-miR-H13,ENST00000515640.5,0.0,15,-63,10808
356,hiv1-miR-H1,ENST00000337752.6,1.0,163,-138,5003
357,kshv-miR-K12-5-3p,ENST00000375670.1,0.0,127,-1243,18802
358,hsv1-miR-H2-3p,ENST00000583678.6,0.0,3,-881,16861
359,ebv-miR-BART12,ENST00000671646.1,1.0,92,-110,4139
360,hsv1-miR-H11,ENST00000659175.1,1.0,13,-111,4189
361,hcmv-miR-US25-1-5p,ENST00000657543.1,1.0,54,-1297,9062
362,ebv-miR-BART19-3p,ENST00000648073.1,1.0,101,-404,7649
363,ebv-miR-BART13-3p,ENST00000459662.5,0.0,93,-993,11891
364,ebv-miR-BART5-5p,ENST00000669537.1,0.0,82,-1599,17205
365,hsv2-miR-H5,ENST00000629374.2,0.0,45,-613,18494
366,hbv-miR-B19-5p,ENST00000652440.1,0.0,151,-1722,12421
