,Seqname,0,1,2,3,4
83,ebv-miR-BART6-3p,0,0,0,0,0
84,ebv-miR-BART7-3p,0,0,0,0,0
85,ebv-miR-BART8-5p,0,0,0,0,0
86,ebv-miR-BART8-3p,6.666667,5.275022,0.233333,293.3399,1.752887
87,ebv-miR-BART9-3p,55.65,5.275022,1.025,402.5088,1.888206
88,ebv-miR-BART10-3p,7.5,4.050028,1,462.5608,2.061497
89,ebv-miR-BART11-5p,0,0,0,0,0
90,ebv-miR-BART11-3p,0,0,0,0,0
91,ebv-miR-BART12,0,0,0,0,0
92,ebv-miR-BART13-3p,0,0,0,0,0
93,ebv-miR-BART14-5p,0,0,0,0,0
94,ebv-miR-BART14-3p,115.333333,5.275022,0.733333,390.4981,1.875222
95,ebv-miR-BART15,0,0,0,0,0
96,ebv-miR-BART16,0,0,0,0,0
97,ebv-miR-BART17-5p,0,0,0,0,0
98,ebv-miR-BART17-3p,113.666667,5.275022,1.05,612.7816,2.068804
99,ebv-miR-BART18-5p,0,0,0,0,0
100,ebv-miR-BART19-3p,0,5.275022,1.9,149.2113,1.466666
101,ebv-miR-BART20-5p,165.5,5.275022,0.775,470.5397,1.955214
102,ebv-miR-BART20-3p,51.471429,8.500108,-0.257143,773.9408,1.964027
103,ebv-miR-BART2-3p,0,0,0,0,0
104,ebv-miR-BART7-5p,5,8.500108,-1,277.3836,1.526765
105,ebv-miR-BART9-5p,0,0,0,0,0
106,ebv-miR-BART10-5p,0,0,0,0,0
107,ebv-miR-BART13-5p,0,0,0,0,0
108,ebv-miR-BART18-3p,0,0,0,0,0
109,ebv-miR-BART19-5p,-9.4,5.275022,0.6,250.3152,1.68532
110,ebv-miR-BART4-3p,0,0,0,0,0
111,ebv-miR-BART5-3p,0,0,0,0,0
112,ebv-miR-BART21-5p,0,0,0,0,0
113,ebv-miR-BART21-3p,0,0,0,0,0
114,ebv-miR-BART22,5,5.275022,3.05,248.3423,1.681955
115,kshv-miR-K12-10a-3p,0,0,0,0,0
116,kshv-miR-K12-10b,0,0,0,0,0
117,kshv-miR-K12-11-3p,40.433333,5.272749,1.6,662.8619,2.102827
118,kshv-miR-K12-1-5p,0,0,0,0,0
119,kshv-miR-K12-2-5p,0,0,0,0,0
120,kshv-miR-K12-9-5p,0,0,0,0,0
121,kshv-miR-K12-9-3p,0,0,0,0,0
122,kshv-miR-K12-8-3p,0,0,0,0,0
123,kshv-miR-K12-7-3p,7.5,5.275022,2.825,446.6044,1.932798
124,kshv-miR-K12-6-5p,0,0,0,0,0
125,kshv-miR-K12-6-3p,8.333333,5.275022,2.683333,678.8826,2.112932
126,kshv-miR-K12-5-3p,67.416667,7.999833,-0.466667,663.8103,1.924166
127,kshv-miR-K12-4-5p,0,0,0,0,0
128,kshv-miR-K12-4-3p,0,0,0,0,0
129,kshv-miR-K12-3-5p,0,0,0,0,0
130,kshv-miR-K12-3-3p,0,5.275022,1.9,149.2113,1.466666
131,kshv-miR-K12-12-5p,0,0,0,0,0
132,kshv-miR-K12-10a-5p,0,0,0,0,0
133,kshv-miR-K12-11-5p,0,0,0,0,0
134,kshv-miR-K12-1-3p,0,0,0,0,0
135,kshv-miR-K12-2-3p,0,0,0,0,0
136,kshv-miR-K12-8-5p,0,0,0,0,0
137,kshv-miR-K12-7-5p,0,5.275022,1.9,149.2113,1.466666
138,kshv-miR-K12-5-5p,0,0,0,0,0
139,kshv-miR-K12-12-3p,0,0,0,0,0
140,hbv-miR-B2RC,0,0,0,0,0
141,hbv-miR-B4,0,0,0,0,0
142,hbv-miR-B20-5p,0,0,0,0,0
143,hbv-miR-B20-3p,0,0,0,0,0
144,hbv-miR-B2-3p,0,0,0,0,0
145,hbv-miR-B3RC-5p,0,0,0,0,0
146,hbv-miR-B3RC-3p,0,0,0,0,0
147,hbv-miR-B7-5p,0,0,0,0,0
148,hbv-miR-B8-5p,0,0,0,0,0
149,hbv-miR-B8-3p,0,0,0,0,0
150,hbv-miR-B19-5p,0,0,0,0,0
151,hbv-miR-B21RC-5p,0,0,0,0,0
152,hbv-miR-B26-5p,0,0,0,0,0
153,hbv-miR-B14RC-3p,0,0,0,0,0
154,hbv-miR-B22-3p,0,0,0,0,0
155,bkv-miR-B1-5p,0,0,0,0,0
156,bkv-miR-B1-3p,165.5,9.500077,0.2,491.6053,1.722202
157,jcv-miR-J1-5p,0,0,0,0,0
158,jcv-miR-J1-3p,165.5,9.500077,0.2,491.6053,1.722202
159,mcpv-miR-P1-5p,0,0,0,0,0
160,mcpv-miR-P1-3p,0,0,0,0,0
161,hiv1-miR-N367,89,5.275022,1.6,489.6291,1.972297
162,hiv1-miR-H1,0,0,0,0,0
163,hiv1-miR-TAR-5p,0,0,0,0,0
164,hiv1-miR-TAR-3p,0,0,0,0,0
