,Seqname,EipSP: Electron-ion interaction pseudopotential signal peak,EipAP: Electron-ion interaction pseudopotential average power,EiSNR: Electron-ion interaction pseudopotential signal/noise ratio,EiPS0: Electron-ion interaction pseudopotential spectrum 0,EiPS1: Electron-ion interaction pseudopotential spectrum 0.25,EiPS2: Electron-ion interaction pseudopotential spectrum 0.5,EiPS3: Electron-ion interaction pseudopotential spectrum 0.75,EiPS4: Electron-ion interaction pseudopotential spectrum 1
29,ENST00000600103.1,1.382986,10.294847,0.134338,0.700775,0.788149,0.976207,1.174266,1.64799
30,ENST00000430605.1,0.164129,3.15426,0.052034,0.195178,0.234814,0.265241,0.354673,0.651311
31,ENST00000439024.1,0.467041,5.015062,0.093128,0.337783,0.379284,0.40411,0.575594,0.856248
32,ENST00000432294.1,0.118189,5.929034,0.019934,0.282026,0.309573,0.356027,0.458605,0.746558
33,ENST00000554749.1,13.338376,61.10606,0.218282,4.943537,5.738942,6.767628,8.522513,38.79853
34,ENST00000566942.1,3.772618,53.472329,0.070553,2.837629,3.215236,3.736588,4.341049,11.287394
35,ENST00000562952.1,3.883396,91.825187,0.042291,5.303944,5.846538,6.698725,8.293422,17.123704
36,ENST00000445680.1,0.521094,6.158195,0.084618,0.485922,0.541397,0.557376,0.750208,1.25347
37,ENST00000416099.1,0.376924,10.558376,0.035699,0.841382,0.944616,1.183105,1.594721,2.031544
38,ENST00000457043.1,0.826767,7.644533,0.108151,0.611646,0.71154,0.863176,1.079325,1.765406
39,ENST00000425109.2,1.198318,10.814561,0.110806,0.782612,0.842015,1.007739,1.265384,1.94652
40,ENST00000389897.3,0.597727,14.577398,0.041004,1.122592,1.259803,1.369593,1.610652,3.968525
41,ENST00000445097.2,1.451658,42.853758,0.033875,2.680907,2.97106,3.556143,4.409631,10.131004
42,ENST00000411804.1,0.608397,10.681705,0.056957,0.629898,0.68299,0.802012,0.946641,2.507839
43,ENST00000443642.1,1.892109,9.483999,0.199505,0.936581,1.001487,1.125337,1.44699,2.12554
44,ENST00000428641.1,0.143001,6.307433,0.022672,0.454131,0.536705,0.632308,0.788772,1.755996
45,ENST00000526176.1,0.517125,8.225863,0.062866,0.662452,0.751252,0.847658,1.037068,1.659747
46,ENST00000358073.2,4.179713,35.086791,0.119125,2.895564,3.299071,3.729437,4.477202,7.896042
47,ENST00000553157.1,0.849218,7.889763,0.107635,0.661162,0.760858,0.854587,1.002395,4.111351
48,ENST00000447832.1,1.75213,40.971082,0.042765,2.969354,3.281194,3.677578,4.489137,11.277238
49,ENST00000438597.1,0.160539,8.924058,0.017989,0.694295,0.787738,1.016772,1.304158,2.223795
50,ENST00000420350.1,1.118387,19.242216,0.058122,1.451669,1.66924,1.836065,2.301823,4.861751
51,ENST00000602806.1,1.76415,8.373908,0.210672,0.781017,0.894968,1.03975,1.242776,2.038435
52,ENST00000412855.2,0.701528,6.140526,0.114246,0.484473,0.515492,0.606346,0.713952,1.031245
53,ENST00000445817.1,2.253352,28.836001,0.078144,2.186058,2.442148,2.825431,3.465445,5.140615
54,ENST00000436377.1,0.357818,6.335771,0.056476,0.39493,0.433161,0.492134,0.781203,0.825722
55,ENST00000429227.1,0.31834,12.504333,0.025458,1.112743,1.251623,1.374322,1.584257,2.744931
56,ENST00000439562.1,0.453068,10.670149,0.042461,0.576504,0.62631,0.685962,0.803232,1.508319
57,ENST00000417765.1,0.340125,9.531558,0.035684,0.622491,0.68945,0.842383,1.024564,2.613956
58,ENST00000414894.1,0.398465,5.402616,0.073754,0.401573,0.431583,0.512377,0.59217,0.93931
59,ENST00000417273.1,0.739478,6.507435,0.113636,0.387765,0.406365,0.469239,0.59726,0.859902
60,ENST00000561542.1,3.107487,49.904478,0.062269,2.815186,3.204584,3.616077,4.650301,11.577575
61,ENST00000562082.1,1.076702,34.965524,0.030793,1.903838,2.126736,2.590008,3.198212,10.049516
62,ENST00000580623.1,0.845971,8.190676,0.103285,0.616182,0.698735,0.753078,0.886554,2.093083
63,ENST00000445450.1,0.421006,5.656024,0.074435,0.38926,0.481331,0.506086,0.589177,1.247178
64,ENST00000486015.1,0.506629,8.716681,0.058122,0.845599,0.946772,1.155174,1.495621,1.778551
65,ENST00000484411.1,0.651995,15.547818,0.041935,1.466749,1.724425,2.015053,2.292596,7.042503
66,ENST00000527641.1,0.22026,7.677215,0.02869,0.786133,0.849548,0.986541,1.206508,2.208307
67,ENST00000420424.1,1.96796,34.156332,0.057616,1.978635,2.206452,2.505039,3.051969,11.190802
68,ENST00000439559.2,4.963834,47.387204,0.104751,3.796939,4.26053,4.835738,5.940061,17.831368
69,ENST00000562983.1,0.983339,18.550121,0.05301,1.102355,1.308149,1.450873,1.689129,2.946794
70,ENST00000427300.1,0.57579,5.958714,0.09663,0.359775,0.399068,0.497255,0.646157,1.202099
71,ENST00000449197.1,0.434057,7.883926,0.055056,0.473031,0.514501,0.574194,0.741477,1.22021
72,ENST00000427846.1,0.440808,10.970449,0.040181,0.771643,0.843836,0.960407,1.209228,2.422588
73,ENST00000444375.1,0.186639,9.22109,0.02024,0.58346,0.723965,0.809454,1.056674,1.583558
74,ENST00000594818.1,0.782771,6.390229,0.122495,0.584549,0.64432,0.730503,0.866529,1.548468
75,ENST00000597488.1,1.294806,28.444176,0.045521,2.091465,2.422085,2.943032,3.525685,9.513116
76,ENST00000598368.1,2.053111,35.993943,0.05704,2.721784,2.996704,3.379882,4.560902,9.919572
77,ENST00000564352.1,4.499712,61.713973,0.072912,4.657686,5.345586,6.130474,7.710968,21.28413
78,ENST00000424371.2,1.032708,6.697808,0.154186,0.547741,0.58042,0.668178,0.820626,1.155479
79,ENST00000423419.1,0.247975,6.710236,0.036955,0.569009,0.670651,0.744842,0.87468,1.42622
80,ENST00000421206.1,0.139472,5.959226,0.023404,0.396449,0.444621,0.52764,0.631221,0.801021
81,ENST00000528844.1,1.160151,10.644661,0.108989,0.705659,0.855754,1.050546,1.231146,2.062018
82,ENST00000531977.1,0.296115,8.546033,0.034649,0.607433,0.679028,0.777322,1.005531,2.6603
83,ENST00000553459.1,0.763488,9.784588,0.07803,0.780441,0.881078,1.064743,1.268144,3.104331
84,ENST00000533844.1,0.268402,7.781421,0.034493,0.609398,0.66461,0.772906,0.971481,2.677726
85,ENST00000568280.1,1.805628,41.709747,0.04329,3.199889,3.576046,4.17901,5.156693,18.605408
86,ENST00000528466.1,0.502912,8.116525,0.061961,0.638577,0.737164,0.918076,1.035356,2.132991
87,ENST00000530595.1,1.4099,39.921189,0.035317,3.121602,3.548112,4.181141,5.258842,24.274647
88,ENST00000543817.1,0.36774,8.373649,0.043916,0.590156,0.715306,0.854684,1.121519,2.858721
89,ENST00000526036.1,9.446714,36.43758,0.259257,2.663974,3.10061,3.504073,4.18648,16.664366
90,ENST00000602322.1,1.418054,23.482132,0.060389,1.167215,1.351056,1.485123,1.681252,3.474977
91,ENST00000530422.1,0.272954,5.076687,0.053766,0.309878,0.356874,0.403044,0.780839,2.186586
92,ENST00000561652.1,2.770926,77.238719,0.035875,4.519225,4.992397,5.637776,7.381101,16.52149
93,ENST00000561746.1,2.463177,64.177493,0.038381,3.39568,3.822402,4.407116,5.595217,19.101219
94,ENST00000578923.1,1.691317,12.989914,0.130202,1.007992,1.125227,1.333965,1.701727,5.40585
95,ENST00000530002.1,0.602271,10.88486,0.055331,0.881026,0.962823,1.121921,1.407905,3.782471
96,ENST00000525716.2,2.073174,60.143984,0.03447,3.687342,4.174221,4.906197,6.171284,16.857095
97,ENST00000537514.1,2.889087,34.379703,0.084035,2.426374,2.789307,3.239223,4.218995,15.736434
98,ENST00000318291.4,2.562239,31.522111,0.081284,2.490192,2.800449,3.334083,4.197819,11.756844
99,ENST00000382215.3,2.828568,29.639207,0.095433,2.422171,2.682956,3.204061,4.065438,10.941558
100,ENST00000535078.1,0.447367,4.629273,0.096639,0.33072,0.394809,0.471693,0.798755,1.176207
101,ENST00000537616.1,1.42838,37.935344,0.037653,2.38368,2.632574,3.013121,3.570536,7.145975
102,ENST00000540198.1,0.259477,5.931475,0.043746,0.406399,0.510177,0.590794,0.633407,1.364691
103,ENST00000536029.1,0.374787,6.756884,0.055467,0.51097,0.550257,0.62646,0.734765,1.126081
104,ENST00000394742.3,0.405953,6.147845,0.066032,0.3241,0.394784,0.440486,0.515757,0.85103
105,ENST00000538231.1,0.290163,6.917331,0.041947,0.409689,0.441511,0.503451,0.709461,1.055556
106,ENST00000499948.2,1.929856,25.897754,0.074518,1.624085,1.850513,2.118152,2.576529,4.339634
107,ENST00000562691.2,4.687432,82.152113,0.057058,4.994261,5.661188,6.546987,8.115598,22.628558
108,ENST00000501211.2,2.54149,80.924728,0.031406,5.013015,5.632696,6.518777,8.07149,69.410714
109,ENST00000551972.1,0.932841,10.114539,0.092228,0.714701,0.830671,0.952848,1.166032,3.154789
110,ENST00000550644.1,0.675714,8.881271,0.076083,0.455404,0.548509,0.626996,0.723279,1.43993
111,ENST00000552441.1,0.646961,8.922204,0.072511,0.778147,0.878197,1.080293,1.319655,1.656975
112,ENST00000549388.1,0.19975,7.750534,0.025772,0.574893,0.66165,0.716795,0.847343,2.590256
113,ENST00000551890.1,1.367184,7.983427,0.171253,0.752119,0.884874,0.975036,1.253282,4.046657
114,ENST00000553176.1,0.579266,6.009664,0.096389,0.380334,0.446758,0.507412,0.623896,3.899267
115,ENST00000602327.1,0.169055,6.27344,0.026948,0.5271,0.56817,0.636947,0.794975,1.211806
116,ENST00000547492.1,0.470377,11.305545,0.041606,0.764843,0.855968,0.911552,1.122427,1.990927
117,ENST00000553102.1,0.565716,10.193767,0.055496,0.728337,0.801858,0.940735,1.177622,2.596736
118,ENST00000504409.3,10.15312,159.353998,0.063714,9.973797,11.241539,13.011204,16.087811,42.123997
119,ENST00000539987.1,0.537899,8.998817,0.059774,0.641822,0.730544,0.819037,0.884678,2.228183
120,ENST00000528549.1,2.270143,52.790483,0.043003,4.079675,4.495909,5.151023,6.191779,16.549956
121,ENST00000538335.1,1.057808,8.541501,0.123843,0.912044,1.082365,1.297869,1.680084,2.960012
122,ENST00000602988.1,0.622075,8.224775,0.075634,0.564128,0.647038,0.731112,0.871241,1.196555
123,ENST00000598905.1,1.748871,13.259503,0.131896,0.922055,1.031236,1.222121,1.566511,2.725624
124,ENST00000601318.1,1.288451,9.69567,0.132889,0.540331,0.631611,0.784757,1.046796,3.00595
125,ENST00000451298.1,8.026306,56.258271,0.142669,3.787734,4.286687,4.957887,6.157258,13.418602
126,ENST00000436290.2,1.505289,25.262542,0.059586,1.503735,1.64282,1.892762,2.380979,5.257293
127,ENST00000581816.1,1.648771,30.298555,0.054417,2.08146,2.311341,2.812055,3.401883,5.980346
128,ENST00000458403.2,1.308285,21.649021,0.060432,1.697142,1.901115,2.184296,3.386547,21.381599
129,ENST00000561786.1,6.548224,40.37482,0.162186,3.348988,3.871186,4.548602,5.834589,26.372095
130,ENST00000602192.1,1.578505,18.055397,0.087426,1.633327,1.802493,2.12719,2.884648,5.62874
131,ENST00000454005.1,0.675527,5.285633,0.127804,0.482911,0.568394,0.675527,0.78299,1.160904
132,ENST00000554988.1,0.27504,8.897101,0.030913,0.847027,0.919266,1.011375,1.235288,2.135383
133,ENST00000548322.1,0.507923,8.729875,0.058182,0.615869,0.692507,0.834935,0.91841,1.508066
134,ENST00000556613.1,0.832174,7.551231,0.110204,0.62867,0.691964,0.879776,1.132818,3.320146
135,ENST00000553985.1,1.922576,33.156998,0.057984,2.862245,3.151039,3.74733,4.66764,9.625076
136,ENST00000554403.1,2.819496,35.211795,0.080072,3.186956,3.583489,4.145673,5.182748,26.519094
137,ENST00000556379.1,3.102436,42.266283,0.073402,2.945548,3.314349,3.954343,4.921909,20.32333
138,ENST00000554036.1,0.462995,7.231477,0.064025,0.642959,0.686157,0.78766,0.939497,2.508847
139,ENST00000552511.1,0.263685,6.202204,0.042515,0.328448,0.342084,0.368528,0.420831,0.753291
140,ENST00000550118.2,0.57589,9.211888,0.062516,0.539787,0.613656,0.744143,0.940067,1.514513
141,ENST00000557373.1,2.841924,30.924,0.0919,2.276994,2.680291,3.212742,4.127732,21.096258
142,ENST00000603474.1,0.104482,4.01087,0.02605,0.297281,0.354424,0.378661,0.435243,0.683321
143,ENST00000553463.1,0.393451,5.261326,0.074782,0.389433,0.406888,0.490623,0.674294,1.182478
144,ENST00000554129.1,1.877303,33.392697,0.056219,2.674061,2.964639,3.366361,4.35088,11.114618
145,ENST00000555162.1,0.30265,8.4509,0.035813,0.583003,0.663276,0.741267,0.979232,1.643703
146,ENST00000556225.1,0.574803,12.6379,0.045483,0.780275,0.87986,0.984286,1.176907,2.285121
147,ENST00000557412.1,1.207333,8.224873,0.14679,0.540295,0.593116,0.705486,1.028473,2.226073
148,ENST00000555037.1,0.146764,6.400041,0.022932,0.534367,0.562299,0.629424,0.787921,1.316753
149,ENST00000554309.1,0.209266,8.707589,0.024033,0.716985,0.758414,0.912601,1.093983,1.781764
150,ENST00000554123.1,0.275076,7.456519,0.036891,0.424756,0.508677,0.608648,0.763607,1.462621
151,ENST00000556640.1,0.552261,8.175227,0.067553,0.527951,0.610656,0.730756,0.929235,1.466559
152,ENST00000554032.1,0.299999,5.525226,0.054296,0.318471,0.387474,0.463574,0.598601,0.755435
153,ENST00000554532.2,0.750879,20.019379,0.037508,1.471852,1.652945,1.987904,2.555197,4.345622
154,ENST00000558267.1,0.395191,8.617936,0.045857,0.72535,0.776461,0.91772,1.172964,1.979709
155,ENST00000555070.1,0.409633,6.4313,0.063694,0.461114,0.518899,0.644256,0.896629,1.813576
156,ENST00000555562.1,0.637798,15.278383,0.041745,1.356505,1.537447,1.78512,2.219394,6.039083
157,ENST00000557745.1,1.701599,12.190833,0.13958,0.959222,1.081194,1.207869,1.539457,2.473947
158,ENST00000602422.1,1.249526,11.580715,0.107897,1.033349,1.158469,1.343307,1.655067,3.63564
159,ENST00000551361.1,0.179087,8.266362,0.021665,0.503623,0.548591,0.6417,0.811135,1.416925
160,ENST00000547292.1,1.17172,8.680995,0.134975,0.866096,0.929959,1.085775,1.197111,1.908801
161,ENST00000553149.1,1.030986,7.44777,0.138429,0.636945,0.696878,0.84025,0.981026,1.52968
162,ENST00000580438.1,0.373648,22.853287,0.01635,1.331588,1.47997,1.677077,2.128397,3.749636
163,ENST00000602663.1,0.838962,35.297961,0.023768,2.338267,2.675964,2.938989,3.581757,6.84447
164,ENST00000559094.1,0.676305,11.374469,0.059458,0.762383,0.848264,0.985142,1.18197,2.23417
165,ENST00000558109.1,0.290681,9.188502,0.031635,0.625943,0.715313,0.860316,1.138154,2.097074
166,ENST00000559841.1,0.501211,7.742486,0.064735,0.495754,0.574779,0.672265,0.846454,2.141667
167,ENST00000560545.1,0.730305,7.732663,0.094444,0.712966,0.793008,0.871543,1.08618,3.163248
168,ENST00000560750.1,0.810737,15.505084,0.052288,1.252355,1.47098,1.75576,2.298335,7.669367
169,ENST00000313807.4,1.592852,40.894235,0.038951,3.283177,3.710553,4.271162,5.475537,15.214489
170,ENST00000558323.1,0.603439,8.229096,0.07333,0.64502,0.722966,0.814768,1.015745,2.844244
171,ENST00000568314.1,0.719556,8.860485,0.08121,0.725181,0.847401,1.002466,1.450001,2.383103
172,ENST00000563103.1,0.437329,4.326675,0.101077,0.341283,0.399137,0.495435,0.558663,0.845327
173,ENST00000559134.1,0.417687,8.518057,0.049036,0.605031,0.659774,0.810844,0.969787,3.854528
174,ENST00000560359.1,0.603981,10.017531,0.060292,0.856764,0.942443,1.029576,1.305778,3.93413
175,ENST00000561289.1,0.484913,8.031372,0.060377,0.626151,0.704292,0.795276,0.941776,1.560575
176,ENST00000558593.1,0.317689,7.226311,0.043963,0.571206,0.638219,0.726668,0.869425,1.35737
177,ENST00000560248.1,0.455351,6.601023,0.068982,0.495068,0.568423,0.604788,0.657123,1.701306
178,ENST00000560067.1,0.556532,5.478143,0.101591,0.373695,0.428467,0.472712,0.563184,0.765914
179,ENST00000559861.1,0.663908,9.175883,0.072354,0.640917,0.696546,0.81353,0.980878,1.808821
180,ENST00000561191.1,0.963941,8.047485,0.119782,0.776009,0.851261,0.959601,1.131725,1.663963
181,ENST00000559285.1,1.529108,13.28914,0.115064,1.038249,1.164878,1.355587,1.718532,3.209088
182,ENST00000559702.1,0.152311,3.190312,0.047742,0.272028,0.28345,0.342644,0.565838,0.659992
183,ENST00000566291.1,1.387029,32.37777,0.042839,2.107744,2.336824,2.744926,3.422208,5.747199
184,ENST00000564194.5,3.590154,34.768447,0.103259,2.194264,2.457437,2.899882,3.592081,9.017867
185,ENST00000562965.1,1.444858,17.04578,0.084763,1.432829,1.736176,2.048632,2.388496,4.658359
186,ENST00000565416.1,0.999069,8.361905,0.119479,0.720611,0.763591,0.846896,1.184216,1.660478
187,ENST00000568853.1,0.190608,5.460557,0.034906,0.473206,0.499536,0.562946,0.725264,1.043455
188,ENST00000602975.1,1.563694,9.834947,0.158994,0.712397,0.77829,0.875918,1.141518,1.923877
189,ENST00000559366.1,0.654085,9.659091,0.067717,0.778781,0.884606,1.002041,1.218889,2.432386
190,ENST00000558935.1,0.388123,7.086848,0.054767,0.476649,0.516724,0.599797,0.754732,1.278871
191,ENST00000560068.1,4.041537,46.533194,0.086853,3.698024,4.281567,4.905901,6.187209,13.184394
192,ENST00000560461.1,1.520043,9.932667,0.153035,0.79232,0.933908,1.122456,1.25574,3.161155
193,ENST00000565467.1,4.623025,51.481854,0.089799,4.961914,5.628562,6.735058,8.062496,26.57898
194,ENST00000562570.1,3.259645,44.660766,0.072987,4.487644,5.015732,5.710998,6.980893,18.515071
195,ENST00000565139.1,0.49497,5.500014,0.089994,0.428768,0.459493,0.648914,0.721141,1.177902
196,ENST00000563837.1,1.635954,9.990079,0.163758,0.916303,1.125723,1.226187,1.374324,1.9814
197,ENST00000582881.1,0.436401,15.811276,0.027601,0.999943,1.219412,1.354546,1.695287,2.874438
198,ENST00000583030.1,3.1126,47.741823,0.065197,3.441877,3.887712,4.270148,5.406766,32.691696
199,ENST00000580979.1,2.279069,25.038038,0.091024,1.694243,1.8844,2.17014,3.040241,6.655222
200,ENST00000578389.1,1.0859,6.33664,0.171368,0.41271,0.480051,0.605721,0.734012,1.297893
201,ENST00000587012.1,1.249159,18.211476,0.068592,1.051859,1.167142,1.399956,1.756792,3.045853
202,ENST00000577557.1,0.924502,10.858123,0.085144,0.814835,0.996409,1.063526,1.284954,1.94471
203,ENST00000560400.1,3.120877,44.751038,0.069739,2.558472,2.907969,3.352219,4.241385,8.396729
204,ENST00000591237.1,3.080843,24.566897,0.125406,1.98789,2.255067,2.756169,3.425695,13.344648
205,ENST00000592195.1,1.653332,18.521269,0.089267,1.422685,1.780643,2.061912,2.803542,6.272936
206,ENST00000591166.1,1.363153,11.228045,0.121406,0.828444,0.897207,1.026637,1.276217,2.579002
207,ENST00000592897.1,1.384729,7.785735,0.177855,0.719974,0.75568,0.96734,1.290785,1.550853
208,ENST00000589451.1,0.368691,7.73359,0.047674,0.665063,0.78528,0.904137,1.105133,2.363295
209,ENST00000591365.1,4.337031,30.515001,0.142128,2.907125,3.386338,3.997455,4.795684,30.787135
210,ENST00000590522.1,0.433284,5.688768,0.076165,0.406362,0.442549,0.62492,0.798244,1.168037
211,ENST00000590495.1,1.353745,8.750663,0.154702,0.951608,1.00037,1.147297,1.42361,3.111872
212,ENST00000433001.1,0.452125,13.352369,0.033861,1.030511,1.157332,1.291994,1.502916,2.279585
213,ENST00000548801.1,3.893364,37.716658,0.103227,2.992282,3.382088,4.000943,5.198684,21.667722
214,ENST00000582096.1,6.323111,36.796162,0.171842,2.477069,2.785233,3.349248,4.241252,11.1038
215,ENST00000577267.1,8.186708,60.435664,0.135462,4.135275,4.698856,5.640505,7.184949,17.224632
216,ENST00000579003.1,2.003863,21.08376,0.095043,2.30043,2.612399,3.226941,3.839927,10.359218
217,ENST00000583841.1,1.626636,12.262405,0.132652,0.96007,1.073722,1.286972,1.622298,2.826725
218,ENST00000582348.1,0.935394,8.18148,0.114331,0.621998,0.689045,0.782375,1.08977,2.605457
219,ENST00000584597.1,0.487716,8.163283,0.059745,0.618193,0.753597,0.937599,1.232744,2.202527
220,ENST00000582564.1,4.249254,33.294621,0.127626,2.524823,2.929654,3.318505,4.064558,9.553646
221,ENST00000577270.1,7.482187,46.511786,0.160866,3.243309,3.688598,4.479905,5.602294,11.498472
222,ENST00000579201.1,1.351988,8.561403,0.157917,0.597082,0.637482,0.712238,0.929538,2.234182
223,ENST00000579125.1,1.391663,18.108518,0.076851,1.794432,1.980628,2.393697,3.199774,6.886078
224,ENST00000580948.1,0.695463,6.854649,0.101459,0.541123,0.594817,0.695463,0.934845,1.32622
225,ENST00000591956.1,0.875074,7.987691,0.109553,0.72437,0.752196,0.839669,1.015133,1.644087
226,ENST00000587743.1,1.770134,38.37539,0.046127,3.038595,3.372129,3.857612,4.985009,9.112657
227,ENST00000565256.1,2.236548,17.925293,0.124771,1.429332,1.611418,2.137697,2.418017,3.942067
228,ENST00000572151.1,0.295324,8.155776,0.03621,0.703622,0.785282,0.920595,1.135894,1.824945
229,ENST00000573394.1,0.500126,7.516889,0.066534,0.597762,0.657768,0.75605,0.973918,1.493091
230,ENST00000577000.1,0.346108,6.759209,0.051205,0.534422,0.563158,0.648492,1.062992,1.602672
231,ENST00000582866.1,3.527594,40.426233,0.08726,2.842716,3.130117,3.522557,4.117309,8.900324
232,ENST00000570869.1,0.700985,8.763944,0.079985,0.623542,0.695813,0.831338,0.961043,3.940076
233,ENST00000583253.1,0.412257,16.180075,0.025479,0.869477,0.978765,1.107086,1.344851,2.672652
234,ENST00000581613.1,0.819132,8.709293,0.094053,0.488898,0.586254,0.703022,0.920758,1.758326
235,ENST00000583558.1,0.376403,8.313753,0.045275,0.720861,0.822974,0.969083,1.092396,2.43669
236,ENST00000579580.1,3.326768,11.02758,0.301677,1.001665,1.106507,1.258732,1.573265,3.326768
237,ENST00000586922.2,4.942654,64.245051,0.076934,4.590532,5.210751,5.933018,7.732789,36.904659
238,ENST00000596923.1,0.654094,9.141546,0.071552,0.660589,0.740403,0.858811,1.396945,2.22804
239,ENST00000599934.1,0.427317,8.19441,0.052147,0.623468,0.680553,0.790253,1.014895,1.480279
240,ENST00000589440.1,1.162417,7.509658,0.15479,0.568809,0.637995,0.757139,0.986064,1.179695
241,ENST00000588803.1,0.440503,7.21012,0.061095,0.566014,0.606847,0.682498,0.771933,1.329114
242,ENST00000587933.1,1.35861,16.454352,0.082568,1.130549,1.248502,1.390425,1.727156,3.147971
243,ENST00000585279.1,0.941885,11.2316,0.08386,0.712337,0.763744,0.915076,1.144224,2.636411
244,ENST00000577806.1,0.684734,13.939525,0.049122,0.961972,1.092194,1.302769,1.682642,2.725698
245,ENST00000581192.1,0.398451,5.779336,0.068944,0.550565,0.61274,0.725531,0.84683,1.24868
246,ENST00000575722.1,1.603307,17.847713,0.089833,1.505255,1.728085,1.920954,2.331031,8.524669
247,ENST00000573860.1,0.208829,5.749653,0.03632,0.587293,0.678692,0.888172,0.978961,1.667378
248,ENST00000589360.1,0.631854,7.816707,0.080834,0.812049,0.907217,0.98516,1.42535,2.720692
249,ENST00000600056.1,1.139661,9.61529,0.118526,0.931618,1.111773,1.221929,1.547385,2.203108
250,ENST00000588798.1,0.553832,7.512142,0.073725,0.713553,0.770617,0.883055,1.059784,2.740885
251,ENST00000592671.1,0.379891,5.175249,0.073405,0.420674,0.475787,0.540112,0.770258,0.832442
252,ENST00000549131.1,1.466277,7.138287,0.20541,0.68922,0.876401,0.977451,1.241974,1.720895
253,ENST00000590274.1,0.808993,9.098525,0.088915,0.637849,0.672052,0.748415,0.874163,2.074581
254,ENST00000586816.1,0.358426,4.523521,0.079236,0.30602,0.355938,0.415134,0.513703,0.837591
255,ENST00000586885.1,3.149386,37.53745,0.0839,2.679249,2.942382,3.553555,4.563977,8.792577
256,ENST00000594557.1,6.259578,70.813261,0.088396,4.462902,5.051532,5.767134,7.082065,19.383425
257,ENST00000593653.1,0.998507,8.105482,0.123189,0.682342,0.767256,0.819516,0.941141,1.246264
258,ENST00000598922.1,0.548055,8.322936,0.065849,0.645015,0.717371,0.919481,1.10258,2.287394
259,ENST00000594230.1,0.715865,23.194091,0.030864,1.210634,1.44346,1.741672,2.078317,5.074568
