,Seqname,FickS: Fickett score,SCCou: Stop codon count,SCFre: Stop codon frequency,SCCFS: Stop codon count frame score,SCFFS: Stop codon frequency frame score
67,ENST00000486015.1,0.5983,2.0,0.31036,12.0,0.289113
68,ENST00000484411.1,0.5228,9.0,1.280879,19.0,0.384798
69,ENST00000527641.1,0.4892,3.0,0.473955,1.0,0.024973
70,ENST00000420424.1,0.3862,32.0,4.15131,93.0,1.565688
71,ENST00000439559.2,0.4862,37.0,4.56901,9.0,0.137251
72,ENST00000562983.1,0.3797,27.0,3.797097,28.0,0.553185
73,ENST00000427300.1,0.6479,4.0,0.670449,1.0,0.027985
74,ENST00000449197.1,0.5559,10.0,1.597064,39.0,0.994644
75,ENST00000427846.1,0.5199,11.0,1.661613,37.0,0.845987
76,ENST00000444375.1,0.4001,13.0,2.022878,19.0,0.461017
77,ENST00000594818.1,0.7914,4.0,0.655703,7.0,0.188578
78,ENST00000596366.1,0.5224,10.0,1.550655,61.0,1.468503
79,ENST00000597488.1,0.5069,20.0,2.642033,133.0,2.322322
80,ENST00000598368.1,0.4786,35.0,4.484032,91.0,1.494304
81,ENST00000564352.1,0.4769,58.0,6.944572,21.0,0.300811
82,ENST00000424371.2,0.4907,2.0,0.325854,7.0,0.186078
83,ENST00000423419.1,0.7064,5.0,0.811808,31.0,0.81786
84,ENST00000421206.1,0.5691,7.0,1.167842,1.0,0.028113
85,ENST00000419400.1,0.5838,2.0,0.327731,28.0,0.753357
86,ENST00000528844.1,0.4551,7.0,1.064176,1.0,0.023122
87,ENST00000525909.1,0.6817,6.0,0.969256,12.0,0.312945
88,ENST00000531977.1,0.5485,13.0,2.037578,0.0,1e-06
89,ENST00000553459.1,0.6206,9.0,1.381488,127.0,2.995202
90,ENST00000527113.1,0.5156,7.0,1.116588,9.0,0.228721
91,ENST00000533844.1,0.6204,9.0,1.43133,4.0,0.100886
92,ENST00000568280.1,0.4442,39.0,4.895234,129.0,2.032959
93,ENST00000528466.1,0.7006,4.0,0.630704,36.0,0.896516
94,ENST00000530595.1,0.4788,41.0,5.167532,73.0,1.159823
95,ENST00000529908.1,0.5812,14.0,2.199615,91.0,2.2455
96,ENST00000526243.1,0.64,6.0,0.948713,97.0,2.428632
97,ENST00000543817.1,0.6067,5.0,0.786645,7.0,0.173491
98,ENST00000526036.1,0.7905,63.0,8.054574,1897.0,31.009026
99,ENST00000602322.1,0.3677,23.0,3.14015,31.0,0.578052
100,ENST00000530422.1,0.6751,8.0,1.363025,4.0,0.116958
101,ENST00000561652.1,0.3615,120.0,14.051955,247.0,3.386778
102,ENST00000561746.1,0.3576,73.0,8.764881,363.0,5.23449
103,ENST00000578923.1,0.6442,5.0,0.735517,36.0,0.779274
104,ENST00000530002.1,0.6076,7.0,1.054237,12.0,0.272532
105,ENST00000525716.2,0.3939,84.0,10.12927,676.0,9.827675
106,ENST00000537514.1,0.3953,43.0,5.543038,28.0,0.46468
107,ENST00000318291.4,0.4613,30.0,3.899174,19.0,0.321196
108,ENST00000382215.3,0.6346,33.0,4.317404,247.0,4.227208
109,ENST00000535078.1,0.7019,2.0,0.345608,7.0,0.209729
110,ENST00000537616.1,0.3928,41.0,5.23785,327.0,5.337238
111,ENST00000540198.1,0.6538,5.0,0.832794,63.0,1.749071
112,ENST00000536029.1,0.6818,5.0,0.813494,9.0,0.238404
113,ENST00000394742.3,0.5539,6.0,1.001007,3.0,0.08378
114,ENST00000538231.1,0.5722,9.0,1.468939,28.0,0.745785
115,ENST00000499948.2,0.4769,31.0,4.152348,57.0,1.022719
116,ENST00000562691.2,0.355,109.0,12.67514,252.0,3.406749
117,ENST00000501211.2,0.3737,114.0,13.267119,13.0,0.176484
118,ENST00000551972.1,0.5199,6.0,0.918099,112.0,2.624458
119,ENST00000550644.1,0.4194,6.0,0.945271,4.0,0.099337
120,ENST00000552441.1,0.4778,8.0,1.24267,3.0,0.072585
121,ENST00000549388.1,0.4976,4.0,0.637666,64.0,1.628678
122,ENST00000551890.1,0.6354,3.0,0.472766,9.0,0.223631
123,ENST00000553176.1,0.5076,5.0,0.833137,16.0,0.444281
124,ENST00000602327.1,0.8019,1.0,0.164662,63.0,1.709454
125,ENST00000547492.1,0.4132,13.0,1.959803,43.0,0.979051
126,ENST00000553102.1,0.4967,15.0,2.286719,1.0,0.02303
127,ENST00000504409.3,0.3759,220.0,23.729518,1267.0,14.738915
128,ENST00000539987.1,0.7551,11.0,1.717791,4.0,0.097207
129,ENST00000531024.1,0.4789,10.0,1.50546,19.0,0.4304
130,ENST00000528549.1,0.4786,36.0,4.393188,229.0,3.411619
131,ENST00000538335.1,0.5508,0.0,0.0,16.0,0.385198
132,ENST00000602988.1,0.6677,6.0,0.949793,121.0,3.03698
133,ENST00000598905.1,0.4447,21.0,3.083636,28.0,0.602777
134,ENST00000601318.1,0.5164,9.0,1.390864,27.0,0.646381
135,ENST00000451298.1,0.383,77.0,9.342431,403.0,5.931068
136,ENST00000436290.2,0.4196,28.0,3.771468,36.0,0.654087
137,ENST00000581816.1,0.4726,45.0,5.90763,49.0,0.843662
138,ENST00000458403.2,0.5379,11.0,1.501002,27.0,0.503038
139,ENST00000561786.1,0.4634,30.0,3.774519,333.0,5.272409
140,ENST00000602192.1,0.5641,13.0,1.813469,16.0,0.311781
141,ENST00000454005.1,0.7302,4.0,0.673083,1.0,0.028215
142,ENST00000554988.1,0.525,5.0,0.774005,3.0,0.072012
143,ENST00000548322.1,0.6508,9.0,1.409883,9.0,0.220512
144,ENST00000556613.1,0.6213,5.0,0.794949,0.0,0.0
145,ENST00000553985.1,0.4596,30.0,3.870661,9.0,0.150103
146,ENST00000557568.1,0.7321,2.0,0.330593,1.0,0.02743
147,ENST00000554403.1,0.4353,33.0,4.212409,189.0,3.079717
148,ENST00000556379.1,0.4149,44.0,5.530329,28.0,0.442971
149,ENST00000558423.1,0.5027,7.0,1.098623,1.0,0.024646
150,ENST00000554036.1,0.4854,6.0,0.962401,4.0,0.102978
151,ENST00000552511.1,0.6844,3.0,0.500089,76.0,2.113932
152,ENST00000550118.2,0.6743,11.0,1.715143,1.0,0.024543
153,ENST00000557373.1,0.4931,20.0,2.61157,61.0,1.040925
154,ENST00000603474.1,0.4758,4.0,0.714487,4.0,0.127369
155,ENST00000553463.1,0.6506,4.0,0.68021,12.0,0.347179
156,ENST00000554129.1,0.4599,31.0,4.004375,129.0,2.152353
157,ENST00000555162.1,0.5769,9.0,1.414421,28.0,0.692714
158,ENST00000556225.1,0.3746,21.0,3.11878,37.0,0.81492
159,ENST00000557412.1,0.534,10.0,1.582086,7.0,0.174896
160,ENST00000555037.1,0.4453,5.0,0.819328,7.0,0.188695
161,ENST00000554309.1,0.4572,9.0,1.40766,4.0,0.097609
162,ENST00000554123.1,0.4265,9.0,1.446808,49.0,1.268759
163,ENST00000556640.1,0.5414,7.0,1.109045,3.0,0.075501
164,ENST00000554032.1,0.6285,4.0,0.676728,25.0,0.71622
165,ENST00000554532.2,0.4559,19.0,2.631176,37.0,0.710638
166,ENST00000558267.1,0.7661,8.0,1.2506,4.0,0.097802
167,ENST00000555070.1,0.7555,6.0,0.981051,49.0,1.310721
168,ENST00000555562.1,0.455,11.0,1.575285,48.0,0.984438
169,ENST00000557745.1,0.5352,11.0,1.633358,31.0,0.684773
170,ENST00000602422.1,0.5708,14.0,2.089708,19.0,0.422972
171,ENST00000551361.1,0.4589,5.0,0.792175,157.0,3.946998
172,ENST00000547292.1,0.6077,6.0,0.93154,13.0,0.313318
173,ENST00000553149.1,0.5285,2.0,0.320399,49.0,1.259405
174,ENST00000414175.1,0.4622,12.0,1.870587,7.0,0.169586
175,ENST00000580438.1,0.3992,37.0,5.053368,111.0,2.069235
176,ENST00000602663.1,0.3748,36.0,4.63737,19.0,0.315834
177,ENST00000559094.1,0.4651,6.0,0.907067,49.0,1.121488
178,ENST00000558109.1,0.4725,5.0,0.77981,0.0,0.0
179,ENST00000559841.1,0.4795,5.0,0.800251,49.0,1.256274
180,ENST00000560545.1,0.4192,7.0,1.104038,16.0,0.398231
181,ENST00000560750.1,0.4622,17.0,2.429406,12.0,0.245403
182,ENST00000313807.4,0.4588,45.0,5.653284,4.0,0.063326
183,ENST00000559356.1,0.6429,5.0,0.804297,1.0,0.026034
184,ENST00000558323.1,0.4993,7.0,1.102816,3.0,0.074668
185,ENST00000568314.1,0.5973,7.0,1.087607,76.0,1.83543
186,ENST00000563103.1,0.8178,2.0,0.348837,13.0,0.396691
187,ENST00000559134.1,0.4461,7.0,1.100703,3.0,0.074095
188,ENST00000560359.1,0.5456,14.0,2.132435,4.0,0.092842
189,ENST00000561289.1,0.4305,11.0,1.740791,9.0,0.226301
190,ENST00000558593.1,0.4411,15.0,2.407519,19.0,0.489014
191,ENST00000560248.1,0.5265,6.0,0.982475,25.0,0.672183
192,ENST00000560067.1,0.8725,3.0,0.508013,3.0,0.086265
193,ENST00000559861.1,0.5636,11.0,1.710377,61.0,1.476641
194,ENST00000561191.1,0.8102,7.0,1.102208,37.0,0.918487
195,ENST00000558025.1,0.4288,5.0,0.822687,9.0,0.243838
196,ENST00000559285.1,0.4834,13.0,1.902223,43.0,0.921121
197,ENST00000559702.1,0.8729,3.0,0.552108,7.0,0.23703
198,ENST00000566291.1,0.3939,49.0,6.383525,343.0,5.820035
199,ENST00000564194.5,0.3677,30.0,3.875201,229.0,3.823252
200,ENST00000562965.1,0.4868,16.0,2.260956,49.0,0.978003
201,ENST00000565416.1,0.7677,11.0,1.724563,49.0,1.203845
202,ENST00000568853.1,0.609,5.0,0.842851,3.0,0.085171
203,ENST00000602975.1,0.566,21.0,3.224942,147.0,3.46918
204,ENST00000559366.1,0.4184,14.0,2.148982,7.0,0.164569
205,ENST00000560170.1,0.7001,4.0,0.634289,7.0,0.17649
206,ENST00000558935.1,0.5711,10.0,1.618119,39.0,1.021247
207,ENST00000560068.1,0.4923,47.0,5.820238,301.0,4.615616
208,ENST00000560461.1,0.6678,7.0,1.071116,67.0,1.571176
209,ENST00000565467.1,0.4878,20.0,2.432096,36.0,0.532602
210,ENST00000568394.1,0.4668,23.0,2.834284,133.0,2.019876
211,ENST00000562570.1,0.4754,19.0,2.352048,3.0,0.046048
212,ENST00000565139.1,0.5063,1.0,0.167976,31.0,0.876198
213,ENST00000563837.1,0.5878,2.0,0.304896,7.0,0.162919
214,ENST00000582881.1,0.3874,16.0,2.299049,12.0,0.247595
215,ENST00000583030.1,0.4333,34.0,4.209413,189.0,2.897064
216,ENST00000580979.1,0.4337,22.0,2.966648,139.0,2.527749
217,ENST00000578389.1,1.0328,2.0,0.329827,156.0,4.250311
218,ENST00000587012.1,0.5234,20.0,2.816563,7.0,0.138996
219,ENST00000577557.1,0.4893,11.0,1.663632,12.0,0.274955
220,ENST00000560400.1,0.4115,66.0,8.267466,13.0,0.204549
221,ENST00000591237.1,0.4576,23.0,3.083145,49.0,0.881545
222,ENST00000592195.1,0.5195,14.0,1.954864,1.0,0.019595
223,ENST00000591166.1,0.4391,6.0,0.905426,7.0,0.15977
224,ENST00000592897.1,0.7377,6.0,0.950337,3.0,0.075089
225,ENST00000589451.1,0.7128,3.0,0.475717,16.0,0.402935
226,ENST00000591365.1,0.455,18.0,2.333485,31.0,0.521107
227,ENST00000590522.1,0.5275,2.0,0.335659,19.0,0.535756
228,ENST00000590495.1,0.6785,4.0,0.617134,1.0,0.023894
229,ENST00000433001.1,0.5117,10.0,1.466978,21.0,0.452164
230,ENST00000548801.1,0.478,25.0,3.174555,91.0,1.467522
231,ENST00000582096.1,0.3741,46.0,5.88414,81.0,1.326685
232,ENST00000577267.1,0.3874,78.0,9.388316,81.0,1.172702
233,ENST00000579003.1,0.4594,9.0,1.217223,49.0,0.896808
234,ENST00000583841.1,0.6538,8.0,1.187897,9.0,0.198506
235,ENST00000582348.1,0.5995,5.0,0.79037,19.0,0.475519
236,ENST00000584597.1,0.4267,6.0,0.948444,4.0,0.100318
237,ENST00000582564.1,0.6474,30.0,3.880455,217.0,3.631921
238,ENST00000577270.1,0.4567,37.0,4.594055,444.0,6.845629
239,ENST00000579201.1,0.9263,10.0,1.568621,133.0,3.277402
240,ENST00000579125.1,0.5318,3.0,0.417558,36.0,0.697566
241,ENST00000580948.1,0.8419,6.0,0.97317,4.0,0.105049
242,ENST00000591956.1,0.5651,14.0,2.214291,84.0,2.100809
243,ENST00000587743.1,0.4441,59.0,7.479399,183.0,2.93969
244,ENST00000565256.1,0.4654,15.0,2.107089,28.0,0.552876
245,ENST00000572151.1,0.5341,4.0,0.630354,3.0,0.074626
246,ENST00000573394.1,0.7148,8.0,1.278041,21.0,0.536519
247,ENST00000577000.1,0.8699,2.0,0.325968,7.0,0.186059
248,ENST00000582866.1,0.3931,39.0,4.940029,76.0,1.219856
249,ENST00000570869.1,0.4393,9.0,1.408768,1.0,0.024515
250,ENST00000583253.1,0.355,25.0,3.593738,16.0,0.329955
251,ENST00000581613.1,0.4034,11.0,1.730147,37.0,0.916488
252,ENST00000583558.1,0.4743,7.0,1.095133,7.0,0.171903
253,ENST00000579580.1,1.1542,9.0,1.353327,75.0,1.696223
254,ENST00000586922.2,0.4786,67.0,7.989993,1029.0,14.63368
255,ENST00000596923.1,0.4481,11.0,1.707401,27.0,0.650235
256,ENST00000599934.1,0.4201,4.0,0.632655,28.0,0.700981
257,ENST00000589440.1,0.5479,4.0,0.639805,39.0,0.999738
258,ENST00000588803.1,0.5658,8.0,1.290217,13.0,0.338135
259,ENST00000587933.1,0.6013,24.0,3.426182,133.0,2.709317
260,ENST00000585279.1,0.5638,12.0,1.810129,27.0,0.615828
261,ENST00000577806.1,0.5376,20.0,2.916062,52.0,1.104688
262,ENST00000581192.1,0.4843,6.0,0.991779,7.0,0.190994
263,ENST00000575722.1,0.4972,12.0,1.6815,1.0,0.019565
264,ENST00000573860.1,0.4912,3.0,0.49589,1.0,0.027345
265,ENST00000589360.1,0.4794,2.0,0.315527,3.0,0.074835
266,ENST00000600056.1,0.4996,5.0,0.765765,49.0,1.149787
267,ENST00000588798.1,0.485,4.0,0.635585,4.0,0.101052
268,ENST00000592671.1,0.6661,7.0,1.190368,4.0,0.115259
269,ENST00000549131.1,0.575,4.0,0.640997,13.0,0.334506
270,ENST00000590274.1,0.5538,7.0,1.091455,36.0,0.875669
271,ENST00000589508.1,0.6749,6.0,0.988348,13.0,0.352879
272,ENST00000586816.1,0.7154,3.0,0.523848,19.0,0.58147
273,ENST00000586885.1,0.4458,31.0,3.952735,172.0,2.797694
274,ENST00000594557.1,0.3498,88.0,10.410011,93.0,1.302153
275,ENST00000593653.1,0.6176,15.0,2.372455,31.0,0.774307
276,ENST00000598922.1,0.4971,9.0,1.417125,16.0,0.396281
277,ENST00000594230.1,0.4072,28.0,3.828334,21.0,0.393281
278,ENST00000586954.1,0.384,32.0,4.144592,127.0,2.131224
279,ENST00000586784.1,0.4851,9.0,1.387244,16.0,0.379803
280,ENST00000590628.1,0.5357,16.0,2.223014,49.0,0.945625
281,ENST00000588318.1,0.6244,3.0,0.494174,7.0,0.190167
282,ENST00000588784.1,0.4709,31.0,3.982499,39.0,0.643365
283,ENST00000591549.1,0.6825,8.0,1.286876,4.0,0.103571
284,ENST00000588636.1,0.5319,5.0,0.78643,25.0,0.619656
285,ENST00000585827.1,0.5853,4.0,0.635771,31.0,0.78464
286,ENST00000592716.1,0.6189,8.0,1.258976,4.0,0.098846
287,ENST00000585697.1,0.4714,5.0,0.781625,7.0,0.171535
288,ENST00000604333.1,0.496,14.0,2.174132,27.0,0.652391
289,ENST00000588286.1,0.4854,44.0,5.319275,27.0,0.394463
290,ENST00000473572.2,0.7373,8.0,1.137841,9.0,0.18195
291,ENST00000587278.1,0.5803,13.0,2.005211,3.0,0.071647
292,ENST00000587060.1,0.4537,8.0,1.229111,39.0,0.921745
293,ENST00000588040.1,0.4755,24.0,3.325954,147.0,2.823928
294,ENST00000594299.1,0.4701,22.0,2.915892,76.0,1.335023
295,ENST00000595395.1,0.4418,13.0,2.032225,12.0,0.292906
296,ENST00000587128.1,0.3568,42.0,5.459167,31.0,0.523672
297,ENST00000590369.1,0.5166,7.0,1.156625,12.0,0.327556
298,ENST00000588655.1,0.6976,5.0,0.78686,31.0,0.769226
299,ENST00000598754.1,0.4845,3.0,0.48742,13.0,0.343991
300,ENST00000601263.1,0.5546,5.0,0.819328,9.0,0.241579
301,ENST00000595673.1,0.4451,2.0,0.349631,4.0,0.122664
302,ENST00000602172.1,0.4251,35.0,4.613891,193.0,3.355755
303,ENST00000596521.1,0.4349,20.0,2.60552,61.0,1.036091
304,ENST00000600068.1,0.5417,5.0,0.791494,19.0,0.47627
305,ENST00000600047.1,0.383,23.0,3.179353,4.0,0.076449
306,ENST00000593427.1,0.3498,87.0,10.410696,117.0,1.675757
307,ENST00000595422.1,0.7168,4.0,0.635771,16.0,0.404921
308,ENST00000594562.1,0.6661,9.0,1.441794,9.0,0.230542
309,ENST00000600686.1,0.5121,9.0,1.292511,7.0,0.144498
310,ENST00000595302.1,0.4655,19.0,2.479011,109.0,1.856179
311,ENST00000597309.1,0.5181,11.0,1.818262,57.0,1.556575
312,ENST00000597980.1,0.692,3.0,0.472635,16.0,0.397347
313,ENST00000416463.1,0.6267,5.0,0.822377,1.0,0.027247
314,ENST00000423704.1,0.6331,6.0,0.941677,1.0,0.024646
315,ENST00000438482.1,0.7309,6.0,0.879904,49.0,1.054153
316,ENST00000602458.1,0.4134,47.0,5.816215,223.0,3.416199
317,ENST00000594472.1,0.3871,37.0,5.223489,157.0,3.12685
318,ENST00000420644.1,0.4758,12.0,1.907314,25.0,0.631945
319,ENST00000443038.1,0.5046,3.0,0.479265,7.0,0.17909
320,ENST00000366187.2,0.5477,7.0,1.117944,4.0,0.102087
321,ENST00000415640.1,0.6224,7.0,1.142102,31.0,0.825344
322,ENST00000440698.1,0.4005,65.0,7.85125,76.0,1.109426
323,ENST00000412297.1,0.4549,3.0,0.501342,3.0,0.083746
324,ENST00000601494.1,0.4109,20.0,2.972903,25.0,0.552583
325,ENST00000602091.1,0.4729,28.0,4.077512,129.0,2.735104
326,ENST00000601395.1,0.4323,10.0,1.557239,25.0,0.606555
327,ENST00000447639.1,0.4908,9.0,1.313844,1.0,0.02141
328,ENST00000422761.1,0.5151,12.0,1.706977,13.0,0.26322
329,ENST00000548978.2,0.4832,13.0,1.727675,16.0,0.282631
330,ENST00000604845.1,0.3876,34.0,4.553839,157.0,2.815474
331,ENST00000604219.1,0.3272,5.0,0.813494,127.0,3.368242
332,ENST00000445178.1,0.6678,17.0,2.460646,28.0,0.587903
333,ENST00000446816.1,0.4655,12.0,1.636725,28.0,0.52129
334,ENST00000603748.1,0.4158,20.0,2.739042,175.0,3.285097
335,ENST00000308604.5,0.4613,3.0,0.475032,39.0,0.979462
336,ENST00000441075.1,0.473,7.0,1.067366,21.0,0.488954
337,ENST00000439494.1,0.4369,5.0,0.761911,12.0,0.278914
338,ENST00000594898.1,0.4635,5.0,0.804556,16.0,0.414545
339,ENST00000443132.1,0.917,9.0,1.43518,12.0,0.305009
340,ENST00000447413.1,0.4096,20.0,2.826532,31.0,0.618732
341,ENST00000592161.1,0.5872,9.0,1.411382,31.0,0.763002
342,ENST00000587576.1,0.4567,7.0,1.168329,21.0,0.586888
343,ENST00000604571.1,0.6737,10.0,1.568203,7.0,0.171912
344,ENST00000589355.1,0.6495,5.0,0.804815,7.0,0.181749
345,ENST00000604692.1,0.5592,13.0,1.99503,13.0,0.305576
346,ENST00000590743.1,0.6757,9.0,1.343137,157.0,3.497906
347,ENST00000589830.1,0.5463,4.0,0.706344,12.0,0.376038
348,ENST00000604956.1,0.5554,31.0,4.296024,109.0,2.092737
349,ENST00000418062.1,0.5071,11.0,1.745814,39.0,0.981863
350,ENST00000578746.1,0.3792,11.0,1.687337,16.0,0.376647
351,ENST00000584485.1,0.5115,17.0,2.525173,9.0,0.198084
352,ENST00000582038.2,0.4249,38.0,5.013743,196.0,3.413451
353,ENST00000413911.1,0.7986,5.0,0.732668,1.0,0.021431
354,ENST00000428777.1,0.4321,11.0,1.695918,12.0,0.285002
355,ENST00000452057.1,0.3833,52.0,6.75657,91.0,1.535739
356,ENST00000441749.1,0.7399,4.0,0.647682,3.0,0.078814
357,ENST00000425481.1,0.5401,7.0,1.115915,12.0,0.304826
358,ENST00000567819.1,0.5112,47.0,5.666542,109.0,1.584942
359,ENST00000416204.1,0.491,4.0,0.626781,21.0,0.516287
360,ENST00000412497.1,0.4141,4.0,0.647682,27.0,0.708689
361,ENST00000419666.2,0.3536,15.0,2.397794,49.0,1.250728
362,ENST00000421829.1,0.6112,3.0,0.485598,7.0,0.183704
363,ENST00000595300.1,0.5463,8.0,1.243289,27.0,0.652881
364,ENST00000596537.1,0.3972,17.0,2.619735,64.0,1.520552
365,ENST00000593517.1,0.4231,20.0,2.995885,21.0,0.472454
366,ENST00000512005.1,0.5277,10.0,1.620299,13.0,0.34071
367,ENST00000598163.1,0.6475,7.0,1.109685,27.0,0.678657
368,ENST00000601795.1,0.4717,18.0,2.552833,49.0,0.985139
369,ENST00000565959.1,0.4379,23.0,3.07238,36.0,0.643134
370,ENST00000601471.1,0.6164,2.0,0.317979,79.0,1.999842
371,ENST00000599421.1,0.491,5.0,0.758533,28.0,0.645405
372,ENST00000593977.1,0.8195,13.0,2.011441,28.0,0.670176
373,ENST00000600155.1,0.6829,12.0,1.711544,3.0,0.060958
374,ENST00000427022.1,0.5272,9.0,1.344873,1.0,0.02223
375,ENST00000432411.1,0.6623,6.0,0.982834,39.0,1.04776
376,ENST00000448927.1,0.4403,34.0,4.057725,37.0,0.526919
377,ENST00000588753.1,0.666,3.0,0.47021,13.0,0.319848
378,ENST00000444966.1,0.5754,7.0,1.172783,16.0,0.448875
379,ENST00000447037.1,0.4305,11.0,1.683931,7.0,0.163678
380,ENST00000430259.1,0.4591,31.0,4.074458,91.0,1.571709
381,ENST00000458623.1,0.5118,3.0,0.497854,7.0,0.193155
382,ENST00000476405.1,0.5466,35.0,4.180057,48.0,0.684855
383,ENST00000436079.1,0.4806,17.0,2.281677,111.0,1.999956
384,ENST00000429962.1,0.5066,11.0,1.540177,31.0,0.607794
385,ENST00000444093.1,0.534,4.0,0.632296,1.0,0.025094
386,ENST00000431924.2,0.4617,13.0,1.949543,27.0,0.606946
387,ENST00000444381.1,0.4224,19.0,2.642588,7.0,0.13569
388,ENST00000412067.1,0.5952,3.0,0.454181,49.0,1.123641
389,ENST00000602478.1,0.7869,14.0,2.153917,52.0,1.230191
390,ENST00000450920.1,0.548,14.0,1.976924,76.0,1.516421
391,ENST00000523354.1,0.4068,11.0,1.794095,27.0,0.717815
392,ENST00000520396.1,0.5328,7.0,1.109045,133.0,3.344269
393,ENST00000489616.1,0.5806,10.0,1.569883,63.0,1.555287
394,ENST00000469846.2,0.5522,16.0,2.458222,48.0,1.131996
395,ENST00000521708.1,0.5379,7.0,1.109365,16.0,0.402816
