,Seqname,SLDLD: Structural logarithm distance to lncRNA of acguD,SLDPD: Structural logarithm distance to pcRNA of acguD,SLDRD: Structural logarithm distance acguD ratio,SLDLN: Structural logarithm distance to lncRNA of acguACGU,SLDPN: Structural logarithm distance to pcRNA of acguACGU,SLDRN: Structural logarithm distance acguACGU ratio,SDMFE: Secondary structural minimum free energy,SFPUS: Secondary structural UP frequency paired-unpaired,nMFE
83,ENST00000553459.1,-0.259924,-0.282584,0.919814,-0.202267,-0.20987,0.963774,-225.8,0.114413,-0.335015
84,ENST00000533844.1,-0.485573,-0.506502,0.95868,-0.357379,-0.365433,0.977959,-185.3,0.123134,-0.345065
85,ENST00000568280.1,-0.01533,-0.016996,0.901964,-0.026346,-0.025377,1.038183,-1019.9,0.121096,-0.353763
86,ENST00000528466.1,-0.277806,-0.301631,0.921011,-0.293399,-0.295372,0.993321,-199.5,0.116608,-0.351852
87,ENST00000530595.1,-0.012286,-0.021333,0.575909,-0.032702,-0.034378,0.951227,-933.8,0.111868,-0.334624
88,ENST00000543817.1,-0.374111,-0.391378,0.955881,-0.24272,-0.245396,0.989095,-174.4,0.116725,-0.303304
89,ENST00000526036.1,-0.03426,-0.044453,0.770696,-0.044712,-0.046771,0.955979,-744.9,0.106742,-0.298797
90,ENST00000602322.1,-0.112828,-0.109779,1.027772,-0.111668,-0.10414,1.072289,-313.2,0.09901,-0.206596
91,ENST00000530422.1,-0.823398,-0.824025,0.999239,-0.654055,-0.640962,1.020428,-83.6,0.113636,-0.236827
92,ENST00000561652.1,-0.014328,-0.015324,0.935049,-0.023852,-0.023087,1.033151,-1256.6,0.107199,-0.245766
93,ENST00000561746.1,-0.035535,-0.036361,0.977288,-0.041525,-0.041141,1.009348,-910.54,0.095917,-0.219937
94,ENST00000578923.1,-0.198381,-0.211718,0.937006,-0.182415,-0.1847,0.987629,-319.9,0.119687,-0.35743
95,ENST00000530002.1,-0.227902,-0.241247,0.944682,-0.163893,-0.168521,0.972538,-264.9,0.131062,-0.34555
96,ENST00000525716.2,-0.021345,-0.024411,0.874407,-0.030257,-0.030303,0.998493,-1110.1,0.106937,-0.277942
97,ENST00000537514.1,-0.019826,-0.024428,0.811633,-0.043497,-0.043795,0.993195,-711.5,0.115105,-0.30432
98,ENST00000318291.4,-0.030851,-0.044509,0.693142,-0.027865,-0.031919,0.872977,-778.7,0.120383,-0.354923
99,ENST00000382215.3,-0.045792,-0.05502,0.832265,-0.057182,-0.059747,0.957065,-766.7,0.120384,-0.367546
100,ENST00000535078.1,-0.652622,-0.680736,0.958701,-0.545043,-0.551467,0.988351,-111.9,0.154321,-0.344308
101,ENST00000537616.1,-0.044537,-0.043985,1.012551,-0.053928,-0.051322,1.050788,-663.5,0.105305,-0.264553
102,ENST00000540198.1,-0.496748,-0.497562,0.998365,-0.409622,-0.402329,1.018125,-105.8,0.136476,-0.261881
103,ENST00000536029.1,-0.548063,-0.589328,0.929979,-0.423169,-0.429265,0.985797,-138,0.105376,-0.296137
104,ENST00000394742.3,-0.551707,-0.547725,1.007269,-0.515074,-0.501139,1.027806,-91.3,0.122807,-0.22825
105,ENST00000538231.1,-0.519325,-0.499516,1.039657,-0.441698,-0.420917,1.04937,-81.4,0.107456,-0.178118
106,ENST00000499948.2,-0.046311,-0.05139,0.901168,-0.069768,-0.069242,1.007594,-425.5,0.111175,-0.2437
107,ENST00000562691.2,-0.01204,-0.014247,0.845097,-0.021932,-0.022158,0.989802,-1581.4,0.102451,-0.291341
108,ENST00000501211.2,-0.014608,-0.016587,0.880672,-0.022404,-0.022494,0.996029,-1414.2,0.104267,-0.262437
109,ENST00000551972.1,-0.248309,-0.246112,1.008926,-0.23576,-0.228942,1.029781,-191.6,0.113537,-0.278488
110,ENST00000550644.1,-0.551347,-0.551242,1.000191,-0.354428,-0.343475,1.031886,-119.1,0.107206,-0.208947
111,ENST00000552441.1,-0.400795,-0.418231,0.958309,-0.294054,-0.297717,0.987698,-205.1,0.120385,-0.328686
112,ENST00000549388.1,-0.370176,-0.379784,0.974703,-0.269879,-0.268308,1.005855,-134.6,0.111742,-0.254442
113,ENST00000551890.1,-0.404998,-0.436273,0.928312,-0.310312,-0.326904,0.949246,-246.5,0.130282,-0.433216
114,ENST00000553176.1,-0.750655,-0.766982,0.978713,-0.51072,-0.515977,0.989812,-122,0.10199,-0.30273
115,ENST00000602327.1,-0.573116,-0.596778,0.960351,-0.4345,-0.432954,1.003572,-143.3,0.106481,-0.330947
116,ENST00000547492.1,-0.186903,-0.188336,0.992391,-0.168917,-0.164011,1.029915,-185.7,0.116095,-0.244664
117,ENST00000553102.1,-0.172464,-0.180726,0.954285,-0.185754,-0.185148,1.003272,-193.8,0.122159,-0.274894
118,ENST00000504409.3,-0.004928,-0.00679,0.725716,-0.01175,-0.012268,0.957821,-3059.94,0.108141,-0.288071
119,ENST00000539987.1,-0.267366,-0.27793,0.961992,-0.245402,-0.242739,1.01097,-174.6,0.107973,-0.28806
120,ENST00000528549.1,-0.014638,-0.022219,0.658816,-0.024921,-0.027058,0.921044,-1205,0.112462,-0.332873
121,ENST00000538335.1,-0.33016,-0.376631,0.876615,-0.267868,-0.284642,0.94107,-309,0.120827,-0.490476
122,ENST00000602988.1,-0.393764,-0.38798,1.014907,-0.35836,-0.343728,1.042569,-146.7,0.108696,-0.26528
123,ENST00000598905.1,-0.092314,-0.106203,0.869219,-0.115149,-0.116178,0.991142,-269.4,0.114917,-0.297351
124,ENST00000601318.1,-0.273113,-0.27278,1.001219,-0.235004,-0.229997,1.021771,-149.5,0.145963,-0.231783
125,ENST00000451298.1,-0.012622,-0.016633,0.758836,-0.025446,-0.026151,0.973032,-1069.6,0.111199,-0.28177
126,ENST00000436290.2,-0.067692,-0.066205,1.022466,-0.072271,-0.067493,1.070783,-410.7,0.108722,-0.245194
127,ENST00000581816.1,-0.035814,-0.03665,0.977185,-0.061863,-0.060119,1.029007,-587.5,0.108321,-0.289124
128,ENST00000458403.2,-0.154639,-0.16306,0.948356,-0.135658,-0.137491,0.98667,-583.9,0.130835,-0.38364
129,ENST00000561786.1,-0.045665,-0.055014,0.830057,-0.050264,-0.051591,0.97428,-1049.03,0.108557,-0.370813
130,ENST00000602192.1,-0.077611,-0.092704,0.837191,-0.086075,-0.089542,0.961276,-500.4,0.121142,-0.385813
131,ENST00000454005.1,-0.598967,-0.624508,0.959103,-0.515353,-0.527396,0.977165,-156.2,0.124011,-0.411053
132,ENST00000554988.1,-0.282791,-0.322768,0.876144,-0.242462,-0.257126,0.942969,-262.7,0.10832,-0.410345
133,ENST00000548322.1,-0.45503,-0.45459,1.000969,-0.319299,-0.311325,1.025611,-151.1,0.10678,-0.25313
134,ENST00000556613.1,-0.368344,-0.401676,0.917018,-0.322946,-0.335516,0.962536,-209.4,0.128492,-0.389219
135,ENST00000553985.1,-0.04223,-0.048541,0.869976,-0.044068,-0.045775,0.962709,-871.6,0.124084,-0.375366
136,ENST00000554403.1,-0.013618,-0.021334,0.638314,-0.040173,-0.040849,0.983444,-962.4,0.114943,-0.3813
137,ENST00000556379.1,-0.029494,-0.033678,0.87576,-0.033404,-0.033731,0.990314,-845.4,0.110838,-0.296424
138,ENST00000554036.1,-0.405968,-0.424911,0.955418,-0.380889,-0.389412,0.978113,-189.8,0.108268,-0.372888
139,ENST00000552511.1,-0.751457,-0.737539,1.01887,-0.572126,-0.556882,1.027374,-82.3,0.087282,-0.204726
140,ENST00000550118.2,-0.480939,-0.477847,1.006472,-0.343467,-0.329897,1.041134,-150.5,0.088816,-0.247126
141,ENST00000557373.1,-0.020665,-0.033051,0.625252,-0.039296,-0.042882,0.916382,-747.9,0.115784,-0.353283
142,ENST00000603474.1,-1.396525,-1.41309,0.988277,-0.910794,-0.913029,0.997552,-70.8,0.11194,-0.263197
143,ENST00000553463.1,-0.915774,-0.93424,0.980234,-0.57196,-0.571025,1.001637,-105.9,0.115169,-0.296639
144,ENST00000554129.1,-0.040071,-0.046712,0.857827,-0.049064,-0.049301,0.995184,-764.3,0.109565,-0.33216
145,ENST00000555162.1,-0.322395,-0.331173,0.973496,-0.269739,-0.273182,0.987395,-167.8,0.119377,-0.28981
146,ENST00000556225.1,-0.159086,-0.161039,0.987874,-0.188206,-0.178557,1.054042,-224.2,0.099045,-0.26615
147,ENST00000557412.1,-0.450801,-0.464935,0.9696,-0.318482,-0.318266,1.000679,-133.4,0.117329,-0.24036
148,ENST00000555037.1,-0.439696,-0.463091,0.94948,-0.381239,-0.388156,0.98218,-110.9,0.123596,-0.248655
149,ENST00000554309.1,-0.291078,-0.31816,0.914879,-0.25108,-0.253848,0.989097,-170.1,0.105705,-0.284925
150,ENST00000554123.1,-0.491534,-0.495929,0.991136,-0.42352,-0.419024,1.010731,-93.2,0.095808,-0.185657
151,ENST00000556640.1,-0.457096,-0.464218,0.984658,-0.359743,-0.353228,1.018444,-143.3,0.112933,-0.260545
152,ENST00000554032.1,-0.733459,-0.722988,1.014482,-0.593114,-0.580672,1.021427,-83.1,0.117166,-0.225815
153,ENST00000554532.2,-0.109627,-0.117326,0.934384,-0.092817,-0.091453,1.014918,-472.9,0.117862,-0.34594
154,ENST00000558267.1,-0.288447,-0.316215,0.912187,-0.264457,-0.271606,0.973676,-186.2,0.135452,-0.310851
155,ENST00000555070.1,-0.388919,-0.409875,0.948872,-0.364281,-0.371692,0.980062,-146,0.13082,-0.323009
156,ENST00000555562.1,-0.136736,-0.15976,0.855885,-0.118108,-0.12492,0.945465,-434.3,0.112454,-0.401486
157,ENST00000557745.1,-0.231275,-0.232972,0.992718,-0.18924,-0.18474,1.024359,-261.1,0.114422,-0.310833
158,ENST00000602422.1,-0.160651,-0.178158,0.901732,-0.167065,-0.168996,0.988573,-290.5,0.103704,-0.356967
159,ENST00000551361.1,-0.31614,-0.305624,1.034408,-0.303561,-0.293473,1.034375,-129.2,0.10929,-0.234909
160,ENST00000547292.1,-0.309336,-0.333711,0.926958,-0.266375,-0.276202,0.964419,-258.8,0.1056,-0.413419
161,ENST00000553149.1,-0.387138,-0.405776,0.954068,-0.351231,-0.355193,0.988846,-191.1,0.138672,-0.372515
162,ENST00000580438.1,-0.083913,-0.082489,1.017262,-0.099462,-0.09501,1.046856,-340.5,0.109199,-0.225198
163,ENST00000602663.1,-0.04045,-0.045524,0.888524,-0.048339,-0.048985,0.986822,-643.4,0.103404,-0.273671
164,ENST00000559094.1,-0.323683,-0.333655,0.970112,-0.252673,-0.250292,1.009513,-193.4,0.102151,-0.259597
165,ENST00000558109.1,-0.447182,-0.468651,0.954188,-0.301368,-0.303041,0.99448,-173.3,0.102142,-0.285033
166,ENST00000559841.1,-0.293303,-0.298204,0.983564,-0.291603,-0.288203,1.011797,-186.9,0.128155,-0.362209
167,ENST00000560545.1,-0.318734,-0.340773,0.935324,-0.266762,-0.274251,0.972694,-195.3,0.115044,-0.345053
168,ENST00000560750.1,-0.090209,-0.111242,0.810926,-0.089146,-0.093106,0.957462,-353.9,0.119048,-0.323788
169,ENST00000313807.4,-0.027289,-0.036463,0.748412,-0.032088,-0.035307,0.908832,-995.5,0.112858,-0.347712
170,ENST00000558323.1,-0.30127,-0.326121,0.923797,-0.288756,-0.293476,0.983915,-176.8,0.11775,-0.310175
171,ENST00000568314.1,-0.274816,-0.308655,0.890364,-0.199129,-0.210182,0.94741,-212.6,0.131833,-0.341252
172,ENST00000563103.1,-0.870442,-0.911313,0.955152,-0.61171,-0.622462,0.982726,-94.8,0.117264,-0.307792
173,ENST00000559134.1,-0.332114,-0.36742,0.903908,-0.246637,-0.256843,0.960262,-185.6,0.119792,-0.321664
174,ENST00000560359.1,-0.131473,-0.155107,0.847627,-0.167012,-0.171622,0.973138,-245.2,0.120056,-0.345839
175,ENST00000561289.1,-0.263604,-0.260102,1.013464,-0.238522,-0.231459,1.030515,-152.1,0.126582,-0.274549
176,ENST00000558593.1,-0.466053,-0.463635,1.005217,-0.391461,-0.382637,1.02306,-109.8,0.104743,-0.216568
177,ENST00000560248.1,-0.539462,-0.558376,0.966127,-0.428338,-0.426873,1.003431,-122.59,0.09396,-0.273638
178,ENST00000560067.1,-0.856526,-0.872145,0.982091,-0.674911,-0.668121,1.010163,-102.4,0.09863,-0.279781
179,ENST00000559861.1,-0.383142,-0.388522,0.986152,-0.24408,-0.240243,1.015973,-154.4,0.108239,-0.249032
180,ENST00000561191.1,-0.280523,-0.313089,0.895985,-0.259604,-0.273992,0.947488,-207.1,0.122592,-0.362063
181,ENST00000559285.1,-0.109505,-0.12721,0.860822,-0.14035,-0.140857,0.996397,-329.6,0.126214,-0.355172
182,ENST00000559702.1,-1.353035,-1.403161,0.964276,-1.031219,-1.055767,0.976749,-93.5,0.114537,-0.410088
183,ENST00000566291.1,-0.037012,-0.039749,0.931155,-0.064919,-0.062971,1.030932,-689.6,0.106314,-0.319768
184,ENST00000564194.5,-0.054484,-0.059522,0.915364,-0.049966,-0.049704,1.005277,-613.7,0.10913,-0.26671
185,ENST00000562965.1,-0.132769,-0.150614,0.881519,-0.120227,-0.121967,0.985737,-462.1,0.104061,-0.390617
186,ENST00000565416.1,-0.309848,-0.351477,0.881559,-0.228813,-0.242517,0.943495,-230.4,0.129472,-0.391837
187,ENST00000568853.1,-0.743945,-0.795417,0.935289,-0.524655,-0.541036,0.969722,-132.2,0.112,-0.351596
188,ENST00000602975.1,-0.184089,-0.172302,1.068407,-0.219377,-0.206705,1.061303,-170.3,0.110283,-0.253423
189,ENST00000559366.1,-0.189129,-0.207457,0.911654,-0.202218,-0.204287,0.98987,-206.5,0.114413,-0.30638
190,ENST00000558935.1,-0.39748,-0.408752,0.972422,-0.330916,-0.333582,0.992009,-130.8,0.12474,-0.271369
191,ENST00000560068.1,-0.016147,-0.024716,0.653301,-0.028298,-0.029787,0.950008,-1040.2,0.1099,-0.323156
192,ENST00000560461.1,-0.24732,-0.268427,0.921367,-0.208434,-0.209821,0.993391,-221.4,0.116448,-0.321802
193,ENST00000565467.1,-0.047953,-0.058139,0.824788,-0.042337,-0.045855,0.923278,-1825.1,0.119463,-0.489694
194,ENST00000562570.1,-0.050947,-0.062321,0.817492,-0.046339,-0.050188,0.923322,-1540.9,0.123564,-0.478088
195,ENST00000565139.1,-0.755497,-0.795962,0.949163,-0.544428,-0.557402,0.976724,-131.6,0.117493,-0.342708
196,ENST00000563837.1,-0.31754,-0.353962,0.897102,-0.215947,-0.234374,0.921378,-302.6,0.122159,-0.42922
197,ENST00000582881.1,-0.173478,-0.170566,1.017075,-0.137811,-0.127913,1.077377,-269.5,0.111323,-0.256179
198,ENST00000583030.1,-0.018673,-0.025509,0.732046,-0.033701,-0.035122,0.959562,-1106.7,0.120261,-0.343802
199,ENST00000580979.1,-0.055094,-0.067388,0.817571,-0.069979,-0.070196,0.996906,-472.6,0.103012,-0.284527
200,ENST00000578389.1,-0.559883,-0.5471,1.023365,-0.487742,-0.478014,1.02035,-92.8,0.10514,-0.216317
201,ENST00000587012.1,-0.126347,-0.130067,0.971394,-0.136275,-0.133254,1.022673,-286.4,0.09744,-0.236304
202,ENST00000577557.1,-0.208546,-0.216357,0.963901,-0.218627,-0.211322,1.03457,-226.5,0.122642,-0.304845
203,ENST00000560400.1,-0.03401,-0.036188,0.939808,-0.047307,-0.045528,1.039077,-694.6,0.10379,-0.237065
204,ENST00000591237.1,-0.052122,-0.057036,0.913845,-0.060377,-0.061822,0.976622,-609.6,0.11585,-0.351152
205,ENST00000592195.1,-0.080376,-0.094125,0.853935,-0.092142,-0.09384,0.98191,-449.4,0.114996,-0.348913
206,ENST00000591166.1,-0.253699,-0.266101,0.953392,-0.188516,-0.184497,1.021781,-244.1,0.132802,-0.32374
207,ENST00000592897.1,-0.320788,-0.360774,0.889164,-0.248191,-0.263943,0.940323,-230.5,0.136364,-0.41833
208,ENST00000589451.1,-0.415005,-0.430861,0.963198,-0.301581,-0.302571,0.996726,-218.1,0.119048,-0.395247
209,ENST00000591365.1,-0.049442,-0.065565,0.754085,-0.045147,-0.050033,0.902342,-1083.2,0.124274,-0.484004
210,ENST00000590522.1,-0.689233,-0.717259,0.960926,-0.526809,-0.528954,0.995946,-125.5,0.114286,-0.32513
211,ENST00000590495.1,-0.24025,-0.293397,0.818854,-0.230545,-0.250605,0.919952,-316.8,0.135177,-0.48589
212,ENST00000433001.1,-0.179279,-0.192943,0.92918,-0.183581,-0.180048,1.019619,-271.1,0.11416,-0.297259
213,ENST00000548801.1,-0.032314,-0.042961,0.752161,-0.043067,-0.045664,0.943125,-978.5,0.106885,-0.372053
214,ENST00000582096.1,-0.041494,-0.040137,1.033821,-0.042321,-0.03934,1.075765,-710.1,0.10556,-0.285985
215,ENST00000577267.1,-0.022509,-0.024879,0.904739,-0.028284,-0.027695,1.021288,-1171.3,0.105549,-0.288782
216,ENST00000579003.1,-0.059832,-0.073606,0.812871,-0.087462,-0.09329,0.937529,-768.3,0.136084,-0.4728
217,ENST00000583841.1,-0.219594,-0.236846,0.92716,-0.206572,-0.206624,0.99975,-289.3,0.114422,-0.344405
218,ENST00000582348.1,-0.450034,-0.465577,0.966614,-0.342863,-0.341196,1.004885,-196.9,0.104129,-0.352867
